[1447, 1063]
[folio, [423.0, 49.0, 215.0, 18.0], BplPHUFE-J, 5762744]
[section-title, [302.0, 142.0, 441.0, 30.0], dD48VrHY_g, 5762744]
[section-title, [302.0, 172.0, 441.0, 30.0], dD48VrHY_g, 5762744]
[paragraph, [116.0, 246.0, 826.0, 18.0], shoonya_3sVVJQN82GVZGQ, 5762744]
[paragraph, [116.0, 264.0, 826.0, 18.0], shoonya_3sVVJQN82GVZGQ, 5762744]
[paragraph, [116.0, 282.0, 826.0, 18.0], shoonya_3sVVJQN82GVZGQ, 5762744]
[paragraph, [116.0, 300.0, 826.0, 18.0], shoonya_3sVVJQN82GVZGQ, 5762744]
[paragraph, [116.0, 318.0, 826.0, 18.0], shoonya_3sVVJQN82GVZGQ, 5762744]
[paragraph, [116.0, 336.0, 826.0, 18.0], shoonya_3sVVJQN82GVZGQ, 5762744]
[paragraph, [116.0, 354.0, 826.0, 18.0], shoonya_3sVVJQN82GVZGQ, 5762744]
[paragraph, [116.0, 372.0, 826.0, 18.0], shoonya_3sVVJQN82GVZGQ, 5762744]
[paragraph, [116.0, 390.0, 826.0, 18.0], shoonya_3sVVJQN82GVZGQ, 5762744]
[paragraph, [116.0, 408.0, 826.0, 18.0], shoonya_3sVVJQN82GVZGQ, 5762744]
[paragraph, [116.0, 426.0, 826.0, 18.0], shoonya_3sVVJQN82GVZGQ, 5762744]
[paragraph, [116.0, 444.0, 826.0, 18.0], shoonya_3sVVJQN82GVZGQ, 5762744]
[paragraph, [116.0, 462.0, 826.0, 18.0], shoonya_3sVVJQN82GVZGQ, 5762744]
[paragraph, [116.0, 480.0, 826.0, 18.0], shoonya_3sVVJQN82GVZGQ, 5762744]
[paragraph, [116.0, 498.0, 826.0, 18.0], shoonya_3sVVJQN82GVZGQ, 5762744]
[paragraph, [116.0, 516.0, 826.0, 18.0], shoonya_3sVVJQN82GVZGQ, 5762744]
[paragraph, [116.0, 534.0, 826.0, 18.0], shoonya_3sVVJQN82GVZGQ, 5762744]
[paragraph, [116.0, 552.0, 826.0, 18.0], shoonya_3sVVJQN82GVZGQ, 5762744]
[paragraph, [116.0, 570.0, 826.0, 18.0], shoonya_3sVVJQN82GVZGQ, 5762744]
[paragraph, [116.0, 588.0, 826.0, 18.0], shoonya_3sVVJQN82GVZGQ, 5762744]
[paragraph, [116.0, 606.0, 826.0, 18.0], shoonya_3sVVJQN82GVZGQ, 5762744]
[paragraph, [116.0, 624.0, 826.0, 18.0], shoonya_3sVVJQN82GVZGQ, 5762744]
[paragraph, [116.0, 642.0, 826.0, 18.0], shoonya_3sVVJQN82GVZGQ, 5762744]
[paragraph, [116.0, 660.0, 826.0, 18.0], shoonya_3sVVJQN82GVZGQ, 5762744]
[paragraph, [116.0, 678.0, 826.0, 18.0], shoonya_3sVVJQN82GVZGQ, 5762744]
