[2640, 1954]
[folio, [1498.0, 66.0, 199.0, 46.5], YCTIGx4QZ6, 5694351]
[folio, [1498.0, 112.5, 199.0, 46.5], YCTIGx4QZ6, 5694351]
[headline, [109.0, 105.0, 971.0, 52.5], shoonya_7sUTY4USHUGTRS, 5694351]
[headline, [109.0, 157.5, 971.0, 52.5], shoonya_7sUTY4USHUGTRS, 5694351]
[headline, [109.0, 210.0, 971.0, 52.5], shoonya_7sUTY4USHUGTRS, 5694351]
[unordered-list, [1224.0, 162.0, 441.0, 46.5], eDwmGSQWrA, 5694351]
[unordered-list, [1224.0, 208.5, 441.0, 46.5], eDwmGSQWrA, 5694351]
[unordered-list, [1224.0, 255.0, 441.0, 46.5], eDwmGSQWrA, 5694351]
[unordered-list, [1224.0, 301.5, 441.0, 46.5], eDwmGSQWrA, 5694351]
[unordered-list, [1224.0, 348.0, 441.0, 46.5], eDwmGSQWrA, 5694351]
[unordered-list, [1224.0, 394.5, 441.0, 46.5], eDwmGSQWrA, 5694351]
[unordered-list, [1224.0, 441.0, 441.0, 46.5], eDwmGSQWrA, 5694351]
[unordered-list, [1224.0, 487.5, 441.0, 46.5], eDwmGSQWrA, 5694351]
[unordered-list, [1224.0, 534.0, 441.0, 46.5], eDwmGSQWrA, 5694351]
[unordered-list, [1224.0, 580.5, 441.0, 46.5], eDwmGSQWrA, 5694351]
[unordered-list, [1224.0, 627.0, 441.0, 46.5], eDwmGSQWrA, 5694351]
[unordered-list, [1224.0, 673.5, 441.0, 46.5], eDwmGSQWrA, 5694351]
[unordered-list, [1224.0, 720.0, 441.0, 46.5], eDwmGSQWrA, 5694351]
[unordered-list, [1224.0, 766.5, 441.0, 46.5], eDwmGSQWrA, 5694351]
[unordered-list, [1224.0, 813.0, 441.0, 46.5], eDwmGSQWrA, 5694351]
[unordered-list, [1224.0, 859.5, 441.0, 46.5], eDwmGSQWrA, 5694351]
[unordered-list, [1224.0, 906.0, 441.0, 46.5], eDwmGSQWrA, 5694351]
[unordered-list, [1224.0, 952.5, 441.0, 46.5], eDwmGSQWrA, 5694351]
[unordered-list, [1224.0, 999.0, 441.0, 46.5], eDwmGSQWrA, 5694351]
[unordered-list, [1224.0, 1045.5, 441.0, 46.5], eDwmGSQWrA, 5694351]
[unordered-list, [1224.0, 1092.0, 441.0, 46.5], eDwmGSQWrA, 5694351]
[folio, [155.0, 276.0, 909.0, 46.5], uQdxBzM8AF, 5694351]
[section-title, [76.0, 382.0, 458.0, 79.5], 7p9ceXE0yQ, 5694351]
[unordered-list, [91.0, 522.0, 487.0, 46.5], DKH1nkmcW7, 5694351]
[unordered-list, [91.0, 568.5, 487.0, 46.5], DKH1nkmcW7, 5694351]
[unordered-list, [91.0, 615.0, 487.0, 46.5], DKH1nkmcW7, 5694351]
[unordered-list, [91.0, 661.5, 487.0, 46.5], DKH1nkmcW7, 5694351]
[unordered-list, [91.0, 708.0, 487.0, 46.5], DKH1nkmcW7, 5694351]
[unordered-list, [91.0, 754.5, 487.0, 46.5], DKH1nkmcW7, 5694351]
[unordered-list, [91.0, 801.0, 487.0, 46.5], DKH1nkmcW7, 5694351]
[unordered-list, [91.0, 847.5, 487.0, 46.5], DKH1nkmcW7, 5694351]
[unordered-list, [91.0, 894.0, 487.0, 46.5], DKH1nkmcW7, 5694351]
[unordered-list, [91.0, 940.5, 487.0, 46.5], DKH1nkmcW7, 5694351]
[unordered-list, [91.0, 987.0, 487.0, 46.5], DKH1nkmcW7, 5694351]
[unordered-list, [91.0, 1033.5, 487.0, 46.5], DKH1nkmcW7, 5694351]
[unordered-list, [91.0, 1080.0, 487.0, 46.5], DKH1nkmcW7, 5694351]
[unordered-list, [91.0, 1126.5, 487.0, 46.5], DKH1nkmcW7, 5694351]
[unordered-list, [91.0, 1173.0, 487.0, 46.5], DKH1nkmcW7, 5694351]
[unordered-list, [91.0, 1219.5, 487.0, 46.5], DKH1nkmcW7, 5694351]
[unordered-list, [91.0, 1266.0, 487.0, 46.5], DKH1nkmcW7, 5694351]
[unordered-list, [91.0, 1312.5, 487.0, 46.5], DKH1nkmcW7, 5694351]
[unordered-list, [91.0, 1359.0, 487.0, 46.5], DKH1nkmcW7, 5694351]
[unordered-list, [91.0, 1405.5, 487.0, 46.5], DKH1nkmcW7, 5694351]
[unordered-list, [91.0, 1452.0, 487.0, 46.5], DKH1nkmcW7, 5694351]
[unordered-list, [91.0, 1498.5, 487.0, 46.5], DKH1nkmcW7, 5694351]
[unordered-list, [1227.0, 1193.0, 362.0, 46.5], xbI1Zlqtil, 5694351]
[unordered-list, [1227.0, 1239.5, 362.0, 46.5], xbI1Zlqtil, 5694351]
[unordered-list, [1219.0, 1316.0, 349.0, 46.5], m67A2mnKMp, 5694351]
[unordered-list, [1219.0, 1362.5, 349.0, 46.5], m67A2mnKMp, 5694351]
[unordered-list, [1219.0, 1409.0, 349.0, 46.5], m67A2mnKMp, 5694351]
[unordered-list, [1219.0, 1455.5, 349.0, 46.5], m67A2mnKMp, 5694351]
[unordered-list, [1219.0, 1502.0, 349.0, 46.5], m67A2mnKMp, 5694351]
[author, [1214.0, 1557.0, 374.0, 46.5], FN4zwb2kmi, 5694351]
[author, [1214.0, 1603.5, 374.0, 46.5], FN4zwb2kmi, 5694351]
[unordered-list, [569.0, 1617.0, 441.0, 46.5], 4GhUHY97QJ, 5694351]
[unordered-list, [569.0, 1663.5, 441.0, 46.5], 4GhUHY97QJ, 5694351]
[unordered-list, [569.0, 1710.0, 441.0, 46.5], 4GhUHY97QJ, 5694351]
[unordered-list, [569.0, 1756.5, 441.0, 46.5], 4GhUHY97QJ, 5694351]
