[595, 401]
[folio, [55.0, 54.0, 249.0, 18.0], drOxSmBRhK, 5711196]
[paragraph, [53.0, 80.0, 290.0, 18.0], shoonya_4sFTLXIEMQTDMI, 5711196]
[paragraph, [53.0, 98.0, 290.0, 18.0], shoonya_4sFTLXIEMQTDMI, 5711196]
[paragraph, [56.0, 117.0, 290.0, 18.0], shoonya_1sPZFHOU8LTRPA, 5711196]
[paragraph, [56.0, 135.0, 290.0, 18.0], shoonya_1sPZFHOU8LTRPA, 5711196]
[paragraph, [56.0, 153.0, 290.0, 18.0], shoonya_1sPZFHOU8LTRPA, 5711196]
[paragraph, [56.0, 171.0, 290.0, 18.0], shoonya_1sPZFHOU8LTRPA, 5711196]
[paragraph, [56.0, 189.0, 290.0, 18.0], shoonya_1sPZFHOU8LTRPA, 5711196]
[paragraph, [56.0, 207.0, 290.0, 18.0], shoonya_1sPZFHOU8LTRPA, 5711196]
[paragraph, [56.0, 225.0, 290.0, 18.0], shoonya_1sPZFHOU8LTRPA, 5711196]
[paragraph, [56.0, 243.0, 290.0, 18.0], shoonya_1sPZFHOU8LTRPA, 5711196]
[paragraph, [56.0, 261.0, 290.0, 18.0], shoonya_1sPZFHOU8LTRPA, 5711196]
[paragraph, [56.0, 279.0, 290.0, 18.0], shoonya_1sPZFHOU8LTRPA, 5711196]
[paragraph, [56.0, 297.0, 290.0, 18.0], shoonya_1sPZFHOU8LTRPA, 5711196]
[paragraph, [56.0, 315.0, 290.0, 18.0], shoonya_1sPZFHOU8LTRPA, 5711196]
[paragraph, [56.0, 333.0, 290.0, 18.0], shoonya_1sPZFHOU8LTRPA, 5711196]
[paragraph, [57.0, 355.0, 292.0, 18.0], shoonya_3sZD0SNCOGU7EJ, 5711196]
[paragraph, [57.0, 373.0, 292.0, 18.0], shoonya_3sZD0SNCOGU7EJ, 5711196]
[paragraph, [57.0, 391.0, 292.0, 18.0], shoonya_3sZD0SNCOGU7EJ, 5711196]
[paragraph, [57.0, 409.0, 292.0, 18.0], shoonya_3sZD0SNCOGU7EJ, 5711196]
[paragraph, [57.0, 427.0, 292.0, 18.0], shoonya_3sZD0SNCOGU7EJ, 5711196]
[paragraph, [57.0, 445.0, 292.0, 18.0], shoonya_3sZD0SNCOGU7EJ, 5711196]
[paragraph, [57.0, 463.0, 292.0, 18.0], shoonya_3sZD0SNCOGU7EJ, 5711196]
[paragraph, [57.0, 481.0, 292.0, 18.0], shoonya_3sZD0SNCOGU7EJ, 5711196]
[footnote, [81.0, 515.0, 188.0, 18.0], shoonya_0sJYLBRG2WB4CX, 5711196]
