[2354, 1736]
[paragraph, [383.0, 216.0, 1183.0, 36.0], shoonya_4sDE6QXR2JY951, 5734094]
[paragraph, [383.0, 252.0, 1183.0, 36.0], shoonya_4sDE6QXR2JY951, 5734094]
[paragraph, [383.0, 288.0, 1183.0, 36.0], shoonya_4sDE6QXR2JY951, 5734094]
[paragraph, [383.0, 324.0, 1183.0, 36.0], shoonya_4sDE6QXR2JY951, 5734094]
[paragraph, [358.0, 415.0, 1214.0, 36.0], fxtJke5_N5, 5734094]
[paragraph, [358.0, 451.0, 1214.0, 36.0], fxtJke5_N5, 5734094]
[paragraph, [381.0, 518.0, 1184.0, 36.0], shoonya_2sHQE65TYFJCY6, 5734094]
[paragraph, [381.0, 554.0, 1184.0, 36.0], shoonya_2sHQE65TYFJCY6, 5734094]
[paragraph, [381.0, 590.0, 1184.0, 36.0], shoonya_2sHQE65TYFJCY6, 5734094]
[paragraph, [381.0, 626.0, 1184.0, 36.0], shoonya_2sHQE65TYFJCY6, 5734094]
[paragraph, [381.0, 662.0, 1184.0, 36.0], shoonya_2sHQE65TYFJCY6, 5734094]
[paragraph, [381.0, 698.0, 1184.0, 36.0], shoonya_2sHQE65TYFJCY6, 5734094]
[paragraph, [379.0, 794.0, 1181.0, 36.0], shoonya_0sCRHCGKD3B5NY, 5734094]
[paragraph, [379.0, 830.0, 1181.0, 36.0], shoonya_0sCRHCGKD3B5NY, 5734094]
[paragraph, [379.0, 866.0, 1181.0, 36.0], shoonya_0sCRHCGKD3B5NY, 5734094]
[paragraph, [379.0, 902.0, 1181.0, 36.0], shoonya_0sCRHCGKD3B5NY, 5734094]
[paragraph, [379.0, 938.0, 1181.0, 36.0], shoonya_0sCRHCGKD3B5NY, 5734094]
[paragraph, [379.0, 974.0, 1181.0, 36.0], shoonya_0sCRHCGKD3B5NY, 5734094]
[paragraph, [379.0, 1010.0, 1181.0, 36.0], shoonya_0sCRHCGKD3B5NY, 5734094]
[paragraph, [379.0, 1046.0, 1181.0, 36.0], shoonya_0sCRHCGKD3B5NY, 5734094]
[paragraph, [379.0, 1082.0, 1181.0, 36.0], shoonya_0sCRHCGKD3B5NY, 5734094]
[paragraph, [379.0, 1118.0, 1181.0, 36.0], shoonya_0sCRHCGKD3B5NY, 5734094]
[paragraph, [379.0, 1154.0, 1181.0, 36.0], shoonya_0sCRHCGKD3B5NY, 5734094]
[paragraph, [379.0, 1190.0, 1181.0, 36.0], shoonya_0sCRHCGKD3B5NY, 5734094]
[paragraph, [379.0, 1226.0, 1181.0, 36.0], shoonya_0sCRHCGKD3B5NY, 5734094]
[paragraph, [379.0, 1262.0, 1181.0, 36.0], shoonya_0sCRHCGKD3B5NY, 5734094]
[paragraph, [379.0, 1298.0, 1181.0, 36.0], shoonya_0sCRHCGKD3B5NY, 5734094]
[paragraph, [379.0, 1334.0, 1181.0, 36.0], shoonya_0sCRHCGKD3B5NY, 5734094]
[section-title, [470.0, 1425.0, 539.0, 52.5], shoonya_5sB62FPS27QPT6, 5734094]
[unordered-list, [364.0, 1499.0, 1201.0, 36.0], shoonya_1s8K6MXWU5ZYYL, 5734094]
[unordered-list, [364.0, 1535.0, 1201.0, 36.0], shoonya_1s8K6MXWU5ZYYL, 5734094]
[unordered-list, [364.0, 1571.0, 1201.0, 36.0], shoonya_1s8K6MXWU5ZYYL, 5734094]
[unordered-list, [364.0, 1607.0, 1201.0, 36.0], shoonya_1s8K6MXWU5ZYYL, 5734094]
[unordered-list, [364.0, 1643.0, 1201.0, 36.0], shoonya_1s8K6MXWU5ZYYL, 5734094]
[unordered-list, [364.0, 1679.0, 1201.0, 36.0], shoonya_1s8K6MXWU5ZYYL, 5734094]
[unordered-list, [364.0, 1715.0, 1201.0, 36.0], shoonya_1s8K6MXWU5ZYYL, 5734094]
[unordered-list, [364.0, 1751.0, 1201.0, 36.0], shoonya_1s8K6MXWU5ZYYL, 5734094]
[unordered-list, [364.0, 1787.0, 1201.0, 36.0], shoonya_1s8K6MXWU5ZYYL, 5734094]
[unordered-list, [364.0, 1823.0, 1201.0, 36.0], shoonya_1s8K6MXWU5ZYYL, 5734094]
[unordered-list, [364.0, 1859.0, 1201.0, 36.0], shoonya_1s8K6MXWU5ZYYL, 5734094]
[unordered-list, [364.0, 1895.0, 1201.0, 36.0], shoonya_1s8K6MXWU5ZYYL, 5734094]
