[2039, 1457]
[paragraph, [148.0, 146.0, 1197.0, 36.0], shoonya_0sNG5ZZ0PSRBD1, 5650971]
[paragraph, [148.0, 182.0, 1197.0, 36.0], shoonya_0sNG5ZZ0PSRBD1, 5650971]
[paragraph, [148.0, 218.0, 1197.0, 36.0], shoonya_0sNG5ZZ0PSRBD1, 5650971]
[paragraph, [148.0, 254.0, 1197.0, 36.0], shoonya_0sNG5ZZ0PSRBD1, 5650971]
[paragraph, [148.0, 290.0, 1197.0, 36.0], shoonya_0sNG5ZZ0PSRBD1, 5650971]
[paragraph, [148.0, 326.0, 1197.0, 36.0], shoonya_0sNG5ZZ0PSRBD1, 5650971]
[paragraph, [148.0, 362.0, 1197.0, 36.0], shoonya_0sNG5ZZ0PSRBD1, 5650971]
[paragraph, [148.0, 398.0, 1197.0, 36.0], shoonya_0sNG5ZZ0PSRBD1, 5650971]
[paragraph, [148.0, 434.0, 1197.0, 36.0], shoonya_0sNG5ZZ0PSRBD1, 5650971]
[paragraph, [148.0, 470.0, 1197.0, 36.0], shoonya_0sNG5ZZ0PSRBD1, 5650971]
[paragraph, [148.0, 506.0, 1197.0, 36.0], shoonya_0sNG5ZZ0PSRBD1, 5650971]
[paragraph, [148.0, 542.0, 1197.0, 36.0], shoonya_0sNG5ZZ0PSRBD1, 5650971]
[paragraph, [148.0, 578.0, 1197.0, 36.0], shoonya_0sNG5ZZ0PSRBD1, 5650971]
[paragraph, [148.0, 614.0, 1197.0, 36.0], shoonya_0sNG5ZZ0PSRBD1, 5650971]
[paragraph, [148.0, 650.0, 1197.0, 36.0], shoonya_0sNG5ZZ0PSRBD1, 5650971]
[paragraph, [148.0, 686.0, 1197.0, 36.0], shoonya_0sNG5ZZ0PSRBD1, 5650971]
[paragraph, [148.0, 722.0, 1197.0, 36.0], shoonya_0sNG5ZZ0PSRBD1, 5650971]
[paragraph, [148.0, 758.0, 1197.0, 36.0], shoonya_0sNG5ZZ0PSRBD1, 5650971]
[paragraph, [153.0, 844.0, 1175.0, 36.0], shoonya_2sE73W7AJPJ8G3, 5650971]
[paragraph, [153.0, 880.0, 1175.0, 36.0], shoonya_2sE73W7AJPJ8G3, 5650971]
[paragraph, [153.0, 916.0, 1175.0, 36.0], shoonya_2sE73W7AJPJ8G3, 5650971]
[paragraph, [153.0, 952.0, 1175.0, 36.0], shoonya_2sE73W7AJPJ8G3, 5650971]
[paragraph, [153.0, 988.0, 1175.0, 36.0], shoonya_2sE73W7AJPJ8G3, 5650971]
[paragraph, [153.0, 1024.0, 1175.0, 36.0], shoonya_2sE73W7AJPJ8G3, 5650971]
[paragraph, [153.0, 1060.0, 1175.0, 36.0], shoonya_2sE73W7AJPJ8G3, 5650971]
[paragraph, [188.0, 1138.0, 1115.0, 36.0], shoonya_5s5T1ZZCYNYSZ5, 5650971]
[paragraph, [188.0, 1174.0, 1115.0, 36.0], shoonya_5s5T1ZZCYNYSZ5, 5650971]
[paragraph, [188.0, 1210.0, 1115.0, 36.0], shoonya_5s5T1ZZCYNYSZ5, 5650971]
[paragraph, [188.0, 1246.0, 1115.0, 36.0], shoonya_5s5T1ZZCYNYSZ5, 5650971]
[paragraph, [173.0, 1308.0, 1157.0, 36.0], shoonya_3sEULMYS7069EY, 5650971]
[paragraph, [173.0, 1344.0, 1157.0, 36.0], shoonya_3sEULMYS7069EY, 5650971]
[paragraph, [173.0, 1380.0, 1157.0, 36.0], shoonya_3sEULMYS7069EY, 5650971]
[paragraph, [173.0, 1416.0, 1157.0, 36.0], shoonya_3sEULMYS7069EY, 5650971]
[paragraph, [173.0, 1452.0, 1157.0, 36.0], shoonya_3sEULMYS7069EY, 5650971]
[paragraph, [173.0, 1488.0, 1157.0, 36.0], shoonya_3sEULMYS7069EY, 5650971]
[paragraph, [173.0, 1524.0, 1157.0, 36.0], shoonya_3sEULMYS7069EY, 5650971]
[paragraph, [173.0, 1560.0, 1157.0, 36.0], shoonya_3sEULMYS7069EY, 5650971]
[paragraph, [148.0, 1601.0, 1179.0, 36.0], shoonya_4sICE963HY60I1, 5650971]
[paragraph, [148.0, 1637.0, 1179.0, 36.0], shoonya_4sICE963HY60I1, 5650971]
[paragraph, [148.0, 1673.0, 1179.0, 36.0], shoonya_4sICE963HY60I1, 5650971]
[paragraph, [148.0, 1709.0, 1179.0, 36.0], shoonya_4sICE963HY60I1, 5650971]
[paragraph, [148.0, 1745.0, 1179.0, 36.0], shoonya_4sICE963HY60I1, 5650971]
[paragraph, [148.0, 1781.0, 1179.0, 36.0], shoonya_4sICE963HY60I1, 5650971]
[paragraph, [176.0, 1833.0, 1189.0, 36.0], -SUCzuVS6t, 5650971]
[paragraph, [176.0, 1869.0, 1189.0, 36.0], -SUCzuVS6t, 5650971]
[paragraph, [176.0, 1905.0, 1189.0, 36.0], -SUCzuVS6t, 5650971]
[paragraph, [176.0, 1941.0, 1189.0, 36.0], -SUCzuVS6t, 5650971]
