[2481, 1654]
[folio, [349.0, 97.0, 121.0, 36.0], Zes50aABkM, 5721264]
[paragraph, [219.0, 218.0, 1279.0, 36.0], 1JP9yvL0-W, 5721264]
[paragraph, [219.0, 254.0, 1279.0, 36.0], 1JP9yvL0-W, 5721264]
[paragraph, [219.0, 290.0, 1279.0, 36.0], 1JP9yvL0-W, 5721264]
[paragraph, [219.0, 326.0, 1279.0, 36.0], 1JP9yvL0-W, 5721264]
[paragraph, [212.0, 378.0, 1285.0, 36.0], PKXMig-HXM, 5721264]
[paragraph, [212.0, 414.0, 1285.0, 36.0], PKXMig-HXM, 5721264]
[paragraph, [200.0, 481.0, 1302.0, 36.0], IbQGefvxdV, 5721264]
[paragraph, [200.0, 517.0, 1302.0, 36.0], IbQGefvxdV, 5721264]
[paragraph, [200.0, 553.0, 1302.0, 36.0], IbQGefvxdV, 5721264]
[paragraph, [200.0, 589.0, 1302.0, 36.0], IbQGefvxdV, 5721264]
[paragraph, [281.0, 638.0, 1073.0, 36.0], vgRZbls1hz, 5721264]
[paragraph, [279.0, 687.0, 1205.0, 36.0], T4o_XQqwzK, 5721264]
[paragraph, [229.0, 743.0, 1263.0, 36.0], EOBEMexlRj, 5721264]
[paragraph, [229.0, 779.0, 1263.0, 36.0], EOBEMexlRj, 5721264]
[paragraph, [223.0, 842.0, 1277.0, 36.0], V1xVhAy1Gb, 5721264]
[paragraph, [223.0, 878.0, 1277.0, 36.0], V1xVhAy1Gb, 5721264]
[paragraph, [223.0, 914.0, 1277.0, 36.0], V1xVhAy1Gb, 5721264]
[paragraph, [223.0, 950.0, 1277.0, 36.0], V1xVhAy1Gb, 5721264]
[paragraph, [223.0, 986.0, 1277.0, 36.0], V1xVhAy1Gb, 5721264]
[paragraph, [223.0, 1022.0, 1277.0, 36.0], V1xVhAy1Gb, 5721264]
[paragraph, [223.0, 1058.0, 1277.0, 36.0], V1xVhAy1Gb, 5721264]
[paragraph, [217.0, 1105.0, 1285.0, 36.0], zfa4UI8IS5, 5721264]
[paragraph, [217.0, 1141.0, 1285.0, 36.0], zfa4UI8IS5, 5721264]
[paragraph, [217.0, 1177.0, 1285.0, 36.0], zfa4UI8IS5, 5721264]
[paragraph, [217.0, 1213.0, 1285.0, 36.0], zfa4UI8IS5, 5721264]
[paragraph, [217.0, 1249.0, 1285.0, 36.0], zfa4UI8IS5, 5721264]
[paragraph, [217.0, 1285.0, 1285.0, 36.0], zfa4UI8IS5, 5721264]
[paragraph, [217.0, 1321.0, 1285.0, 36.0], zfa4UI8IS5, 5721264]
[paragraph, [206.0, 1365.0, 1296.0, 36.0], SiSJOBhGiW, 5721264]
[paragraph, [206.0, 1401.0, 1296.0, 36.0], SiSJOBhGiW, 5721264]
[paragraph, [196.0, 1466.0, 1306.0, 36.0], _FDuZ42uZU, 5721264]
[paragraph, [196.0, 1502.0, 1306.0, 36.0], _FDuZ42uZU, 5721264]
[paragraph, [196.0, 1538.0, 1306.0, 36.0], _FDuZ42uZU, 5721264]
[paragraph, [196.0, 1574.0, 1306.0, 36.0], _FDuZ42uZU, 5721264]
[paragraph, [196.0, 1610.0, 1306.0, 36.0], _FDuZ42uZU, 5721264]
[paragraph, [272.0, 1677.0, 583.0, 36.0], eBKTV1jdAo, 5721264]
[paragraph, [212.0, 1731.0, 1283.0, 36.0], xJhe2xFNlf, 5721264]
[paragraph, [212.0, 1767.0, 1283.0, 36.0], xJhe2xFNlf, 5721264]
[paragraph, [212.0, 1803.0, 1283.0, 36.0], xJhe2xFNlf, 5721264]
[paragraph, [212.0, 1839.0, 1283.0, 36.0], xJhe2xFNlf, 5721264]
[paragraph, [212.0, 1875.0, 1283.0, 36.0], xJhe2xFNlf, 5721264]
[paragraph, [272.0, 1939.0, 659.0, 36.0], HUhw1JSgaq, 5721264]
[paragraph, [225.0, 1993.0, 1279.0, 36.0], 9aU8-GP2Di, 5721264]
[paragraph, [225.0, 2029.0, 1279.0, 36.0], 9aU8-GP2Di, 5721264]
