[1447, 1063]
[folio, [430.0, 54.0, 197.0, 18.0], eHe4qn0Xon, 5762781]
[headline, [102.0, 97.0, 863.0, 25.5], RPfuyZRyje, 5762781]
[headline, [102.0, 122.5, 863.0, 25.5], RPfuyZRyje, 5762781]
[headline, [102.0, 148.0, 863.0, 25.5], RPfuyZRyje, 5762781]
[headline, [102.0, 173.5, 863.0, 25.5], RPfuyZRyje, 5762781]
[paragraph, [93.0, 639.0, 432.0, 18.0], dxWAG3gUTw, 5762781]
[paragraph, [93.0, 657.0, 432.0, 18.0], dxWAG3gUTw, 5762781]
[paragraph, [93.0, 675.0, 432.0, 18.0], dxWAG3gUTw, 5762781]
[paragraph, [93.0, 693.0, 432.0, 18.0], dxWAG3gUTw, 5762781]
[paragraph, [93.0, 711.0, 432.0, 18.0], dxWAG3gUTw, 5762781]
[paragraph, [93.0, 729.0, 432.0, 18.0], dxWAG3gUTw, 5762781]
[paragraph, [93.0, 747.0, 432.0, 18.0], dxWAG3gUTw, 5762781]
[paragraph, [93.0, 765.0, 432.0, 18.0], dxWAG3gUTw, 5762781]
[paragraph, [93.0, 783.0, 432.0, 18.0], dxWAG3gUTw, 5762781]
[paragraph, [93.0, 801.0, 432.0, 18.0], dxWAG3gUTw, 5762781]
[paragraph, [93.0, 819.0, 432.0, 18.0], dxWAG3gUTw, 5762781]
[paragraph, [93.0, 837.0, 432.0, 18.0], dxWAG3gUTw, 5762781]
[paragraph, [93.0, 855.0, 432.0, 18.0], dxWAG3gUTw, 5762781]
[paragraph, [93.0, 873.0, 432.0, 18.0], dxWAG3gUTw, 5762781]
[paragraph, [93.0, 891.0, 432.0, 18.0], dxWAG3gUTw, 5762781]
[paragraph, [93.0, 909.0, 432.0, 18.0], dxWAG3gUTw, 5762781]
[paragraph, [93.0, 927.0, 432.0, 18.0], dxWAG3gUTw, 5762781]
[paragraph, [93.0, 945.0, 432.0, 18.0], dxWAG3gUTw, 5762781]
[paragraph, [93.0, 963.0, 432.0, 18.0], dxWAG3gUTw, 5762781]
[paragraph, [93.0, 981.0, 432.0, 18.0], dxWAG3gUTw, 5762781]
[paragraph, [93.0, 999.0, 432.0, 18.0], dxWAG3gUTw, 5762781]
[paragraph, [93.0, 1017.0, 432.0, 18.0], dxWAG3gUTw, 5762781]
[paragraph, [93.0, 1035.0, 432.0, 18.0], dxWAG3gUTw, 5762781]
[paragraph, [93.0, 1053.0, 432.0, 18.0], dxWAG3gUTw, 5762781]
[paragraph, [93.0, 1071.0, 432.0, 18.0], dxWAG3gUTw, 5762781]
[paragraph, [93.0, 1089.0, 432.0, 18.0], dxWAG3gUTw, 5762781]
[paragraph, [532.0, 641.0, 435.0, 18.0], f--zCcc9Ym, 5762781]
[paragraph, [532.0, 659.0, 435.0, 18.0], f--zCcc9Ym, 5762781]
[paragraph, [532.0, 677.0, 435.0, 18.0], f--zCcc9Ym, 5762781]
[paragraph, [532.0, 695.0, 435.0, 18.0], f--zCcc9Ym, 5762781]
[paragraph, [532.0, 713.0, 435.0, 18.0], f--zCcc9Ym, 5762781]
[paragraph, [535.0, 764.0, 430.0, 18.0], xE3T_NAQpm, 5762781]
[paragraph, [535.0, 782.0, 430.0, 18.0], xE3T_NAQpm, 5762781]
[paragraph, [535.0, 800.0, 430.0, 18.0], xE3T_NAQpm, 5762781]
[paragraph, [535.0, 818.0, 430.0, 18.0], xE3T_NAQpm, 5762781]
[paragraph, [535.0, 836.0, 430.0, 18.0], xE3T_NAQpm, 5762781]
[paragraph, [535.0, 854.0, 430.0, 18.0], xE3T_NAQpm, 5762781]
[paragraph, [535.0, 872.0, 430.0, 18.0], xE3T_NAQpm, 5762781]
[paragraph, [535.0, 890.0, 430.0, 18.0], xE3T_NAQpm, 5762781]
[paragraph, [535.0, 908.0, 430.0, 18.0], xE3T_NAQpm, 5762781]
[paragraph, [535.0, 926.0, 430.0, 18.0], xE3T_NAQpm, 5762781]
[paragraph, [535.0, 944.0, 430.0, 18.0], xE3T_NAQpm, 5762781]
[paragraph, [535.0, 962.0, 430.0, 18.0], xE3T_NAQpm, 5762781]
[paragraph, [535.0, 980.0, 430.0, 18.0], xE3T_NAQpm, 5762781]
[paragraph, [535.0, 998.0, 430.0, 18.0], xE3T_NAQpm, 5762781]
[paragraph, [535.0, 1016.0, 430.0, 18.0], xE3T_NAQpm, 5762781]
[paragraph, [535.0, 1034.0, 430.0, 18.0], xE3T_NAQpm, 5762781]
[paragraph, [535.0, 1052.0, 430.0, 18.0], xE3T_NAQpm, 5762781]
[paragraph, [535.0, 1070.0, 430.0, 18.0], xE3T_NAQpm, 5762781]
[section-title, [538.0, 1125.0, 170.0, 30.0], shoonya_0sETA7OX9PNYTU, 5762781]
[section-title, [93.0, 1130.0, 279.0, 30.0], A6DfuoHF3W, 5762781]
[paragraph, [535.0, 1175.0, 431.0, 18.0], RuUxNUHq3H, 5762781]
[paragraph, [535.0, 1193.0, 431.0, 18.0], RuUxNUHq3H, 5762781]
[paragraph, [535.0, 1211.0, 431.0, 18.0], RuUxNUHq3H, 5762781]
[paragraph, [535.0, 1229.0, 431.0, 18.0], RuUxNUHq3H, 5762781]
