[3060, 3960]
[section-title, [116.0, 485.0, 1186.0, 93.0], shoonya_0s38MESYR6SOET, 5695981]
[unordered-list, [164.0, 771.0, 2987.0, 52.5], SJUq8ZLFYM, 5695981]
[unordered-list, [164.0, 823.5, 2987.0, 52.5], SJUq8ZLFYM, 5695981]
[unordered-list, [164.0, 876.0, 2987.0, 52.5], SJUq8ZLFYM, 5695981]
[unordered-list, [164.0, 928.5, 2987.0, 52.5], SJUq8ZLFYM, 5695981]
[unordered-list, [164.0, 981.0, 2987.0, 52.5], SJUq8ZLFYM, 5695981]
[unordered-list, [164.0, 1033.5, 2987.0, 52.5], SJUq8ZLFYM, 5695981]
[unordered-list, [164.0, 1086.0, 2987.0, 52.5], SJUq8ZLFYM, 5695981]
[unordered-list, [164.0, 1138.5, 2987.0, 52.5], SJUq8ZLFYM, 5695981]
[unordered-list, [164.0, 1191.0, 2987.0, 52.5], SJUq8ZLFYM, 5695981]
[unordered-list, [164.0, 1243.5, 2987.0, 52.5], SJUq8ZLFYM, 5695981]
[unordered-list, [164.0, 1296.0, 2987.0, 52.5], SJUq8ZLFYM, 5695981]
[unordered-list, [164.0, 1348.5, 2987.0, 52.5], SJUq8ZLFYM, 5695981]
[unordered-list, [164.0, 1401.0, 2987.0, 52.5], SJUq8ZLFYM, 5695981]
[unordered-list, [164.0, 1453.5, 2987.0, 52.5], SJUq8ZLFYM, 5695981]
[unordered-list, [164.0, 1506.0, 2987.0, 52.5], SJUq8ZLFYM, 5695981]
[unordered-list, [164.0, 1558.5, 2987.0, 52.5], SJUq8ZLFYM, 5695981]
[unordered-list, [164.0, 1611.0, 2987.0, 52.5], SJUq8ZLFYM, 5695981]
[unordered-list, [164.0, 1663.5, 2987.0, 52.5], SJUq8ZLFYM, 5695981]
[unordered-list, [164.0, 1716.0, 2987.0, 52.5], SJUq8ZLFYM, 5695981]
[unordered-list, [164.0, 1768.5, 2987.0, 52.5], SJUq8ZLFYM, 5695981]
[unordered-list, [164.0, 1821.0, 2987.0, 52.5], SJUq8ZLFYM, 5695981]
[unordered-list, [164.0, 1873.5, 2987.0, 52.5], SJUq8ZLFYM, 5695981]
[figure-caption, [1646.0, 1972.0, 558.0, 52.5], XQcbymRj4H, 5695981]
[folio, [1146.0, 2364.0, 1633.0, 52.5], _9fOUu2i7I, 5695981]
[folio, [1146.0, 2416.5, 1633.0, 52.5], _9fOUu2i7I, 5695981]
[folio, [1146.0, 2469.0, 1633.0, 52.5], _9fOUu2i7I, 5695981]
[folio, [1146.0, 2521.5, 1633.0, 52.5], _9fOUu2i7I, 5695981]
