[2175, 1462]
[folio, [152.0, 129.0, 182.0, 36.0], fSU2ptObZg, 5655100]
[paragraph, [137.0, 223.0, 1203.0, 36.0], shoonya_1sZEOK4R93SBQ0, 5655100]
[paragraph, [137.0, 259.0, 1203.0, 36.0], shoonya_1sZEOK4R93SBQ0, 5655100]
[paragraph, [137.0, 295.0, 1203.0, 36.0], shoonya_1sZEOK4R93SBQ0, 5655100]
[paragraph, [137.0, 331.0, 1203.0, 36.0], shoonya_1sZEOK4R93SBQ0, 5655100]
[paragraph, [137.0, 367.0, 1203.0, 36.0], shoonya_1sZEOK4R93SBQ0, 5655100]
[paragraph, [137.0, 403.0, 1203.0, 36.0], shoonya_1sZEOK4R93SBQ0, 5655100]
[paragraph, [137.0, 439.0, 1203.0, 36.0], shoonya_1sZEOK4R93SBQ0, 5655100]
[paragraph, [137.0, 475.0, 1203.0, 36.0], shoonya_1sZEOK4R93SBQ0, 5655100]
[paragraph, [137.0, 511.0, 1203.0, 36.0], shoonya_1sZEOK4R93SBQ0, 5655100]
[paragraph, [137.0, 547.0, 1203.0, 36.0], shoonya_1sZEOK4R93SBQ0, 5655100]
[paragraph, [136.0, 631.0, 1207.0, 36.0], shoonya_0sBDRK85JBOSKU, 5655100]
[paragraph, [136.0, 667.0, 1207.0, 36.0], shoonya_0sBDRK85JBOSKU, 5655100]
[paragraph, [136.0, 703.0, 1207.0, 36.0], shoonya_0sBDRK85JBOSKU, 5655100]
[paragraph, [136.0, 739.0, 1207.0, 36.0], shoonya_0sBDRK85JBOSKU, 5655100]
[paragraph, [136.0, 775.0, 1207.0, 36.0], shoonya_0sBDRK85JBOSKU, 5655100]
[paragraph, [136.0, 811.0, 1207.0, 36.0], shoonya_0sBDRK85JBOSKU, 5655100]
[paragraph, [136.0, 847.0, 1207.0, 36.0], shoonya_0sBDRK85JBOSKU, 5655100]
[paragraph, [136.0, 883.0, 1207.0, 36.0], shoonya_0sBDRK85JBOSKU, 5655100]
[paragraph, [136.0, 919.0, 1207.0, 36.0], shoonya_0sBDRK85JBOSKU, 5655100]
[paragraph, [136.0, 955.0, 1207.0, 36.0], shoonya_0sBDRK85JBOSKU, 5655100]
[paragraph, [121.0, 1032.0, 1217.0, 36.0], shoonya_2s7YY284JK9S25, 5655100]
[paragraph, [121.0, 1068.0, 1217.0, 36.0], shoonya_2s7YY284JK9S25, 5655100]
[paragraph, [121.0, 1104.0, 1217.0, 36.0], shoonya_2s7YY284JK9S25, 5655100]
[paragraph, [121.0, 1140.0, 1217.0, 36.0], shoonya_2s7YY284JK9S25, 5655100]
[paragraph, [121.0, 1176.0, 1217.0, 36.0], shoonya_2s7YY284JK9S25, 5655100]
[paragraph, [121.0, 1212.0, 1217.0, 36.0], shoonya_2s7YY284JK9S25, 5655100]
[paragraph, [121.0, 1248.0, 1217.0, 36.0], shoonya_2s7YY284JK9S25, 5655100]
[paragraph, [121.0, 1284.0, 1217.0, 36.0], shoonya_2s7YY284JK9S25, 5655100]
[paragraph, [121.0, 1320.0, 1217.0, 36.0], shoonya_2s7YY284JK9S25, 5655100]
[paragraph, [121.0, 1356.0, 1217.0, 36.0], shoonya_2s7YY284JK9S25, 5655100]
[paragraph, [140.0, 1431.0, 1220.0, 36.0], shoonya_5sAVSVY37E1RVC, 5655100]
[paragraph, [140.0, 1467.0, 1220.0, 36.0], shoonya_5sAVSVY37E1RVC, 5655100]
[paragraph, [140.0, 1503.0, 1220.0, 36.0], shoonya_5sAVSVY37E1RVC, 5655100]
[paragraph, [140.0, 1539.0, 1220.0, 36.0], shoonya_5sAVSVY37E1RVC, 5655100]
[paragraph, [140.0, 1575.0, 1220.0, 36.0], shoonya_5sAVSVY37E1RVC, 5655100]
[paragraph, [140.0, 1611.0, 1220.0, 36.0], shoonya_5sAVSVY37E1RVC, 5655100]
[paragraph, [214.0, 1664.0, 654.0, 36.0], 8H5tnLTlXW, 5655100]
[paragraph, [214.0, 1700.0, 654.0, 36.0], 8H5tnLTlXW, 5655100]
[paragraph, [214.0, 1736.0, 654.0, 36.0], 8H5tnLTlXW, 5655100]
[paragraph, [142.0, 1795.0, 1211.0, 36.0], shoonya_6s5KHGQTCRUO2B, 5655100]
[paragraph, [142.0, 1831.0, 1211.0, 36.0], shoonya_6s5KHGQTCRUO2B, 5655100]
[paragraph, [142.0, 1867.0, 1211.0, 36.0], shoonya_6s5KHGQTCRUO2B, 5655100]
[paragraph, [142.0, 1903.0, 1211.0, 36.0], shoonya_6s5KHGQTCRUO2B, 5655100]
[reference, [155.0, 1986.0, 816.0, 36.0], CYyQtojq-m, 5655100]
