[1050, 693]
[folio, [74.0, 82.0, 103.0, 18.0], Z9X8hRp5dv, 5702165]
[folio, [74.0, 100.0, 103.0, 18.0], Z9X8hRp5dv, 5702165]
[paragraph, [80.0, 131.0, 529.0, 18.0], yfLfIamfiY, 5702165]
[paragraph, [80.0, 149.0, 529.0, 18.0], yfLfIamfiY, 5702165]
[paragraph, [80.0, 167.0, 529.0, 18.0], yfLfIamfiY, 5702165]
[paragraph, [80.0, 185.0, 529.0, 18.0], yfLfIamfiY, 5702165]
[paragraph, [80.0, 203.0, 529.0, 18.0], yfLfIamfiY, 5702165]
[paragraph, [80.0, 221.0, 529.0, 18.0], yfLfIamfiY, 5702165]
[paragraph, [80.0, 239.0, 529.0, 18.0], yfLfIamfiY, 5702165]
[paragraph, [80.0, 257.0, 529.0, 18.0], yfLfIamfiY, 5702165]
[paragraph, [80.0, 275.0, 529.0, 18.0], yfLfIamfiY, 5702165]
[paragraph, [80.0, 293.0, 529.0, 18.0], yfLfIamfiY, 5702165]
[paragraph, [130.0, 318.0, 450.0, 18.0], shoonya_0sCT2LU43B7YCA, 5702165]
[paragraph, [126.0, 349.0, 478.0, 18.0], gBxGdx8iyM, 5702165]
[paragraph, [78.0, 382.0, 531.0, 18.0], q50wm4N7xd, 5702165]
[paragraph, [78.0, 400.0, 531.0, 18.0], q50wm4N7xd, 5702165]
[paragraph, [78.0, 418.0, 531.0, 18.0], q50wm4N7xd, 5702165]
[paragraph, [78.0, 436.0, 531.0, 18.0], q50wm4N7xd, 5702165]
[paragraph, [78.0, 454.0, 531.0, 18.0], q50wm4N7xd, 5702165]
[paragraph, [78.0, 472.0, 531.0, 18.0], q50wm4N7xd, 5702165]
[paragraph, [78.0, 490.0, 531.0, 18.0], q50wm4N7xd, 5702165]
[paragraph, [78.0, 508.0, 531.0, 18.0], q50wm4N7xd, 5702165]
[paragraph, [78.0, 526.0, 531.0, 18.0], q50wm4N7xd, 5702165]
[paragraph, [78.0, 544.0, 531.0, 18.0], q50wm4N7xd, 5702165]
[paragraph, [78.0, 562.0, 531.0, 18.0], q50wm4N7xd, 5702165]
[paragraph, [80.0, 598.0, 531.0, 18.0], W2PecBkwdP, 5702165]
[paragraph, [80.0, 616.0, 531.0, 18.0], W2PecBkwdP, 5702165]
[paragraph, [80.0, 634.0, 531.0, 18.0], W2PecBkwdP, 5702165]
[paragraph, [80.0, 652.0, 531.0, 18.0], W2PecBkwdP, 5702165]
[paragraph, [80.0, 670.0, 531.0, 18.0], W2PecBkwdP, 5702165]
[paragraph, [83.0, 691.0, 533.0, 18.0], 08zzD3Vm9M, 5702165]
[paragraph, [83.0, 709.0, 533.0, 18.0], 08zzD3Vm9M, 5702165]
[paragraph, [83.0, 727.0, 533.0, 18.0], 08zzD3Vm9M, 5702165]
[paragraph, [83.0, 745.0, 533.0, 18.0], 08zzD3Vm9M, 5702165]
[paragraph, [83.0, 763.0, 533.0, 18.0], 08zzD3Vm9M, 5702165]
[paragraph, [83.0, 781.0, 533.0, 18.0], 08zzD3Vm9M, 5702165]
[paragraph, [83.0, 799.0, 533.0, 18.0], 08zzD3Vm9M, 5702165]
[paragraph, [83.0, 817.0, 533.0, 18.0], 08zzD3Vm9M, 5702165]
[paragraph, [82.0, 849.0, 531.0, 18.0], 7zGL7Eeixj, 5702165]
[paragraph, [82.0, 867.0, 531.0, 18.0], 7zGL7Eeixj, 5702165]
[paragraph, [82.0, 885.0, 531.0, 18.0], 7zGL7Eeixj, 5702165]
[paragraph, [82.0, 903.0, 531.0, 18.0], 7zGL7Eeixj, 5702165]
[paragraph, [82.0, 921.0, 531.0, 18.0], 7zGL7Eeixj, 5702165]
[paragraph, [82.0, 939.0, 531.0, 18.0], 7zGL7Eeixj, 5702165]
