[1684, 1191]
[folio, [405.0, 79.0, 405.0, 36.0], lvq7FsSwKo, 6464284]
[paragraph, [87.0, 173.0, 1015.0, 36.0], shoonya_0sUDTTR6Y55OXB, 6464284]
[paragraph, [87.0, 209.0, 1015.0, 36.0], shoonya_0sUDTTR6Y55OXB, 6464284]
[paragraph, [87.0, 245.0, 1015.0, 36.0], shoonya_0sUDTTR6Y55OXB, 6464284]
[paragraph, [87.0, 281.0, 1015.0, 36.0], shoonya_0sUDTTR6Y55OXB, 6464284]
[paragraph, [87.0, 317.0, 1015.0, 36.0], shoonya_0sUDTTR6Y55OXB, 6464284]
[paragraph, [87.0, 353.0, 1015.0, 36.0], shoonya_0sUDTTR6Y55OXB, 6464284]
[paragraph, [87.0, 389.0, 1015.0, 36.0], shoonya_0sUDTTR6Y55OXB, 6464284]
[paragraph, [87.0, 425.0, 1015.0, 36.0], shoonya_0sUDTTR6Y55OXB, 6464284]
[paragraph, [87.0, 461.0, 1015.0, 36.0], shoonya_0sUDTTR6Y55OXB, 6464284]
[paragraph, [87.0, 497.0, 1015.0, 36.0], shoonya_0sUDTTR6Y55OXB, 6464284]
[paragraph, [87.0, 533.0, 1015.0, 36.0], shoonya_0sUDTTR6Y55OXB, 6464284]
[paragraph, [87.0, 569.0, 1015.0, 36.0], shoonya_0sUDTTR6Y55OXB, 6464284]
[paragraph, [87.0, 605.0, 1015.0, 36.0], shoonya_0sUDTTR6Y55OXB, 6464284]
[paragraph, [87.0, 641.0, 1015.0, 36.0], shoonya_0sUDTTR6Y55OXB, 6464284]
[paragraph, [87.0, 677.0, 1015.0, 36.0], shoonya_0sUDTTR6Y55OXB, 6464284]
[paragraph, [87.0, 713.0, 1015.0, 36.0], shoonya_0sUDTTR6Y55OXB, 6464284]
[paragraph, [370.0, 791.0, 450.0, 36.0], MeWuOsPJD4, 6464284]
[paragraph, [91.0, 853.0, 1020.0, 36.0], Rc_K8Z8iHO, 6464284]
[paragraph, [91.0, 889.0, 1020.0, 36.0], Rc_K8Z8iHO, 6464284]
[paragraph, [91.0, 925.0, 1020.0, 36.0], Rc_K8Z8iHO, 6464284]
[paragraph, [91.0, 961.0, 1020.0, 36.0], Rc_K8Z8iHO, 6464284]
[paragraph, [91.0, 997.0, 1020.0, 36.0], Rc_K8Z8iHO, 6464284]
[paragraph, [119.0, 1059.0, 782.0, 36.0], hmTO0Nd_BK, 6464284]
[paragraph, [119.0, 1095.0, 782.0, 36.0], hmTO0Nd_BK, 6464284]
[paragraph, [119.0, 1131.0, 782.0, 36.0], hmTO0Nd_BK, 6464284]
[paragraph, [91.0, 1165.0, 1013.0, 36.0], 30MoeR_Tjh, 6464284]
[paragraph, [91.0, 1201.0, 1013.0, 36.0], 30MoeR_Tjh, 6464284]
[paragraph, [91.0, 1237.0, 1013.0, 36.0], 30MoeR_Tjh, 6464284]
[paragraph, [91.0, 1273.0, 1013.0, 36.0], 30MoeR_Tjh, 6464284]
[paragraph, [334.0, 1318.0, 532.0, 36.0], RS-eS3QuUt, 6464284]
