[2175, 1462]
[folio, [147.0, 149.0, 193.0, 36.0], WjDcalwvwa, 5654914]
[paragraph, [140.0, 246.0, 1189.0, 36.0], shoonya_0sP8BD1N8751TU, 5654914]
[paragraph, [140.0, 282.0, 1189.0, 36.0], shoonya_0sP8BD1N8751TU, 5654914]
[paragraph, [140.0, 318.0, 1189.0, 36.0], shoonya_0sP8BD1N8751TU, 5654914]
[paragraph, [140.0, 354.0, 1189.0, 36.0], shoonya_0sP8BD1N8751TU, 5654914]
[paragraph, [140.0, 390.0, 1189.0, 36.0], shoonya_0sP8BD1N8751TU, 5654914]
[paragraph, [140.0, 426.0, 1189.0, 36.0], shoonya_0sP8BD1N8751TU, 5654914]
[paragraph, [140.0, 462.0, 1189.0, 36.0], shoonya_0sP8BD1N8751TU, 5654914]
[paragraph, [140.0, 498.0, 1189.0, 36.0], shoonya_0sP8BD1N8751TU, 5654914]
[paragraph, [140.0, 534.0, 1189.0, 36.0], shoonya_0sP8BD1N8751TU, 5654914]
[paragraph, [140.0, 570.0, 1189.0, 36.0], shoonya_0sP8BD1N8751TU, 5654914]
[paragraph, [140.0, 606.0, 1189.0, 36.0], shoonya_0sP8BD1N8751TU, 5654914]
[paragraph, [140.0, 642.0, 1189.0, 36.0], shoonya_0sP8BD1N8751TU, 5654914]
[paragraph, [140.0, 678.0, 1189.0, 36.0], shoonya_0sP8BD1N8751TU, 5654914]
[paragraph, [140.0, 714.0, 1189.0, 36.0], shoonya_0sP8BD1N8751TU, 5654914]
[paragraph, [140.0, 750.0, 1189.0, 36.0], shoonya_0sP8BD1N8751TU, 5654914]
[paragraph, [140.0, 786.0, 1189.0, 36.0], shoonya_0sP8BD1N8751TU, 5654914]
[paragraph, [140.0, 822.0, 1189.0, 36.0], shoonya_0sP8BD1N8751TU, 5654914]
[paragraph, [140.0, 858.0, 1189.0, 36.0], shoonya_0sP8BD1N8751TU, 5654914]
[paragraph, [140.0, 894.0, 1189.0, 36.0], shoonya_0sP8BD1N8751TU, 5654914]
[paragraph, [140.0, 930.0, 1189.0, 36.0], shoonya_0sP8BD1N8751TU, 5654914]
[paragraph, [140.0, 966.0, 1189.0, 36.0], shoonya_0sP8BD1N8751TU, 5654914]
[paragraph, [140.0, 1002.0, 1189.0, 36.0], shoonya_0sP8BD1N8751TU, 5654914]
[paragraph, [140.0, 1038.0, 1189.0, 36.0], shoonya_0sP8BD1N8751TU, 5654914]
[paragraph, [140.0, 1074.0, 1189.0, 36.0], shoonya_0sP8BD1N8751TU, 5654914]
[paragraph, [140.0, 1110.0, 1189.0, 36.0], shoonya_0sP8BD1N8751TU, 5654914]
[paragraph, [140.0, 1146.0, 1189.0, 36.0], shoonya_0sP8BD1N8751TU, 5654914]
[paragraph, [140.0, 1182.0, 1189.0, 36.0], shoonya_0sP8BD1N8751TU, 5654914]
[paragraph, [140.0, 1218.0, 1189.0, 36.0], shoonya_0sP8BD1N8751TU, 5654914]
[paragraph, [140.0, 1254.0, 1189.0, 36.0], shoonya_0sP8BD1N8751TU, 5654914]
[paragraph, [140.0, 1290.0, 1189.0, 36.0], shoonya_0sP8BD1N8751TU, 5654914]
[paragraph, [140.0, 1326.0, 1189.0, 36.0], shoonya_0sP8BD1N8751TU, 5654914]
[paragraph, [140.0, 1362.0, 1189.0, 36.0], shoonya_0sP8BD1N8751TU, 5654914]
[paragraph, [140.0, 1398.0, 1189.0, 36.0], shoonya_0sP8BD1N8751TU, 5654914]
[paragraph, [140.0, 1434.0, 1189.0, 36.0], shoonya_0sP8BD1N8751TU, 5654914]
[paragraph, [140.0, 1470.0, 1189.0, 36.0], shoonya_0sP8BD1N8751TU, 5654914]
[paragraph, [140.0, 1506.0, 1189.0, 36.0], shoonya_0sP8BD1N8751TU, 5654914]
[paragraph, [140.0, 1542.0, 1189.0, 36.0], shoonya_0sP8BD1N8751TU, 5654914]
[paragraph, [140.0, 1578.0, 1189.0, 36.0], shoonya_0sP8BD1N8751TU, 5654914]
[paragraph, [140.0, 1614.0, 1189.0, 36.0], shoonya_0sP8BD1N8751TU, 5654914]
[paragraph, [140.0, 1650.0, 1189.0, 36.0], shoonya_0sP8BD1N8751TU, 5654914]
[paragraph, [142.0, 1719.0, 1189.0, 36.0], shoonya_2sHU7943IXN9PR, 5654914]
[paragraph, [142.0, 1755.0, 1189.0, 36.0], shoonya_2sHU7943IXN9PR, 5654914]
[paragraph, [142.0, 1791.0, 1189.0, 36.0], shoonya_2sHU7943IXN9PR, 5654914]
[paragraph, [142.0, 1827.0, 1189.0, 36.0], shoonya_2sHU7943IXN9PR, 5654914]
[paragraph, [142.0, 1863.0, 1189.0, 36.0], shoonya_2sHU7943IXN9PR, 5654914]
[paragraph, [142.0, 1899.0, 1189.0, 36.0], shoonya_2sHU7943IXN9PR, 5654914]
[reference, [153.0, 1981.0, 492.0, 36.0], 2GfcZR90og, 5654914]
