[2163, 1426]
[folio, [133.0, 126.0, 112.0, 36.0], nMWYEtW4D4, 5654925]
[paragraph, [204.0, 222.0, 556.0, 36.0], qkock_dOtV, 5654925]
[paragraph, [204.0, 258.0, 556.0, 36.0], qkock_dOtV, 5654925]
[paragraph, [204.0, 294.0, 556.0, 36.0], qkock_dOtV, 5654925]
[paragraph, [132.0, 370.0, 1170.0, 36.0], shoonya_1s70PNGHCDNX77, 5654925]
[paragraph, [132.0, 406.0, 1170.0, 36.0], shoonya_1s70PNGHCDNX77, 5654925]
[paragraph, [132.0, 442.0, 1170.0, 36.0], shoonya_1s70PNGHCDNX77, 5654925]
[paragraph, [210.0, 534.0, 581.0, 36.0], bWuk37Nqx-, 5654925]
[paragraph, [210.0, 570.0, 581.0, 36.0], bWuk37Nqx-, 5654925]
[paragraph, [210.0, 606.0, 581.0, 36.0], bWuk37Nqx-, 5654925]
[paragraph, [210.0, 642.0, 581.0, 36.0], bWuk37Nqx-, 5654925]
[paragraph, [210.0, 678.0, 581.0, 36.0], bWuk37Nqx-, 5654925]
[paragraph, [210.0, 714.0, 581.0, 36.0], bWuk37Nqx-, 5654925]
[paragraph, [210.0, 789.0, 1033.0, 36.0], rsBdZ5shmT, 5654925]
[paragraph, [210.0, 873.0, 614.0, 36.0], 3q4JPus4-G, 5654925]
[paragraph, [210.0, 909.0, 614.0, 36.0], 3q4JPus4-G, 5654925]
[paragraph, [210.0, 945.0, 614.0, 36.0], 3q4JPus4-G, 5654925]
[paragraph, [134.0, 1016.0, 1181.0, 36.0], shoonya_0sICN9KSE40ROA, 5654925]
[paragraph, [134.0, 1052.0, 1181.0, 36.0], shoonya_0sICN9KSE40ROA, 5654925]
[paragraph, [134.0, 1088.0, 1181.0, 36.0], shoonya_0sICN9KSE40ROA, 5654925]
[paragraph, [134.0, 1124.0, 1181.0, 36.0], shoonya_0sICN9KSE40ROA, 5654925]
[paragraph, [134.0, 1160.0, 1181.0, 36.0], shoonya_0sICN9KSE40ROA, 5654925]
[paragraph, [134.0, 1196.0, 1181.0, 36.0], shoonya_0sICN9KSE40ROA, 5654925]
[paragraph, [134.0, 1232.0, 1181.0, 36.0], shoonya_0sICN9KSE40ROA, 5654925]
[paragraph, [134.0, 1268.0, 1181.0, 36.0], shoonya_0sICN9KSE40ROA, 5654925]
[paragraph, [134.0, 1304.0, 1181.0, 36.0], shoonya_0sICN9KSE40ROA, 5654925]
[paragraph, [134.0, 1340.0, 1181.0, 36.0], shoonya_0sICN9KSE40ROA, 5654925]
[paragraph, [134.0, 1376.0, 1181.0, 36.0], shoonya_0sICN9KSE40ROA, 5654925]
[paragraph, [134.0, 1412.0, 1181.0, 36.0], shoonya_0sICN9KSE40ROA, 5654925]
[paragraph, [134.0, 1448.0, 1181.0, 36.0], shoonya_0sICN9KSE40ROA, 5654925]
[paragraph, [134.0, 1484.0, 1181.0, 36.0], shoonya_0sICN9KSE40ROA, 5654925]
[paragraph, [134.0, 1520.0, 1181.0, 36.0], shoonya_0sICN9KSE40ROA, 5654925]
[paragraph, [134.0, 1556.0, 1181.0, 36.0], shoonya_0sICN9KSE40ROA, 5654925]
[paragraph, [134.0, 1592.0, 1181.0, 36.0], shoonya_0sICN9KSE40ROA, 5654925]
[paragraph, [134.0, 1628.0, 1181.0, 36.0], shoonya_0sICN9KSE40ROA, 5654925]
[paragraph, [134.0, 1664.0, 1181.0, 36.0], shoonya_0sICN9KSE40ROA, 5654925]
[paragraph, [134.0, 1700.0, 1181.0, 36.0], shoonya_0sICN9KSE40ROA, 5654925]
[paragraph, [134.0, 1736.0, 1181.0, 36.0], shoonya_0sICN9KSE40ROA, 5654925]
[paragraph, [134.0, 1772.0, 1181.0, 36.0], shoonya_0sICN9KSE40ROA, 5654925]
[paragraph, [134.0, 1808.0, 1181.0, 36.0], shoonya_0sICN9KSE40ROA, 5654925]
[paragraph, [134.0, 1844.0, 1181.0, 36.0], shoonya_0sICN9KSE40ROA, 5654925]
[paragraph, [134.0, 1880.0, 1181.0, 36.0], shoonya_0sICN9KSE40ROA, 5654925]
[paragraph, [134.0, 1916.0, 1181.0, 36.0], shoonya_0sICN9KSE40ROA, 5654925]
[paragraph, [134.0, 1952.0, 1181.0, 36.0], shoonya_0sICN9KSE40ROA, 5654925]
