[1650, 1275]
[paragraph, [198.0, 124.0, 872.0, 36.0], shoonya_3sZPZABHQF3DQH, 5714557]
[paragraph, [198.0, 160.0, 872.0, 36.0], shoonya_3sZPZABHQF3DQH, 5714557]
[paragraph, [198.0, 196.0, 872.0, 36.0], shoonya_3sZPZABHQF3DQH, 5714557]
[paragraph, [198.0, 232.0, 872.0, 36.0], shoonya_3sZPZABHQF3DQH, 5714557]
[paragraph, [198.0, 268.0, 872.0, 36.0], shoonya_3sZPZABHQF3DQH, 5714557]
[paragraph, [311.0, 329.0, 493.0, 36.0], shoonya_5sVTNJD4GET773, 5714557]
[paragraph, [311.0, 365.0, 493.0, 36.0], shoonya_5sVTNJD4GET773, 5714557]
[paragraph, [311.0, 401.0, 493.0, 36.0], shoonya_5sVTNJD4GET773, 5714557]
[paragraph, [197.0, 489.0, 872.0, 36.0], shoonya_4sHODMIG1LWV6E, 5714557]
[paragraph, [197.0, 525.0, 872.0, 36.0], shoonya_4sHODMIG1LWV6E, 5714557]
[paragraph, [197.0, 561.0, 872.0, 36.0], shoonya_4sHODMIG1LWV6E, 5714557]
[paragraph, [197.0, 597.0, 872.0, 36.0], shoonya_4sHODMIG1LWV6E, 5714557]
[paragraph, [197.0, 633.0, 872.0, 36.0], shoonya_4sHODMIG1LWV6E, 5714557]
[paragraph, [197.0, 669.0, 872.0, 36.0], shoonya_4sHODMIG1LWV6E, 5714557]
[paragraph, [197.0, 705.0, 872.0, 36.0], shoonya_4sHODMIG1LWV6E, 5714557]
[paragraph, [197.0, 741.0, 872.0, 36.0], shoonya_4sHODMIG1LWV6E, 5714557]
[paragraph, [197.0, 777.0, 872.0, 36.0], shoonya_4sHODMIG1LWV6E, 5714557]
[paragraph, [197.0, 813.0, 872.0, 36.0], shoonya_4sHODMIG1LWV6E, 5714557]
[paragraph, [201.0, 874.0, 869.0, 36.0], shoonya_0sOQZR5JRG337X, 5714557]
[paragraph, [201.0, 910.0, 869.0, 36.0], shoonya_0sOQZR5JRG337X, 5714557]
[paragraph, [201.0, 946.0, 869.0, 36.0], shoonya_0sOQZR5JRG337X, 5714557]
[paragraph, [201.0, 982.0, 869.0, 36.0], shoonya_0sOQZR5JRG337X, 5714557]
[paragraph, [201.0, 1018.0, 869.0, 36.0], shoonya_0sOQZR5JRG337X, 5714557]
[paragraph, [302.0, 1063.0, 345.0, 36.0], ITyMu8BlwP, 5714557]
[paragraph, [302.0, 1099.0, 345.0, 36.0], ITyMu8BlwP, 5714557]
[paragraph, [302.0, 1135.0, 345.0, 36.0], ITyMu8BlwP, 5714557]
[paragraph, [302.0, 1171.0, 345.0, 36.0], ITyMu8BlwP, 5714557]
[paragraph, [302.0, 1207.0, 345.0, 36.0], ITyMu8BlwP, 5714557]
[paragraph, [302.0, 1243.0, 345.0, 36.0], ITyMu8BlwP, 5714557]
[paragraph, [302.0, 1279.0, 345.0, 36.0], ITyMu8BlwP, 5714557]
[paragraph, [302.0, 1315.0, 345.0, 36.0], ITyMu8BlwP, 5714557]
[paragraph, [302.0, 1351.0, 345.0, 36.0], ITyMu8BlwP, 5714557]
