[579, 396]
[section-title, [98.0, 12.0, 208.0, 30.0], SIdOx6QBxx, 6493795]
[paragraph, [59.0, 66.0, 305.0, 18.0], shoonya_0sZOCZHROLQFIB, 6493795]
[paragraph, [59.0, 84.0, 305.0, 18.0], shoonya_0sZOCZHROLQFIB, 6493795]
[paragraph, [59.0, 102.0, 305.0, 18.0], shoonya_0sZOCZHROLQFIB, 6493795]
[paragraph, [100.0, 130.0, 247.0, 18.0], zXYe3n67D2, 6493795]
[paragraph, [100.0, 148.0, 247.0, 18.0], zXYe3n67D2, 6493795]
[paragraph, [100.0, 166.0, 247.0, 18.0], zXYe3n67D2, 6493795]
[paragraph, [100.0, 184.0, 247.0, 18.0], zXYe3n67D2, 6493795]
[paragraph, [100.0, 202.0, 247.0, 18.0], zXYe3n67D2, 6493795]
[paragraph, [75.0, 230.0, 275.0, 18.0], sgPICSE3m5, 6493795]
[paragraph, [75.0, 248.0, 275.0, 18.0], sgPICSE3m5, 6493795]
[paragraph, [75.0, 266.0, 275.0, 18.0], sgPICSE3m5, 6493795]
[paragraph, [75.0, 284.0, 275.0, 18.0], sgPICSE3m5, 6493795]
[paragraph, [75.0, 302.0, 275.0, 18.0], sgPICSE3m5, 6493795]
[paragraph, [76.0, 328.0, 269.0, 18.0], W-D9k7ts_u, 6493795]
[paragraph, [76.0, 346.0, 269.0, 18.0], W-D9k7ts_u, 6493795]
[paragraph, [76.0, 364.0, 269.0, 18.0], W-D9k7ts_u, 6493795]
[paragraph, [76.0, 382.0, 269.0, 18.0], W-D9k7ts_u, 6493795]
[paragraph, [72.0, 414.0, 249.0, 18.0], XVLkEoo6xd, 6493795]
[paragraph, [72.0, 432.0, 249.0, 18.0], XVLkEoo6xd, 6493795]
[paragraph, [72.0, 450.0, 249.0, 18.0], XVLkEoo6xd, 6493795]
[paragraph, [72.0, 468.0, 249.0, 18.0], XVLkEoo6xd, 6493795]
[folio, [188.0, 511.0, 117.0, 18.0], iY-is8zJy9, 6493795]
