[554, 326]
[folio, [142.0, 19.0, 48.0, 18.0], pczmVgdBj1, 5681116]
[paragraph, [25.0, 44.0, 287.0, 18.0], shoonya_1sUCCFBB60WT2A, 5681116]
[paragraph, [25.0, 62.0, 287.0, 18.0], shoonya_1sUCCFBB60WT2A, 5681116]
[paragraph, [25.0, 80.0, 287.0, 18.0], shoonya_1sUCCFBB60WT2A, 5681116]
[paragraph, [25.0, 98.0, 287.0, 18.0], shoonya_1sUCCFBB60WT2A, 5681116]
[paragraph, [25.0, 116.0, 287.0, 18.0], shoonya_1sUCCFBB60WT2A, 5681116]
[paragraph, [25.0, 134.0, 287.0, 18.0], shoonya_1sUCCFBB60WT2A, 5681116]
[paragraph, [25.0, 152.0, 287.0, 18.0], shoonya_1sUCCFBB60WT2A, 5681116]
[paragraph, [25.0, 170.0, 287.0, 18.0], shoonya_1sUCCFBB60WT2A, 5681116]
[paragraph, [23.0, 236.0, 287.0, 18.0], shoonya_0sRU1MBF1S5G6W, 5681116]
[paragraph, [23.0, 254.0, 287.0, 18.0], shoonya_0sRU1MBF1S5G6W, 5681116]
[paragraph, [23.0, 272.0, 287.0, 18.0], shoonya_0sRU1MBF1S5G6W, 5681116]
[paragraph, [23.0, 290.0, 287.0, 18.0], shoonya_0sRU1MBF1S5G6W, 5681116]
[paragraph, [23.0, 308.0, 287.0, 18.0], shoonya_0sRU1MBF1S5G6W, 5681116]
[paragraph, [23.0, 326.0, 287.0, 18.0], shoonya_0sRU1MBF1S5G6W, 5681116]
[paragraph, [23.0, 344.0, 287.0, 18.0], shoonya_0sRU1MBF1S5G6W, 5681116]
[paragraph, [23.0, 362.0, 287.0, 18.0], shoonya_0sRU1MBF1S5G6W, 5681116]
[paragraph, [23.0, 380.0, 287.0, 18.0], shoonya_0sRU1MBF1S5G6W, 5681116]
[paragraph, [23.0, 398.0, 287.0, 18.0], shoonya_0sRU1MBF1S5G6W, 5681116]
[paragraph, [23.0, 416.0, 287.0, 18.0], shoonya_0sRU1MBF1S5G6W, 5681116]
[paragraph, [23.0, 434.0, 287.0, 18.0], shoonya_0sRU1MBF1S5G6W, 5681116]
[paragraph, [23.0, 452.0, 287.0, 18.0], shoonya_0sRU1MBF1S5G6W, 5681116]
[paragraph, [23.0, 470.0, 287.0, 18.0], shoonya_0sRU1MBF1S5G6W, 5681116]
[paragraph, [23.0, 488.0, 287.0, 18.0], shoonya_0sRU1MBF1S5G6W, 5681116]
