[3509, 2482]
[folio, [869.0, 224.0, 466.0, 52.5], shoonya_0sZGHZJFW58RRI, 5692408]
[paragraph, [207.0, 347.0, 1814.0, 52.5], wOW749li8Z, 5692408]
[paragraph, [207.0, 399.5, 1814.0, 52.5], wOW749li8Z, 5692408]
[paragraph, [207.0, 452.0, 1814.0, 52.5], wOW749li8Z, 5692408]
[paragraph, [207.0, 504.5, 1814.0, 52.5], wOW749li8Z, 5692408]
[paragraph, [207.0, 557.0, 1814.0, 52.5], wOW749li8Z, 5692408]
[paragraph, [207.0, 609.5, 1814.0, 52.5], wOW749li8Z, 5692408]
[paragraph, [207.0, 662.0, 1814.0, 52.5], wOW749li8Z, 5692408]
[paragraph, [207.0, 714.5, 1814.0, 52.5], wOW749li8Z, 5692408]
[paragraph, [207.0, 767.0, 1814.0, 52.5], wOW749li8Z, 5692408]
[paragraph, [207.0, 819.5, 1814.0, 52.5], wOW749li8Z, 5692408]
[paragraph, [207.0, 872.0, 1814.0, 52.5], wOW749li8Z, 5692408]
[paragraph, [207.0, 924.5, 1814.0, 52.5], wOW749li8Z, 5692408]
[paragraph, [207.0, 977.0, 1814.0, 52.5], wOW749li8Z, 5692408]
[paragraph, [207.0, 1029.5, 1814.0, 52.5], wOW749li8Z, 5692408]
[paragraph, [207.0, 1082.0, 1814.0, 52.5], wOW749li8Z, 5692408]
[paragraph, [207.0, 1134.5, 1814.0, 52.5], wOW749li8Z, 5692408]
[paragraph, [192.0, 1203.0, 1845.0, 52.5], UsHZ9KW1IY, 5692408]
[paragraph, [192.0, 1255.5, 1845.0, 52.5], UsHZ9KW1IY, 5692408]
[paragraph, [192.0, 1308.0, 1845.0, 52.5], UsHZ9KW1IY, 5692408]
[paragraph, [192.0, 1360.5, 1845.0, 52.5], UsHZ9KW1IY, 5692408]
[paragraph, [192.0, 1413.0, 1845.0, 52.5], UsHZ9KW1IY, 5692408]
[paragraph, [192.0, 1465.5, 1845.0, 52.5], UsHZ9KW1IY, 5692408]
[paragraph, [192.0, 1518.0, 1845.0, 52.5], UsHZ9KW1IY, 5692408]
[paragraph, [192.0, 1570.5, 1845.0, 52.5], UsHZ9KW1IY, 5692408]
[paragraph, [192.0, 1623.0, 1845.0, 52.5], UsHZ9KW1IY, 5692408]
[paragraph, [195.0, 1684.0, 1830.0, 52.5], SNESffs4UW, 5692408]
[paragraph, [195.0, 1736.5, 1830.0, 52.5], SNESffs4UW, 5692408]
[paragraph, [300.0, 1830.0, 676.0, 52.5], PSRkQxhOaH, 5692408]
[paragraph, [297.0, 1908.0, 1126.0, 52.5], A1MjvkBz5j, 5692408]
[paragraph, [307.0, 1991.0, 887.0, 52.5], XGxn3S0Iur, 5692408]
[paragraph, [198.0, 2060.0, 1830.0, 52.5], vJCn1wiL53, 5692408]
[paragraph, [198.0, 2112.5, 1830.0, 52.5], vJCn1wiL53, 5692408]
[paragraph, [198.0, 2165.0, 1830.0, 52.5], vJCn1wiL53, 5692408]
[paragraph, [198.0, 2217.5, 1830.0, 52.5], vJCn1wiL53, 5692408]
[paragraph, [198.0, 2270.0, 1830.0, 52.5], vJCn1wiL53, 5692408]
[paragraph, [198.0, 2322.5, 1830.0, 52.5], vJCn1wiL53, 5692408]
[paragraph, [198.0, 2375.0, 1830.0, 52.5], vJCn1wiL53, 5692408]
[paragraph, [307.0, 2457.0, 784.0, 52.5], rcYXcWAeFY, 5692408]
[paragraph, [288.0, 2528.0, 1197.0, 52.5], MGkm1iQ1RE, 5692408]
[paragraph, [291.0, 2606.0, 698.0, 52.5], UKUyt59CIG, 5692408]
[paragraph, [297.0, 2683.0, 245.0, 52.5], KSOMG_DaYv, 5692408]
[paragraph, [288.0, 2748.0, 369.0, 52.5], e7wEVxEucq, 5692408]
[paragraph, [217.0, 2832.0, 1783.0, 52.5], sKV7c5TvXM, 5692408]
[paragraph, [217.0, 2884.5, 1783.0, 52.5], sKV7c5TvXM, 5692408]
[paragraph, [217.0, 2937.0, 1783.0, 52.5], sKV7c5TvXM, 5692408]
[paragraph, [304.0, 2993.0, 1151.0, 52.5], Qssdu9Wiyu, 5692408]
[paragraph, [297.0, 3074.0, 1092.0, 52.5], hiYlDDHaKQ, 5692408]
[paragraph, [297.0, 3145.0, 474.0, 52.5], B-zI8swMTj, 5692408]
[paragraph, [300.0, 3226.0, 623.0, 52.5], Bl1qZI9nra, 5692408]
[paragraph, [300.0, 3278.5, 623.0, 52.5], Bl1qZI9nra, 5692408]
