[842, 612]
[contact-info, [100.0, 42.0, 447.0, 18.0], ag11kyOD-J, 5707083]
[paragraph, [70.0, 167.0, 507.0, 18.0], shoonya_1s0HH9EQRNAAAF, 5707083]
[paragraph, [70.0, 185.0, 507.0, 18.0], shoonya_1s0HH9EQRNAAAF, 5707083]
[paragraph, [70.0, 203.0, 507.0, 18.0], shoonya_1s0HH9EQRNAAAF, 5707083]
[paragraph, [70.0, 221.0, 507.0, 18.0], shoonya_1s0HH9EQRNAAAF, 5707083]
[paragraph, [70.0, 239.0, 507.0, 18.0], shoonya_1s0HH9EQRNAAAF, 5707083]
[paragraph, [70.0, 257.0, 507.0, 18.0], shoonya_1s0HH9EQRNAAAF, 5707083]
[paragraph, [70.0, 275.0, 507.0, 18.0], shoonya_1s0HH9EQRNAAAF, 5707083]
[paragraph, [70.0, 293.0, 507.0, 18.0], shoonya_1s0HH9EQRNAAAF, 5707083]
[paragraph, [70.0, 311.0, 507.0, 18.0], shoonya_1s0HH9EQRNAAAF, 5707083]
[paragraph, [70.0, 329.0, 507.0, 18.0], shoonya_1s0HH9EQRNAAAF, 5707083]
[paragraph, [70.0, 347.0, 507.0, 18.0], shoonya_1s0HH9EQRNAAAF, 5707083]
[paragraph, [70.0, 365.0, 507.0, 18.0], shoonya_1s0HH9EQRNAAAF, 5707083]
[paragraph, [70.0, 383.0, 507.0, 18.0], shoonya_1s0HH9EQRNAAAF, 5707083]
[paragraph, [70.0, 401.0, 507.0, 18.0], shoonya_1s0HH9EQRNAAAF, 5707083]
[paragraph, [70.0, 419.0, 507.0, 18.0], shoonya_1s0HH9EQRNAAAF, 5707083]
[paragraph, [70.0, 437.0, 507.0, 18.0], shoonya_1s0HH9EQRNAAAF, 5707083]
[paragraph, [70.0, 455.0, 507.0, 18.0], shoonya_1s0HH9EQRNAAAF, 5707083]
[paragraph, [70.0, 473.0, 507.0, 18.0], shoonya_1s0HH9EQRNAAAF, 5707083]
[paragraph, [70.0, 491.0, 507.0, 18.0], shoonya_1s0HH9EQRNAAAF, 5707083]
[paragraph, [70.0, 509.0, 507.0, 18.0], shoonya_1s0HH9EQRNAAAF, 5707083]
[paragraph, [70.0, 527.0, 507.0, 18.0], shoonya_1s0HH9EQRNAAAF, 5707083]
[contact-info, [414.0, 608.0, 147.0, 18.0], sEBHX4rcos, 5707083]
[contact-info, [414.0, 626.0, 147.0, 18.0], sEBHX4rcos, 5707083]
[contact-info, [414.0, 644.0, 147.0, 18.0], sEBHX4rcos, 5707083]
[contact-info, [414.0, 662.0, 147.0, 18.0], sEBHX4rcos, 5707083]
[contact-info, [414.0, 680.0, 147.0, 18.0], sEBHX4rcos, 5707083]
