[1650, 1275]
[chapter-title, [102.0, 25.0, 276.0, 58.5], shoonya_0sX5T7ROZJ001T, 5774910]
[paragraph, [135.0, 117.0, 1018.0, 36.0], 5YkMqWCxuS, 5774910]
[paragraph, [135.0, 153.0, 1018.0, 36.0], 5YkMqWCxuS, 5774910]
[paragraph, [135.0, 189.0, 1018.0, 36.0], 5YkMqWCxuS, 5774910]
[paragraph, [133.0, 251.0, 1018.0, 36.0], KfcC9_Tqpw, 5774910]
[paragraph, [133.0, 287.0, 1018.0, 36.0], KfcC9_Tqpw, 5774910]
[paragraph, [133.0, 347.0, 1015.0, 36.0], LEasygy_ui, 5774910]
[paragraph, [133.0, 383.0, 1015.0, 36.0], LEasygy_ui, 5774910]
[paragraph, [133.0, 419.0, 1015.0, 36.0], LEasygy_ui, 5774910]
[paragraph, [133.0, 455.0, 1015.0, 36.0], LEasygy_ui, 5774910]
[paragraph, [133.0, 491.0, 1015.0, 36.0], LEasygy_ui, 5774910]
[paragraph, [135.0, 538.0, 1010.0, 36.0], EAfbE2o_hS, 5774910]
[paragraph, [135.0, 574.0, 1010.0, 36.0], EAfbE2o_hS, 5774910]
[paragraph, [135.0, 610.0, 1010.0, 36.0], EAfbE2o_hS, 5774910]
[paragraph, [130.0, 663.0, 1013.0, 36.0], Qy08OmtQmI, 5774910]
[paragraph, [130.0, 699.0, 1013.0, 36.0], Qy08OmtQmI, 5774910]
[paragraph, [129.0, 841.0, 997.0, 36.0], T1TnKs7OHt, 5774910]
[paragraph, [129.0, 877.0, 997.0, 36.0], T1TnKs7OHt, 5774910]
[paragraph, [129.0, 913.0, 997.0, 36.0], T1TnKs7OHt, 5774910]
[paragraph, [129.0, 949.0, 997.0, 36.0], T1TnKs7OHt, 5774910]
[paragraph, [129.0, 985.0, 997.0, 36.0], T1TnKs7OHt, 5774910]
[paragraph, [129.0, 1021.0, 997.0, 36.0], T1TnKs7OHt, 5774910]
