[2200, 1700]
[paragraph, [117.0, 170.0, 534.0, 36.0], lnDhoYdEGi, 5658787]
[paragraph, [117.0, 206.0, 534.0, 36.0], lnDhoYdEGi, 5658787]
[paragraph, [117.0, 242.0, 534.0, 36.0], lnDhoYdEGi, 5658787]
[paragraph, [117.0, 278.0, 534.0, 36.0], lnDhoYdEGi, 5658787]
[paragraph, [117.0, 314.0, 534.0, 36.0], lnDhoYdEGi, 5658787]
[paragraph, [117.0, 350.0, 534.0, 36.0], lnDhoYdEGi, 5658787]
[paragraph, [117.0, 386.0, 534.0, 36.0], lnDhoYdEGi, 5658787]
[paragraph, [117.0, 422.0, 534.0, 36.0], lnDhoYdEGi, 5658787]
[paragraph, [117.0, 458.0, 534.0, 36.0], lnDhoYdEGi, 5658787]
[paragraph, [117.0, 494.0, 534.0, 36.0], lnDhoYdEGi, 5658787]
[paragraph, [117.0, 530.0, 534.0, 36.0], lnDhoYdEGi, 5658787]
[paragraph, [117.0, 566.0, 534.0, 36.0], lnDhoYdEGi, 5658787]
[paragraph, [117.0, 602.0, 534.0, 36.0], lnDhoYdEGi, 5658787]
[paragraph, [117.0, 638.0, 534.0, 36.0], lnDhoYdEGi, 5658787]
[paragraph, [117.0, 674.0, 534.0, 36.0], lnDhoYdEGi, 5658787]
[paragraph, [117.0, 710.0, 534.0, 36.0], lnDhoYdEGi, 5658787]
[paragraph, [117.0, 746.0, 534.0, 36.0], lnDhoYdEGi, 5658787]
[paragraph, [117.0, 782.0, 534.0, 36.0], lnDhoYdEGi, 5658787]
[paragraph, [117.0, 818.0, 534.0, 36.0], lnDhoYdEGi, 5658787]
[paragraph, [117.0, 854.0, 534.0, 36.0], lnDhoYdEGi, 5658787]
[paragraph, [117.0, 890.0, 534.0, 36.0], lnDhoYdEGi, 5658787]
[paragraph, [117.0, 926.0, 534.0, 36.0], lnDhoYdEGi, 5658787]
[paragraph, [117.0, 962.0, 534.0, 36.0], lnDhoYdEGi, 5658787]
[paragraph, [117.0, 998.0, 534.0, 36.0], lnDhoYdEGi, 5658787]
[paragraph, [117.0, 1034.0, 534.0, 36.0], lnDhoYdEGi, 5658787]
[paragraph, [117.0, 1070.0, 534.0, 36.0], lnDhoYdEGi, 5658787]
[paragraph, [117.0, 1106.0, 534.0, 36.0], lnDhoYdEGi, 5658787]
[paragraph, [117.0, 1142.0, 534.0, 36.0], lnDhoYdEGi, 5658787]
[paragraph, [117.0, 1178.0, 534.0, 36.0], lnDhoYdEGi, 5658787]
[paragraph, [117.0, 1214.0, 534.0, 36.0], lnDhoYdEGi, 5658787]
[paragraph, [117.0, 1250.0, 534.0, 36.0], lnDhoYdEGi, 5658787]
[paragraph, [117.0, 1286.0, 534.0, 36.0], lnDhoYdEGi, 5658787]
[paragraph, [117.0, 1322.0, 534.0, 36.0], lnDhoYdEGi, 5658787]
[paragraph, [117.0, 1358.0, 534.0, 36.0], lnDhoYdEGi, 5658787]
[paragraph, [117.0, 1394.0, 534.0, 36.0], lnDhoYdEGi, 5658787]
[paragraph, [117.0, 1430.0, 534.0, 36.0], lnDhoYdEGi, 5658787]
[paragraph, [117.0, 1466.0, 534.0, 36.0], lnDhoYdEGi, 5658787]
[paragraph, [117.0, 1502.0, 534.0, 36.0], lnDhoYdEGi, 5658787]
[paragraph, [117.0, 1538.0, 534.0, 36.0], lnDhoYdEGi, 5658787]
[paragraph, [117.0, 1574.0, 534.0, 36.0], lnDhoYdEGi, 5658787]
[paragraph, [117.0, 1610.0, 534.0, 36.0], lnDhoYdEGi, 5658787]
[paragraph, [117.0, 1646.0, 534.0, 36.0], lnDhoYdEGi, 5658787]
[paragraph, [117.0, 1682.0, 534.0, 36.0], lnDhoYdEGi, 5658787]
[paragraph, [117.0, 1718.0, 534.0, 36.0], lnDhoYdEGi, 5658787]
[paragraph, [117.0, 1754.0, 534.0, 36.0], lnDhoYdEGi, 5658787]
[paragraph, [117.0, 1790.0, 534.0, 36.0], lnDhoYdEGi, 5658787]
[paragraph, [117.0, 1826.0, 534.0, 36.0], lnDhoYdEGi, 5658787]
[paragraph, [117.0, 1862.0, 534.0, 36.0], lnDhoYdEGi, 5658787]
[paragraph, [117.0, 1898.0, 534.0, 36.0], lnDhoYdEGi, 5658787]
[paragraph, [117.0, 1934.0, 534.0, 36.0], lnDhoYdEGi, 5658787]
[paragraph, [117.0, 1970.0, 534.0, 36.0], lnDhoYdEGi, 5658787]
