[2152, 1416]
[folio, [139.0, 139.0, 143.0, 36.0], -VR9oZJlUX, 5654927]
[paragraph, [136.0, 246.0, 1171.0, 36.0], shoonya_4s1SN22LIXQSEA, 5654927]
[paragraph, [136.0, 282.0, 1171.0, 36.0], shoonya_4s1SN22LIXQSEA, 5654927]
[paragraph, [136.0, 318.0, 1171.0, 36.0], shoonya_4s1SN22LIXQSEA, 5654927]
[paragraph, [136.0, 354.0, 1171.0, 36.0], shoonya_4s1SN22LIXQSEA, 5654927]
[paragraph, [136.0, 390.0, 1171.0, 36.0], shoonya_4s1SN22LIXQSEA, 5654927]
[paragraph, [136.0, 426.0, 1171.0, 36.0], shoonya_4s1SN22LIXQSEA, 5654927]
[paragraph, [136.0, 462.0, 1171.0, 36.0], shoonya_4s1SN22LIXQSEA, 5654927]
[paragraph, [136.0, 498.0, 1171.0, 36.0], shoonya_4s1SN22LIXQSEA, 5654927]
[paragraph, [138.0, 579.0, 1169.0, 36.0], shoonya_2sZ5XQDNQBNIGA, 5654927]
[paragraph, [138.0, 615.0, 1169.0, 36.0], shoonya_2sZ5XQDNQBNIGA, 5654927]
[paragraph, [138.0, 651.0, 1169.0, 36.0], shoonya_2sZ5XQDNQBNIGA, 5654927]
[paragraph, [138.0, 687.0, 1169.0, 36.0], shoonya_2sZ5XQDNQBNIGA, 5654927]
[paragraph, [138.0, 723.0, 1169.0, 36.0], shoonya_2sZ5XQDNQBNIGA, 5654927]
[paragraph, [219.0, 828.0, 842.0, 36.0], Ne4LgNggno, 5654927]
[paragraph, [134.0, 914.0, 1175.0, 36.0], shoonya_0sPG2HPM3C6RMU, 5654927]
[paragraph, [134.0, 950.0, 1175.0, 36.0], shoonya_0sPG2HPM3C6RMU, 5654927]
[paragraph, [134.0, 986.0, 1175.0, 36.0], shoonya_0sPG2HPM3C6RMU, 5654927]
[paragraph, [134.0, 1022.0, 1175.0, 36.0], shoonya_0sPG2HPM3C6RMU, 5654927]
[paragraph, [134.0, 1058.0, 1175.0, 36.0], shoonya_0sPG2HPM3C6RMU, 5654927]
[paragraph, [134.0, 1094.0, 1175.0, 36.0], shoonya_0sPG2HPM3C6RMU, 5654927]
[paragraph, [134.0, 1130.0, 1175.0, 36.0], shoonya_0sPG2HPM3C6RMU, 5654927]
[paragraph, [134.0, 1166.0, 1175.0, 36.0], shoonya_0sPG2HPM3C6RMU, 5654927]
[paragraph, [134.0, 1202.0, 1175.0, 36.0], shoonya_0sPG2HPM3C6RMU, 5654927]
[paragraph, [134.0, 1238.0, 1175.0, 36.0], shoonya_0sPG2HPM3C6RMU, 5654927]
[paragraph, [134.0, 1274.0, 1175.0, 36.0], shoonya_0sPG2HPM3C6RMU, 5654927]
[paragraph, [134.0, 1310.0, 1175.0, 36.0], shoonya_0sPG2HPM3C6RMU, 5654927]
[paragraph, [134.0, 1346.0, 1175.0, 36.0], shoonya_0sPG2HPM3C6RMU, 5654927]
[paragraph, [134.0, 1382.0, 1175.0, 36.0], shoonya_0sPG2HPM3C6RMU, 5654927]
[paragraph, [135.0, 1477.0, 1171.0, 36.0], shoonya_3s18JBSGG38JD7, 5654927]
[paragraph, [135.0, 1513.0, 1171.0, 36.0], shoonya_3s18JBSGG38JD7, 5654927]
[paragraph, [135.0, 1549.0, 1171.0, 36.0], shoonya_3s18JBSGG38JD7, 5654927]
[paragraph, [135.0, 1585.0, 1171.0, 36.0], shoonya_3s18JBSGG38JD7, 5654927]
[paragraph, [135.0, 1621.0, 1171.0, 36.0], shoonya_3s18JBSGG38JD7, 5654927]
[paragraph, [135.0, 1815.0, 1170.0, 36.0], shoonya_1s2C9J3SL8S017, 5654927]
[paragraph, [135.0, 1851.0, 1170.0, 36.0], shoonya_1s2C9J3SL8S017, 5654927]
[paragraph, [135.0, 1887.0, 1170.0, 36.0], shoonya_1s2C9J3SL8S017, 5654927]
[paragraph, [135.0, 1923.0, 1170.0, 36.0], shoonya_1s2C9J3SL8S017, 5654927]
[paragraph, [135.0, 1959.0, 1170.0, 36.0], shoonya_1s2C9J3SL8S017, 5654927]
