[2084, 1289]
[paragraph, [134.0, 273.0, 1030.0, 36.0], shoonya_2sKFF8W5W5SO0D, 5661161]
[paragraph, [134.0, 309.0, 1030.0, 36.0], shoonya_2sKFF8W5W5SO0D, 5661161]
[paragraph, [134.0, 345.0, 1030.0, 36.0], shoonya_2sKFF8W5W5SO0D, 5661161]
[paragraph, [134.0, 381.0, 1030.0, 36.0], shoonya_2sKFF8W5W5SO0D, 5661161]
[paragraph, [134.0, 417.0, 1030.0, 36.0], shoonya_2sKFF8W5W5SO0D, 5661161]
[paragraph, [134.0, 453.0, 1030.0, 36.0], shoonya_2sKFF8W5W5SO0D, 5661161]
[paragraph, [134.0, 489.0, 1030.0, 36.0], shoonya_2sKFF8W5W5SO0D, 5661161]
[paragraph, [134.0, 525.0, 1030.0, 36.0], shoonya_2sKFF8W5W5SO0D, 5661161]
[paragraph, [134.0, 561.0, 1030.0, 36.0], shoonya_2sKFF8W5W5SO0D, 5661161]
[paragraph, [137.0, 635.0, 1021.0, 36.0], shoonya_1sTU0SFOE9U3L2, 5661161]
[paragraph, [137.0, 671.0, 1021.0, 36.0], shoonya_1sTU0SFOE9U3L2, 5661161]
[paragraph, [137.0, 707.0, 1021.0, 36.0], shoonya_1sTU0SFOE9U3L2, 5661161]
[paragraph, [137.0, 743.0, 1021.0, 36.0], shoonya_1sTU0SFOE9U3L2, 5661161]
[paragraph, [137.0, 779.0, 1021.0, 36.0], shoonya_1sTU0SFOE9U3L2, 5661161]
[paragraph, [137.0, 815.0, 1021.0, 36.0], shoonya_1sTU0SFOE9U3L2, 5661161]
[paragraph, [137.0, 851.0, 1021.0, 36.0], shoonya_1sTU0SFOE9U3L2, 5661161]
[paragraph, [137.0, 887.0, 1021.0, 36.0], shoonya_1sTU0SFOE9U3L2, 5661161]
[paragraph, [137.0, 923.0, 1021.0, 36.0], shoonya_1sTU0SFOE9U3L2, 5661161]
[section-title, [554.0, 989.0, 180.0, 52.5], yMBoXgffdF, 5661161]
[paragraph, [132.0, 1046.0, 1025.0, 36.0], shoonya_0sD0TKOJZJKCGF, 5661161]
[paragraph, [132.0, 1082.0, 1025.0, 36.0], shoonya_0sD0TKOJZJKCGF, 5661161]
[paragraph, [132.0, 1118.0, 1025.0, 36.0], shoonya_0sD0TKOJZJKCGF, 5661161]
[paragraph, [132.0, 1154.0, 1025.0, 36.0], shoonya_0sD0TKOJZJKCGF, 5661161]
[paragraph, [132.0, 1190.0, 1025.0, 36.0], shoonya_0sD0TKOJZJKCGF, 5661161]
[paragraph, [132.0, 1226.0, 1025.0, 36.0], shoonya_0sD0TKOJZJKCGF, 5661161]
[paragraph, [132.0, 1262.0, 1025.0, 36.0], shoonya_0sD0TKOJZJKCGF, 5661161]
[paragraph, [132.0, 1298.0, 1025.0, 36.0], shoonya_0sD0TKOJZJKCGF, 5661161]
[paragraph, [132.0, 1334.0, 1025.0, 36.0], shoonya_0sD0TKOJZJKCGF, 5661161]
[paragraph, [132.0, 1370.0, 1025.0, 36.0], shoonya_0sD0TKOJZJKCGF, 5661161]
[paragraph, [132.0, 1406.0, 1025.0, 36.0], shoonya_0sD0TKOJZJKCGF, 5661161]
[paragraph, [132.0, 1442.0, 1025.0, 36.0], shoonya_0sD0TKOJZJKCGF, 5661161]
[paragraph, [132.0, 1478.0, 1025.0, 36.0], shoonya_0sD0TKOJZJKCGF, 5661161]
[paragraph, [132.0, 1514.0, 1025.0, 36.0], shoonya_0sD0TKOJZJKCGF, 5661161]
[paragraph, [132.0, 1550.0, 1025.0, 36.0], shoonya_0sD0TKOJZJKCGF, 5661161]
[paragraph, [132.0, 1586.0, 1025.0, 36.0], shoonya_0sD0TKOJZJKCGF, 5661161]
[paragraph, [132.0, 1622.0, 1025.0, 36.0], shoonya_0sD0TKOJZJKCGF, 5661161]
[paragraph, [132.0, 1658.0, 1025.0, 36.0], shoonya_0sD0TKOJZJKCGF, 5661161]
[paragraph, [132.0, 1694.0, 1025.0, 36.0], shoonya_0sD0TKOJZJKCGF, 5661161]
[footnote, [122.0, 1749.0, 1039.0, 36.0], 1tuzAvTn3F, 5661161]
[footnote, [122.0, 1785.0, 1039.0, 36.0], 1tuzAvTn3F, 5661161]
[footnote, [122.0, 1821.0, 1039.0, 36.0], 1tuzAvTn3F, 5661161]
[folio, [632.0, 1938.0, 655.0, 36.0], shoonya_4sU1V3EX00TJT4, 5661161]
[folio, [632.0, 1974.0, 655.0, 36.0], shoonya_4sU1V3EX00TJT4, 5661161]
