[3509, 2480]
[paragraph, [274.0, 500.0, 1951.0, 52.5], shoonya_0sKB9T776T5ICX, 5720953]
[paragraph, [274.0, 552.5, 1951.0, 52.5], shoonya_0sKB9T776T5ICX, 5720953]
[paragraph, [274.0, 605.0, 1951.0, 52.5], shoonya_0sKB9T776T5ICX, 5720953]
[paragraph, [274.0, 657.5, 1951.0, 52.5], shoonya_0sKB9T776T5ICX, 5720953]
[paragraph, [269.0, 747.0, 1949.0, 52.5], NH9ptD-DuL, 5720953]
[paragraph, [269.0, 799.5, 1949.0, 52.5], NH9ptD-DuL, 5720953]
[paragraph, [269.0, 852.0, 1949.0, 52.5], NH9ptD-DuL, 5720953]
[paragraph, [269.0, 904.5, 1949.0, 52.5], NH9ptD-DuL, 5720953]
[paragraph, [269.0, 957.0, 1949.0, 52.5], NH9ptD-DuL, 5720953]
[paragraph, [269.0, 1009.5, 1949.0, 52.5], NH9ptD-DuL, 5720953]
[paragraph, [269.0, 1062.0, 1949.0, 52.5], NH9ptD-DuL, 5720953]
[paragraph, [269.0, 1114.5, 1949.0, 52.5], NH9ptD-DuL, 5720953]
[paragraph, [263.0, 1171.0, 1959.0, 52.5], gccTYFIqbe, 5720953]
[paragraph, [263.0, 1223.5, 1959.0, 52.5], gccTYFIqbe, 5720953]
[paragraph, [266.0, 1323.0, 1968.0, 52.5], eCzXF-cn46, 5720953]
[paragraph, [266.0, 1375.5, 1968.0, 52.5], eCzXF-cn46, 5720953]
[paragraph, [266.0, 1428.0, 1968.0, 52.5], eCzXF-cn46, 5720953]
[paragraph, [266.0, 1480.5, 1968.0, 52.5], eCzXF-cn46, 5720953]
[paragraph, [266.0, 1533.0, 1968.0, 52.5], eCzXF-cn46, 5720953]
[paragraph, [266.0, 1585.5, 1968.0, 52.5], eCzXF-cn46, 5720953]
[paragraph, [266.0, 1638.0, 1968.0, 52.5], eCzXF-cn46, 5720953]
[paragraph, [266.0, 1690.5, 1968.0, 52.5], eCzXF-cn46, 5720953]
[paragraph, [266.0, 1743.0, 1968.0, 52.5], eCzXF-cn46, 5720953]
[paragraph, [266.0, 1795.5, 1968.0, 52.5], eCzXF-cn46, 5720953]
[paragraph, [266.0, 1848.0, 1968.0, 52.5], eCzXF-cn46, 5720953]
[paragraph, [266.0, 1900.5, 1968.0, 52.5], eCzXF-cn46, 5720953]
[paragraph, [269.0, 1983.0, 1946.0, 52.5], lqfdzEr0Sc, 5720953]
[paragraph, [269.0, 2035.5, 1946.0, 52.5], lqfdzEr0Sc, 5720953]
[paragraph, [269.0, 2088.0, 1946.0, 52.5], lqfdzEr0Sc, 5720953]
[paragraph, [269.0, 2140.5, 1946.0, 52.5], lqfdzEr0Sc, 5720953]
[paragraph, [272.0, 2228.0, 1940.0, 52.5], Q_UQusebju, 5720953]
[paragraph, [272.0, 2280.5, 1940.0, 52.5], Q_UQusebju, 5720953]
[paragraph, [272.0, 2333.0, 1940.0, 52.5], Q_UQusebju, 5720953]
[paragraph, [272.0, 2385.5, 1940.0, 52.5], Q_UQusebju, 5720953]
[paragraph, [272.0, 2438.0, 1940.0, 52.5], Q_UQusebju, 5720953]
[paragraph, [272.0, 2490.5, 1940.0, 52.5], Q_UQusebju, 5720953]
[paragraph, [266.0, 2548.0, 1946.0, 52.5], xId1ebh8-Q, 5720953]
[paragraph, [266.0, 2600.5, 1946.0, 52.5], xId1ebh8-Q, 5720953]
[paragraph, [266.0, 2653.0, 1946.0, 52.5], xId1ebh8-Q, 5720953]
[paragraph, [266.0, 2705.5, 1946.0, 52.5], xId1ebh8-Q, 5720953]
[paragraph, [269.0, 2774.0, 1940.0, 52.5], 943gMvnkoe, 5720953]
[paragraph, [269.0, 2826.5, 1940.0, 52.5], 943gMvnkoe, 5720953]
[paragraph, [269.0, 2879.0, 1940.0, 52.5], 943gMvnkoe, 5720953]
[paragraph, [269.0, 2931.5, 1940.0, 52.5], 943gMvnkoe, 5720953]
