[540, 960]
[section-title, [50.0, 95.0, 404.0, 30.0], shoonya_3sIBSCMATI346K, 5715248]
[sub-section-title, [45.0, 175.0, 842.0, 25.5], shoonya_5sI1EDZEKAQCEA, 5715248]
[paragraph, [35.0, 256.0, 459.0, 18.0], cpuf7GeE-2, 5715248]
[paragraph, [35.0, 274.0, 459.0, 18.0], cpuf7GeE-2, 5715248]
[paragraph, [35.0, 292.0, 459.0, 18.0], cpuf7GeE-2, 5715248]
[paragraph, [35.0, 310.0, 459.0, 18.0], cpuf7GeE-2, 5715248]
[paragraph, [35.0, 328.0, 459.0, 18.0], cpuf7GeE-2, 5715248]
[paragraph, [35.0, 346.0, 459.0, 18.0], cpuf7GeE-2, 5715248]
[paragraph, [35.0, 364.0, 459.0, 18.0], cpuf7GeE-2, 5715248]
[paragraph, [35.0, 382.0, 459.0, 18.0], cpuf7GeE-2, 5715248]
[paragraph, [35.0, 400.0, 459.0, 18.0], cpuf7GeE-2, 5715248]
[paragraph, [46.0, 433.0, 427.0, 18.0], GfuclRiBF4, 5715248]
[paragraph, [46.0, 451.0, 427.0, 18.0], GfuclRiBF4, 5715248]
[paragraph, [46.0, 469.0, 427.0, 18.0], GfuclRiBF4, 5715248]
[folio, [863.0, 466.0, 94.0, 18.0], shoonya_1sJ64EJ8KVE6DP, 5715248]
[folio, [863.0, 484.0, 94.0, 18.0], shoonya_1sJ64EJ8KVE6DP, 5715248]
[folio, [863.0, 502.0, 94.0, 18.0], shoonya_1sJ64EJ8KVE6DP, 5715248]
[folio, [6.0, 494.0, 108.0, 18.0], shoonya_2s6TYPU8NE8RXN, 5715248]
[folio, [6.0, 512.0, 108.0, 18.0], shoonya_2s6TYPU8NE8RXN, 5715248]
