[1755, 1240]
[sub-section-title, [263.0, 217.0, 635.0, 36.0], siy2zCRmOk, 6476086]
[ordered-list, [158.0, 291.0, 926.0, 36.0], IVGiiKmDyi, 6476086]
[ordered-list, [158.0, 327.0, 926.0, 36.0], IVGiiKmDyi, 6476086]
[ordered-list, [158.0, 363.0, 926.0, 36.0], IVGiiKmDyi, 6476086]
[ordered-list, [158.0, 399.0, 926.0, 36.0], IVGiiKmDyi, 6476086]
[ordered-list, [158.0, 435.0, 926.0, 36.0], IVGiiKmDyi, 6476086]
[ordered-list, [158.0, 471.0, 926.0, 36.0], IVGiiKmDyi, 6476086]
[ordered-list, [158.0, 507.0, 926.0, 36.0], IVGiiKmDyi, 6476086]
[ordered-list, [158.0, 543.0, 926.0, 36.0], IVGiiKmDyi, 6476086]
[ordered-list, [158.0, 579.0, 926.0, 36.0], IVGiiKmDyi, 6476086]
[ordered-list, [158.0, 615.0, 926.0, 36.0], IVGiiKmDyi, 6476086]
[ordered-list, [158.0, 651.0, 926.0, 36.0], IVGiiKmDyi, 6476086]
[ordered-list, [158.0, 687.0, 926.0, 36.0], IVGiiKmDyi, 6476086]
[ordered-list, [158.0, 723.0, 926.0, 36.0], IVGiiKmDyi, 6476086]
[ordered-list, [158.0, 759.0, 926.0, 36.0], IVGiiKmDyi, 6476086]
[ordered-list, [158.0, 795.0, 926.0, 36.0], IVGiiKmDyi, 6476086]
[ordered-list, [158.0, 831.0, 926.0, 36.0], IVGiiKmDyi, 6476086]
[ordered-list, [158.0, 867.0, 926.0, 36.0], IVGiiKmDyi, 6476086]
[ordered-list, [158.0, 903.0, 926.0, 36.0], IVGiiKmDyi, 6476086]
[ordered-list, [158.0, 939.0, 926.0, 36.0], IVGiiKmDyi, 6476086]
[ordered-list, [158.0, 975.0, 926.0, 36.0], IVGiiKmDyi, 6476086]
[ordered-list, [158.0, 1011.0, 926.0, 36.0], IVGiiKmDyi, 6476086]
[ordered-list, [158.0, 1047.0, 926.0, 36.0], IVGiiKmDyi, 6476086]
[ordered-list, [158.0, 1083.0, 926.0, 36.0], IVGiiKmDyi, 6476086]
[ordered-list, [158.0, 1119.0, 926.0, 36.0], IVGiiKmDyi, 6476086]
[ordered-list, [158.0, 1155.0, 926.0, 36.0], IVGiiKmDyi, 6476086]
[ordered-list, [158.0, 1191.0, 926.0, 36.0], IVGiiKmDyi, 6476086]
[ordered-list, [158.0, 1227.0, 926.0, 36.0], IVGiiKmDyi, 6476086]
[ordered-list, [158.0, 1263.0, 926.0, 36.0], IVGiiKmDyi, 6476086]
[ordered-list, [158.0, 1299.0, 926.0, 36.0], IVGiiKmDyi, 6476086]
[ordered-list, [158.0, 1335.0, 926.0, 36.0], IVGiiKmDyi, 6476086]
[ordered-list, [158.0, 1371.0, 926.0, 36.0], IVGiiKmDyi, 6476086]
[ordered-list, [158.0, 1407.0, 926.0, 36.0], IVGiiKmDyi, 6476086]
