[1755, 1240]
[paragraph, [178.0, 180.0, 881.0, 36.0], shoonya_2sR4I2UVR9JZ44, 5703954]
[paragraph, [178.0, 216.0, 881.0, 36.0], shoonya_2sR4I2UVR9JZ44, 5703954]
[paragraph, [178.0, 252.0, 881.0, 36.0], shoonya_2sR4I2UVR9JZ44, 5703954]
[paragraph, [178.0, 288.0, 881.0, 36.0], shoonya_2sR4I2UVR9JZ44, 5703954]
[paragraph, [178.0, 324.0, 881.0, 36.0], shoonya_2sR4I2UVR9JZ44, 5703954]
[paragraph, [178.0, 360.0, 881.0, 36.0], shoonya_2sR4I2UVR9JZ44, 5703954]
[paragraph, [178.0, 396.0, 881.0, 36.0], shoonya_2sR4I2UVR9JZ44, 5703954]
[paragraph, [178.0, 432.0, 881.0, 36.0], shoonya_2sR4I2UVR9JZ44, 5703954]
[paragraph, [178.0, 468.0, 881.0, 36.0], shoonya_2sR4I2UVR9JZ44, 5703954]
[paragraph, [178.0, 504.0, 881.0, 36.0], shoonya_2sR4I2UVR9JZ44, 5703954]
[paragraph, [178.0, 540.0, 881.0, 36.0], shoonya_2sR4I2UVR9JZ44, 5703954]
[paragraph, [178.0, 576.0, 881.0, 36.0], shoonya_2sR4I2UVR9JZ44, 5703954]
[paragraph, [178.0, 612.0, 881.0, 36.0], shoonya_2sR4I2UVR9JZ44, 5703954]
[paragraph, [178.0, 648.0, 881.0, 36.0], shoonya_2sR4I2UVR9JZ44, 5703954]
[paragraph, [178.0, 684.0, 881.0, 36.0], shoonya_2sR4I2UVR9JZ44, 5703954]
[paragraph, [178.0, 720.0, 881.0, 36.0], shoonya_2sR4I2UVR9JZ44, 5703954]
[paragraph, [178.0, 756.0, 881.0, 36.0], shoonya_2sR4I2UVR9JZ44, 5703954]
[paragraph, [178.0, 792.0, 881.0, 36.0], shoonya_2sR4I2UVR9JZ44, 5703954]
[paragraph, [178.0, 828.0, 881.0, 36.0], shoonya_2sR4I2UVR9JZ44, 5703954]
[paragraph, [178.0, 864.0, 881.0, 36.0], shoonya_2sR4I2UVR9JZ44, 5703954]
[paragraph, [178.0, 900.0, 881.0, 36.0], shoonya_2sR4I2UVR9JZ44, 5703954]
[paragraph, [178.0, 936.0, 881.0, 36.0], shoonya_2sR4I2UVR9JZ44, 5703954]
[paragraph, [178.0, 972.0, 881.0, 36.0], shoonya_2sR4I2UVR9JZ44, 5703954]
[paragraph, [180.0, 1061.0, 878.0, 36.0], shoonya_0s7JXLLZY2RJQ2, 5703954]
[paragraph, [180.0, 1097.0, 878.0, 36.0], shoonya_0s7JXLLZY2RJQ2, 5703954]
[paragraph, [180.0, 1133.0, 878.0, 36.0], shoonya_0s7JXLLZY2RJQ2, 5703954]
[paragraph, [180.0, 1169.0, 878.0, 36.0], shoonya_0s7JXLLZY2RJQ2, 5703954]
[paragraph, [180.0, 1205.0, 878.0, 36.0], shoonya_0s7JXLLZY2RJQ2, 5703954]
[paragraph, [180.0, 1241.0, 878.0, 36.0], shoonya_0s7JXLLZY2RJQ2, 5703954]
[paragraph, [180.0, 1277.0, 878.0, 36.0], shoonya_0s7JXLLZY2RJQ2, 5703954]
[paragraph, [180.0, 1313.0, 878.0, 36.0], shoonya_0s7JXLLZY2RJQ2, 5703954]
[paragraph, [180.0, 1349.0, 878.0, 36.0], shoonya_0s7JXLLZY2RJQ2, 5703954]
[paragraph, [180.0, 1427.0, 881.0, 36.0], shoonya_1sUIISEJ6J76D8, 5703954]
[paragraph, [180.0, 1463.0, 881.0, 36.0], shoonya_1sUIISEJ6J76D8, 5703954]
[paragraph, [180.0, 1499.0, 881.0, 36.0], shoonya_1sUIISEJ6J76D8, 5703954]
[paragraph, [180.0, 1535.0, 881.0, 36.0], shoonya_1sUIISEJ6J76D8, 5703954]
