[789, 571]
[section-title, [219.0, 147.0, 128.0, 30.0], YLv3Ypee7U, 5701664]
[paragraph, [48.0, 210.0, 483.0, 18.0], WM-nzaEbMO, 5701664]
[paragraph, [48.0, 228.0, 483.0, 18.0], WM-nzaEbMO, 5701664]
[paragraph, [48.0, 246.0, 483.0, 18.0], WM-nzaEbMO, 5701664]
[paragraph, [48.0, 264.0, 483.0, 18.0], WM-nzaEbMO, 5701664]
[paragraph, [50.0, 284.0, 476.0, 18.0], xUJeclUdVJ, 5701664]
[paragraph, [50.0, 302.0, 476.0, 18.0], xUJeclUdVJ, 5701664]
[paragraph, [50.0, 320.0, 476.0, 18.0], xUJeclUdVJ, 5701664]
[paragraph, [48.0, 355.0, 478.0, 18.0], shoonya_0sQKFZKHTGQE4J, 5701664]
[paragraph, [48.0, 373.0, 478.0, 18.0], shoonya_0sQKFZKHTGQE4J, 5701664]
[paragraph, [48.0, 391.0, 478.0, 18.0], shoonya_0sQKFZKHTGQE4J, 5701664]
[paragraph, [48.0, 409.0, 478.0, 18.0], shoonya_0sQKFZKHTGQE4J, 5701664]
[paragraph, [48.0, 427.0, 478.0, 18.0], shoonya_0sQKFZKHTGQE4J, 5701664]
[paragraph, [48.0, 445.0, 478.0, 18.0], shoonya_0sQKFZKHTGQE4J, 5701664]
[paragraph, [48.0, 463.0, 478.0, 18.0], shoonya_0sQKFZKHTGQE4J, 5701664]
[paragraph, [48.0, 481.0, 478.0, 18.0], shoonya_0sQKFZKHTGQE4J, 5701664]
[paragraph, [48.0, 499.0, 478.0, 18.0], shoonya_0sQKFZKHTGQE4J, 5701664]
[paragraph, [48.0, 517.0, 478.0, 18.0], shoonya_0sQKFZKHTGQE4J, 5701664]
[paragraph, [48.0, 535.0, 478.0, 18.0], shoonya_0sQKFZKHTGQE4J, 5701664]
[contact-info, [46.0, 573.0, 108.0, 18.0], -uJk_NY1zv, 5701664]
[author, [325.0, 578.0, 178.0, 18.0], shoonya_1s0JFVKAJYC8AG, 5701664]
