[2484, 1767]
[paragraph, [301.0, 362.0, 1268.0, 36.0], shoonya_0s4E3R0Z7E0AKY, 5754063]
[paragraph, [301.0, 398.0, 1268.0, 36.0], shoonya_0s4E3R0Z7E0AKY, 5754063]
[paragraph, [301.0, 434.0, 1268.0, 36.0], shoonya_0s4E3R0Z7E0AKY, 5754063]
[paragraph, [301.0, 470.0, 1268.0, 36.0], shoonya_0s4E3R0Z7E0AKY, 5754063]
[paragraph, [301.0, 506.0, 1268.0, 36.0], shoonya_0s4E3R0Z7E0AKY, 5754063]
[paragraph, [301.0, 542.0, 1268.0, 36.0], shoonya_0s4E3R0Z7E0AKY, 5754063]
[paragraph, [301.0, 578.0, 1268.0, 36.0], shoonya_0s4E3R0Z7E0AKY, 5754063]
[paragraph, [301.0, 614.0, 1268.0, 36.0], shoonya_0s4E3R0Z7E0AKY, 5754063]
[paragraph, [301.0, 650.0, 1268.0, 36.0], shoonya_0s4E3R0Z7E0AKY, 5754063]
[paragraph, [301.0, 686.0, 1268.0, 36.0], shoonya_0s4E3R0Z7E0AKY, 5754063]
[paragraph, [301.0, 722.0, 1268.0, 36.0], shoonya_0s4E3R0Z7E0AKY, 5754063]
[paragraph, [301.0, 758.0, 1268.0, 36.0], shoonya_0s4E3R0Z7E0AKY, 5754063]
[paragraph, [301.0, 794.0, 1268.0, 36.0], shoonya_0s4E3R0Z7E0AKY, 5754063]
[paragraph, [301.0, 830.0, 1268.0, 36.0], shoonya_0s4E3R0Z7E0AKY, 5754063]
[paragraph, [301.0, 866.0, 1268.0, 36.0], shoonya_0s4E3R0Z7E0AKY, 5754063]
[paragraph, [301.0, 902.0, 1268.0, 36.0], shoonya_0s4E3R0Z7E0AKY, 5754063]
[paragraph, [301.0, 938.0, 1268.0, 36.0], shoonya_0s4E3R0Z7E0AKY, 5754063]
[paragraph, [301.0, 974.0, 1268.0, 36.0], shoonya_0s4E3R0Z7E0AKY, 5754063]
[paragraph, [301.0, 1010.0, 1268.0, 36.0], shoonya_0s4E3R0Z7E0AKY, 5754063]
[paragraph, [301.0, 1046.0, 1268.0, 36.0], shoonya_0s4E3R0Z7E0AKY, 5754063]
[paragraph, [301.0, 1082.0, 1268.0, 36.0], shoonya_0s4E3R0Z7E0AKY, 5754063]
[paragraph, [301.0, 1118.0, 1268.0, 36.0], shoonya_0s4E3R0Z7E0AKY, 5754063]
[paragraph, [301.0, 1154.0, 1268.0, 36.0], shoonya_0s4E3R0Z7E0AKY, 5754063]
[paragraph, [301.0, 1190.0, 1268.0, 36.0], shoonya_0s4E3R0Z7E0AKY, 5754063]
[paragraph, [301.0, 1226.0, 1268.0, 36.0], shoonya_0s4E3R0Z7E0AKY, 5754063]
[paragraph, [301.0, 1262.0, 1268.0, 36.0], shoonya_0s4E3R0Z7E0AKY, 5754063]
[paragraph, [301.0, 1298.0, 1268.0, 36.0], shoonya_0s4E3R0Z7E0AKY, 5754063]
[paragraph, [301.0, 1334.0, 1268.0, 36.0], shoonya_0s4E3R0Z7E0AKY, 5754063]
[paragraph, [301.0, 1370.0, 1268.0, 36.0], shoonya_0s4E3R0Z7E0AKY, 5754063]
[paragraph, [301.0, 1406.0, 1268.0, 36.0], shoonya_0s4E3R0Z7E0AKY, 5754063]
[paragraph, [301.0, 1442.0, 1268.0, 36.0], shoonya_0s4E3R0Z7E0AKY, 5754063]
[paragraph, [301.0, 1478.0, 1268.0, 36.0], shoonya_0s4E3R0Z7E0AKY, 5754063]
[paragraph, [301.0, 1514.0, 1268.0, 36.0], shoonya_0s4E3R0Z7E0AKY, 5754063]
[paragraph, [301.0, 1550.0, 1268.0, 36.0], shoonya_0s4E3R0Z7E0AKY, 5754063]
[paragraph, [301.0, 1586.0, 1268.0, 36.0], shoonya_0s4E3R0Z7E0AKY, 5754063]
[paragraph, [301.0, 1622.0, 1268.0, 36.0], shoonya_0s4E3R0Z7E0AKY, 5754063]
[paragraph, [301.0, 1658.0, 1268.0, 36.0], shoonya_0s4E3R0Z7E0AKY, 5754063]
[paragraph, [301.0, 1694.0, 1268.0, 36.0], shoonya_0s4E3R0Z7E0AKY, 5754063]
[paragraph, [301.0, 1730.0, 1268.0, 36.0], shoonya_0s4E3R0Z7E0AKY, 5754063]
[paragraph, [301.0, 1766.0, 1268.0, 36.0], shoonya_0s4E3R0Z7E0AKY, 5754063]
[paragraph, [301.0, 1802.0, 1268.0, 36.0], shoonya_0s4E3R0Z7E0AKY, 5754063]
[paragraph, [301.0, 1838.0, 1268.0, 36.0], shoonya_0s4E3R0Z7E0AKY, 5754063]
[paragraph, [301.0, 1874.0, 1268.0, 36.0], shoonya_0s4E3R0Z7E0AKY, 5754063]
[paragraph, [301.0, 1910.0, 1268.0, 36.0], shoonya_0s4E3R0Z7E0AKY, 5754063]
[paragraph, [301.0, 1946.0, 1268.0, 36.0], shoonya_0s4E3R0Z7E0AKY, 5754063]
[paragraph, [308.0, 2000.0, 1243.0, 36.0], shoonya_3sVNVOJSGALKCF, 5754063]
[paragraph, [308.0, 2036.0, 1243.0, 36.0], shoonya_3sVNVOJSGALKCF, 5754063]
[paragraph, [308.0, 2072.0, 1243.0, 36.0], shoonya_3sVNVOJSGALKCF, 5754063]
[paragraph, [308.0, 2108.0, 1243.0, 36.0], shoonya_3sVNVOJSGALKCF, 5754063]
[paragraph, [308.0, 2144.0, 1243.0, 36.0], shoonya_3sVNVOJSGALKCF, 5754063]
