[2717, 1772]
[folio, [778.0, 235.0, 193.0, 46.5], shoonya_1sGQY5SB1L577V, 5721850]
[paragraph, [221.0, 342.0, 1334.0, 46.5], shoonya_0s07I4BS0DTZXG, 5721850]
[paragraph, [221.0, 388.5, 1334.0, 46.5], shoonya_0s07I4BS0DTZXG, 5721850]
[paragraph, [221.0, 435.0, 1334.0, 46.5], shoonya_0s07I4BS0DTZXG, 5721850]
[paragraph, [221.0, 481.5, 1334.0, 46.5], shoonya_0s07I4BS0DTZXG, 5721850]
[paragraph, [221.0, 528.0, 1334.0, 46.5], shoonya_0s07I4BS0DTZXG, 5721850]
[paragraph, [221.0, 574.5, 1334.0, 46.5], shoonya_0s07I4BS0DTZXG, 5721850]
[paragraph, [221.0, 621.0, 1334.0, 46.5], shoonya_0s07I4BS0DTZXG, 5721850]
[paragraph, [221.0, 667.5, 1334.0, 46.5], shoonya_0s07I4BS0DTZXG, 5721850]
[paragraph, [221.0, 714.0, 1334.0, 46.5], shoonya_0s07I4BS0DTZXG, 5721850]
[paragraph, [221.0, 760.5, 1334.0, 46.5], shoonya_0s07I4BS0DTZXG, 5721850]
[paragraph, [221.0, 807.0, 1334.0, 46.5], shoonya_0s07I4BS0DTZXG, 5721850]
[paragraph, [221.0, 853.5, 1334.0, 46.5], shoonya_0s07I4BS0DTZXG, 5721850]
[paragraph, [221.0, 900.0, 1334.0, 46.5], shoonya_0s07I4BS0DTZXG, 5721850]
[paragraph, [221.0, 946.5, 1334.0, 46.5], shoonya_0s07I4BS0DTZXG, 5721850]
[paragraph, [221.0, 993.0, 1334.0, 46.5], shoonya_0s07I4BS0DTZXG, 5721850]
[paragraph, [221.0, 1039.5, 1334.0, 46.5], shoonya_0s07I4BS0DTZXG, 5721850]
[paragraph, [221.0, 1086.0, 1334.0, 46.5], shoonya_0s07I4BS0DTZXG, 5721850]
[paragraph, [221.0, 1132.5, 1334.0, 46.5], shoonya_0s07I4BS0DTZXG, 5721850]
[paragraph, [221.0, 1179.0, 1334.0, 46.5], shoonya_0s07I4BS0DTZXG, 5721850]
[paragraph, [221.0, 1225.5, 1334.0, 46.5], shoonya_0s07I4BS0DTZXG, 5721850]
[paragraph, [230.0, 1308.0, 1320.0, 46.5], zt2bCtlw6Z, 5721850]
[paragraph, [230.0, 1354.5, 1320.0, 46.5], zt2bCtlw6Z, 5721850]
[paragraph, [230.0, 1401.0, 1320.0, 46.5], zt2bCtlw6Z, 5721850]
[paragraph, [223.0, 1505.0, 1333.0, 46.5], mddCNOHDpD, 5721850]
[paragraph, [223.0, 1551.5, 1333.0, 46.5], mddCNOHDpD, 5721850]
[paragraph, [223.0, 1598.0, 1333.0, 46.5], mddCNOHDpD, 5721850]
[paragraph, [223.0, 1644.5, 1333.0, 46.5], mddCNOHDpD, 5721850]
[paragraph, [223.0, 1691.0, 1333.0, 46.5], mddCNOHDpD, 5721850]
[paragraph, [223.0, 1737.5, 1333.0, 46.5], mddCNOHDpD, 5721850]
[paragraph, [223.0, 1784.0, 1333.0, 46.5], mddCNOHDpD, 5721850]
[paragraph, [223.0, 1830.5, 1333.0, 46.5], mddCNOHDpD, 5721850]
[paragraph, [223.0, 1877.0, 1333.0, 46.5], mddCNOHDpD, 5721850]
[paragraph, [223.0, 1923.5, 1333.0, 46.5], mddCNOHDpD, 5721850]
[paragraph, [228.0, 2015.0, 1317.0, 46.5], Kc2aXi6-Ka, 5721850]
[paragraph, [228.0, 2061.5, 1317.0, 46.5], Kc2aXi6-Ka, 5721850]
[paragraph, [228.0, 2152.0, 1320.0, 46.5], I0wFmvY_Rh, 5721850]
[paragraph, [228.0, 2198.5, 1320.0, 46.5], I0wFmvY_Rh, 5721850]
[paragraph, [228.0, 2245.0, 1320.0, 46.5], I0wFmvY_Rh, 5721850]
[paragraph, [228.0, 2291.5, 1320.0, 46.5], I0wFmvY_Rh, 5721850]
[paragraph, [230.0, 2340.0, 1322.0, 46.5], 2nwDwFrX2I, 5721850]
[paragraph, [230.0, 2386.5, 1322.0, 46.5], 2nwDwFrX2I, 5721850]
