[1518, 1075]
[paragraph, [557.0, 147.0, 428.0, 36.0], shoonya_1s9E7FFU2Q3137, 5721897]
[paragraph, [557.0, 183.0, 428.0, 36.0], shoonya_1s9E7FFU2Q3137, 5721897]
[paragraph, [557.0, 219.0, 428.0, 36.0], shoonya_1s9E7FFU2Q3137, 5721897]
[paragraph, [557.0, 255.0, 428.0, 36.0], shoonya_1s9E7FFU2Q3137, 5721897]
[paragraph, [557.0, 291.0, 428.0, 36.0], shoonya_1s9E7FFU2Q3137, 5721897]
[paragraph, [557.0, 327.0, 428.0, 36.0], shoonya_1s9E7FFU2Q3137, 5721897]
[paragraph, [557.0, 363.0, 428.0, 36.0], shoonya_1s9E7FFU2Q3137, 5721897]
[paragraph, [557.0, 399.0, 428.0, 36.0], shoonya_1s9E7FFU2Q3137, 5721897]
[paragraph, [557.0, 435.0, 428.0, 36.0], shoonya_1s9E7FFU2Q3137, 5721897]
[paragraph, [557.0, 471.0, 428.0, 36.0], shoonya_1s9E7FFU2Q3137, 5721897]
[paragraph, [113.0, 150.0, 428.0, 36.0], shoonya_2sD64872OZE71N, 5721897]
[paragraph, [113.0, 186.0, 428.0, 36.0], shoonya_2sD64872OZE71N, 5721897]
[paragraph, [113.0, 222.0, 428.0, 36.0], shoonya_2sD64872OZE71N, 5721897]
[paragraph, [113.0, 258.0, 428.0, 36.0], shoonya_2sD64872OZE71N, 5721897]
[paragraph, [113.0, 294.0, 428.0, 36.0], shoonya_2sD64872OZE71N, 5721897]
[paragraph, [113.0, 330.0, 428.0, 36.0], shoonya_2sD64872OZE71N, 5721897]
[paragraph, [113.0, 366.0, 428.0, 36.0], shoonya_2sD64872OZE71N, 5721897]
[paragraph, [113.0, 402.0, 428.0, 36.0], shoonya_2sD64872OZE71N, 5721897]
[paragraph, [113.0, 438.0, 428.0, 36.0], shoonya_2sD64872OZE71N, 5721897]
[paragraph, [113.0, 474.0, 428.0, 36.0], shoonya_2sD64872OZE71N, 5721897]
[paragraph, [113.0, 510.0, 428.0, 36.0], shoonya_2sD64872OZE71N, 5721897]
[paragraph, [113.0, 546.0, 428.0, 36.0], shoonya_2sD64872OZE71N, 5721897]
[paragraph, [113.0, 582.0, 428.0, 36.0], shoonya_2sD64872OZE71N, 5721897]
[paragraph, [113.0, 618.0, 428.0, 36.0], shoonya_2sD64872OZE71N, 5721897]
[paragraph, [113.0, 654.0, 428.0, 36.0], shoonya_2sD64872OZE71N, 5721897]
[paragraph, [113.0, 690.0, 428.0, 36.0], shoonya_2sD64872OZE71N, 5721897]
[paragraph, [113.0, 726.0, 428.0, 36.0], shoonya_2sD64872OZE71N, 5721897]
[paragraph, [113.0, 762.0, 428.0, 36.0], shoonya_2sD64872OZE71N, 5721897]
[paragraph, [113.0, 798.0, 428.0, 36.0], shoonya_2sD64872OZE71N, 5721897]
[paragraph, [113.0, 834.0, 428.0, 36.0], shoonya_2sD64872OZE71N, 5721897]
[paragraph, [113.0, 870.0, 428.0, 36.0], shoonya_2sD64872OZE71N, 5721897]
[paragraph, [113.0, 906.0, 428.0, 36.0], shoonya_2sD64872OZE71N, 5721897]
[paragraph, [113.0, 942.0, 428.0, 36.0], shoonya_2sD64872OZE71N, 5721897]
[paragraph, [113.0, 978.0, 428.0, 36.0], shoonya_2sD64872OZE71N, 5721897]
[paragraph, [113.0, 1014.0, 428.0, 36.0], shoonya_2sD64872OZE71N, 5721897]
[paragraph, [113.0, 1050.0, 428.0, 36.0], shoonya_2sD64872OZE71N, 5721897]
[paragraph, [113.0, 1086.0, 428.0, 36.0], shoonya_2sD64872OZE71N, 5721897]
[paragraph, [113.0, 1122.0, 428.0, 36.0], shoonya_2sD64872OZE71N, 5721897]
[paragraph, [113.0, 1158.0, 428.0, 36.0], shoonya_2sD64872OZE71N, 5721897]
[paragraph, [113.0, 1194.0, 428.0, 36.0], shoonya_2sD64872OZE71N, 5721897]
[paragraph, [113.0, 1230.0, 428.0, 36.0], shoonya_2sD64872OZE71N, 5721897]
[paragraph, [113.0, 1266.0, 428.0, 36.0], shoonya_2sD64872OZE71N, 5721897]
[paragraph, [556.0, 549.0, 431.0, 36.0], shoonya_0sNV4BB4RTK9L1, 5721897]
[paragraph, [556.0, 585.0, 431.0, 36.0], shoonya_0sNV4BB4RTK9L1, 5721897]
[paragraph, [556.0, 621.0, 431.0, 36.0], shoonya_0sNV4BB4RTK9L1, 5721897]
[paragraph, [556.0, 657.0, 431.0, 36.0], shoonya_0sNV4BB4RTK9L1, 5721897]
[paragraph, [556.0, 693.0, 431.0, 36.0], shoonya_0sNV4BB4RTK9L1, 5721897]
[paragraph, [556.0, 729.0, 431.0, 36.0], shoonya_0sNV4BB4RTK9L1, 5721897]
[paragraph, [556.0, 765.0, 431.0, 36.0], shoonya_0sNV4BB4RTK9L1, 5721897]
[paragraph, [556.0, 801.0, 431.0, 36.0], shoonya_0sNV4BB4RTK9L1, 5721897]
[paragraph, [556.0, 837.0, 431.0, 36.0], shoonya_0sNV4BB4RTK9L1, 5721897]
[paragraph, [556.0, 873.0, 431.0, 36.0], shoonya_0sNV4BB4RTK9L1, 5721897]
[paragraph, [556.0, 909.0, 431.0, 36.0], shoonya_0sNV4BB4RTK9L1, 5721897]
[paragraph, [556.0, 945.0, 431.0, 36.0], shoonya_0sNV4BB4RTK9L1, 5721897]
[paragraph, [556.0, 981.0, 431.0, 36.0], shoonya_0sNV4BB4RTK9L1, 5721897]
[paragraph, [556.0, 1017.0, 431.0, 36.0], shoonya_0sNV4BB4RTK9L1, 5721897]
[paragraph, [556.0, 1053.0, 431.0, 36.0], shoonya_0sNV4BB4RTK9L1, 5721897]
[paragraph, [556.0, 1089.0, 431.0, 36.0], shoonya_0sNV4BB4RTK9L1, 5721897]
[paragraph, [556.0, 1125.0, 431.0, 36.0], shoonya_0sNV4BB4RTK9L1, 5721897]
[paragraph, [556.0, 1161.0, 431.0, 36.0], shoonya_0sNV4BB4RTK9L1, 5721897]
[paragraph, [556.0, 1197.0, 431.0, 36.0], shoonya_0sNV4BB4RTK9L1, 5721897]
[paragraph, [556.0, 1233.0, 431.0, 36.0], shoonya_0sNV4BB4RTK9L1, 5721897]
[paragraph, [556.0, 1269.0, 431.0, 36.0], shoonya_0sNV4BB4RTK9L1, 5721897]
[folio, [197.0, 1385.0, 301.0, 36.0], NMfRCOj4iz, 5721897]
