[1468, 909]
[headline, [391.0, 72.0, 159.0, 25.5], wBYOSVy7L2, 5769894]
[headline, [391.0, 97.5, 159.0, 25.5], wBYOSVy7L2, 5769894]
[paragraph, [456.0, 137.0, 377.0, 18.0], vo9I7nfgvg, 5769894]
[paragraph, [456.0, 155.0, 377.0, 18.0], vo9I7nfgvg, 5769894]
[paragraph, [456.0, 173.0, 377.0, 18.0], vo9I7nfgvg, 5769894]
[paragraph, [456.0, 191.0, 377.0, 18.0], vo9I7nfgvg, 5769894]
[paragraph, [456.0, 209.0, 377.0, 18.0], vo9I7nfgvg, 5769894]
[paragraph, [456.0, 227.0, 377.0, 18.0], vo9I7nfgvg, 5769894]
[paragraph, [456.0, 245.0, 377.0, 18.0], vo9I7nfgvg, 5769894]
[paragraph, [456.0, 263.0, 377.0, 18.0], vo9I7nfgvg, 5769894]
[paragraph, [78.0, 144.0, 372.0, 18.0], EU153nm-2I, 5769894]
[paragraph, [78.0, 162.0, 372.0, 18.0], EU153nm-2I, 5769894]
[paragraph, [78.0, 180.0, 372.0, 18.0], EU153nm-2I, 5769894]
[paragraph, [78.0, 198.0, 372.0, 18.0], EU153nm-2I, 5769894]
[paragraph, [78.0, 216.0, 372.0, 18.0], EU153nm-2I, 5769894]
[paragraph, [78.0, 234.0, 372.0, 18.0], EU153nm-2I, 5769894]
[paragraph, [78.0, 252.0, 372.0, 18.0], EU153nm-2I, 5769894]
[paragraph, [78.0, 270.0, 372.0, 18.0], EU153nm-2I, 5769894]
[paragraph, [78.0, 288.0, 372.0, 18.0], EU153nm-2I, 5769894]
[paragraph, [78.0, 306.0, 372.0, 18.0], EU153nm-2I, 5769894]
[paragraph, [78.0, 324.0, 372.0, 18.0], EU153nm-2I, 5769894]
[paragraph, [78.0, 342.0, 372.0, 18.0], EU153nm-2I, 5769894]
[paragraph, [78.0, 360.0, 372.0, 18.0], EU153nm-2I, 5769894]
[paragraph, [78.0, 378.0, 372.0, 18.0], EU153nm-2I, 5769894]
[paragraph, [456.0, 289.0, 377.0, 18.0], mnqq5Zmvak, 5769894]
[paragraph, [456.0, 307.0, 377.0, 18.0], mnqq5Zmvak, 5769894]
[paragraph, [456.0, 325.0, 377.0, 18.0], mnqq5Zmvak, 5769894]
[paragraph, [456.0, 343.0, 377.0, 18.0], mnqq5Zmvak, 5769894]
[paragraph, [456.0, 361.0, 377.0, 18.0], mnqq5Zmvak, 5769894]
[paragraph, [457.0, 377.0, 376.0, 18.0], IqABiatPqx, 5769894]
[paragraph, [457.0, 395.0, 376.0, 18.0], IqABiatPqx, 5769894]
[paragraph, [457.0, 413.0, 376.0, 18.0], IqABiatPqx, 5769894]
[paragraph, [457.0, 431.0, 376.0, 18.0], IqABiatPqx, 5769894]
[paragraph, [457.0, 449.0, 376.0, 18.0], IqABiatPqx, 5769894]
[paragraph, [457.0, 467.0, 376.0, 18.0], IqABiatPqx, 5769894]
[paragraph, [457.0, 485.0, 376.0, 18.0], IqABiatPqx, 5769894]
[paragraph, [457.0, 503.0, 376.0, 18.0], IqABiatPqx, 5769894]
[paragraph, [457.0, 521.0, 376.0, 18.0], IqABiatPqx, 5769894]
[paragraph, [457.0, 539.0, 376.0, 18.0], IqABiatPqx, 5769894]
[paragraph, [457.0, 557.0, 376.0, 18.0], IqABiatPqx, 5769894]
[paragraph, [457.0, 575.0, 376.0, 18.0], IqABiatPqx, 5769894]
[paragraph, [457.0, 593.0, 376.0, 18.0], IqABiatPqx, 5769894]
[paragraph, [457.0, 611.0, 376.0, 18.0], IqABiatPqx, 5769894]
[paragraph, [457.0, 629.0, 376.0, 18.0], IqABiatPqx, 5769894]
[paragraph, [457.0, 647.0, 376.0, 18.0], IqABiatPqx, 5769894]
[paragraph, [457.0, 665.0, 376.0, 18.0], IqABiatPqx, 5769894]
[paragraph, [457.0, 683.0, 376.0, 18.0], IqABiatPqx, 5769894]
[paragraph, [457.0, 701.0, 376.0, 18.0], IqABiatPqx, 5769894]
