[2339, 1654]
[folio, [1328.0, 55.0, 230.0, 36.0], E3kIW5QRog, 5750618]
[section-title, [120.0, 113.0, 238.0, 52.5], F5BBU98U-p, 5750618]
[paragraph, [263.0, 187.0, 1189.0, 36.0], shoonya_1sYNOIQYVNP6G7, 5750618]
[paragraph, [263.0, 223.0, 1189.0, 36.0], shoonya_1sYNOIQYVNP6G7, 5750618]
[paragraph, [263.0, 259.0, 1189.0, 36.0], shoonya_1sYNOIQYVNP6G7, 5750618]
[paragraph, [263.0, 295.0, 1189.0, 36.0], shoonya_1sYNOIQYVNP6G7, 5750618]
[paragraph, [263.0, 331.0, 1189.0, 36.0], shoonya_1sYNOIQYVNP6G7, 5750618]
[paragraph, [263.0, 367.0, 1189.0, 36.0], shoonya_1sYNOIQYVNP6G7, 5750618]
[paragraph, [263.0, 403.0, 1189.0, 36.0], shoonya_1sYNOIQYVNP6G7, 5750618]
[paragraph, [263.0, 439.0, 1189.0, 36.0], shoonya_1sYNOIQYVNP6G7, 5750618]
[paragraph, [263.0, 475.0, 1189.0, 36.0], shoonya_1sYNOIQYVNP6G7, 5750618]
[paragraph, [263.0, 511.0, 1189.0, 36.0], shoonya_1sYNOIQYVNP6G7, 5750618]
[paragraph, [263.0, 547.0, 1189.0, 36.0], shoonya_1sYNOIQYVNP6G7, 5750618]
[paragraph, [263.0, 583.0, 1189.0, 36.0], shoonya_1sYNOIQYVNP6G7, 5750618]
[paragraph, [263.0, 619.0, 1189.0, 36.0], shoonya_1sYNOIQYVNP6G7, 5750618]
[paragraph, [263.0, 655.0, 1189.0, 36.0], shoonya_1sYNOIQYVNP6G7, 5750618]
[paragraph, [263.0, 691.0, 1189.0, 36.0], shoonya_1sYNOIQYVNP6G7, 5750618]
[paragraph, [263.0, 727.0, 1189.0, 36.0], shoonya_1sYNOIQYVNP6G7, 5750618]
[paragraph, [263.0, 763.0, 1189.0, 36.0], shoonya_1sYNOIQYVNP6G7, 5750618]
[paragraph, [263.0, 799.0, 1189.0, 36.0], shoonya_1sYNOIQYVNP6G7, 5750618]
[paragraph, [263.0, 835.0, 1189.0, 36.0], shoonya_1sYNOIQYVNP6G7, 5750618]
[paragraph, [263.0, 871.0, 1189.0, 36.0], shoonya_1sYNOIQYVNP6G7, 5750618]
[paragraph, [263.0, 907.0, 1189.0, 36.0], shoonya_1sYNOIQYVNP6G7, 5750618]
[paragraph, [133.0, 1030.0, 1424.0, 36.0], shoonya_0sHQ8WOULC3S4M, 5750618]
[paragraph, [133.0, 1066.0, 1424.0, 36.0], shoonya_0sHQ8WOULC3S4M, 5750618]
[paragraph, [133.0, 1102.0, 1424.0, 36.0], shoonya_0sHQ8WOULC3S4M, 5750618]
[paragraph, [133.0, 1138.0, 1424.0, 36.0], shoonya_0sHQ8WOULC3S4M, 5750618]
[paragraph, [133.0, 1174.0, 1424.0, 36.0], shoonya_0sHQ8WOULC3S4M, 5750618]
[paragraph, [133.0, 1210.0, 1424.0, 36.0], shoonya_0sHQ8WOULC3S4M, 5750618]
[paragraph, [133.0, 1246.0, 1424.0, 36.0], shoonya_0sHQ8WOULC3S4M, 5750618]
[paragraph, [133.0, 1282.0, 1424.0, 36.0], shoonya_0sHQ8WOULC3S4M, 5750618]
[paragraph, [133.0, 1318.0, 1424.0, 36.0], shoonya_0sHQ8WOULC3S4M, 5750618]
[paragraph, [133.0, 1354.0, 1424.0, 36.0], shoonya_0sHQ8WOULC3S4M, 5750618]
[paragraph, [133.0, 1390.0, 1424.0, 36.0], shoonya_0sHQ8WOULC3S4M, 5750618]
[paragraph, [133.0, 1426.0, 1424.0, 36.0], shoonya_0sHQ8WOULC3S4M, 5750618]
[paragraph, [133.0, 1462.0, 1424.0, 36.0], shoonya_0sHQ8WOULC3S4M, 5750618]
[paragraph, [133.0, 1498.0, 1424.0, 36.0], shoonya_0sHQ8WOULC3S4M, 5750618]
[paragraph, [133.0, 1534.0, 1424.0, 36.0], shoonya_0sHQ8WOULC3S4M, 5750618]
[paragraph, [133.0, 1570.0, 1424.0, 36.0], shoonya_0sHQ8WOULC3S4M, 5750618]
[paragraph, [133.0, 1606.0, 1424.0, 36.0], shoonya_0sHQ8WOULC3S4M, 5750618]
[paragraph, [133.0, 1642.0, 1424.0, 36.0], shoonya_0sHQ8WOULC3S4M, 5750618]
[paragraph, [133.0, 1678.0, 1424.0, 36.0], shoonya_0sHQ8WOULC3S4M, 5750618]
