[1650, 1275]
[paragraph, [185.0, 142.0, 901.0, 36.0], shoonya_2sKUGD1JGRODP4, 5703361]
[paragraph, [185.0, 178.0, 901.0, 36.0], shoonya_2sKUGD1JGRODP4, 5703361]
[paragraph, [181.0, 250.0, 908.0, 36.0], shoonya_0sYRPJ3S5UCHSG, 5703361]
[paragraph, [181.0, 286.0, 908.0, 36.0], shoonya_0sYRPJ3S5UCHSG, 5703361]
[paragraph, [181.0, 322.0, 908.0, 36.0], shoonya_0sYRPJ3S5UCHSG, 5703361]
[paragraph, [181.0, 358.0, 908.0, 36.0], shoonya_0sYRPJ3S5UCHSG, 5703361]
[paragraph, [181.0, 394.0, 908.0, 36.0], shoonya_0sYRPJ3S5UCHSG, 5703361]
[paragraph, [181.0, 430.0, 908.0, 36.0], shoonya_0sYRPJ3S5UCHSG, 5703361]
[paragraph, [181.0, 466.0, 908.0, 36.0], shoonya_0sYRPJ3S5UCHSG, 5703361]
[paragraph, [181.0, 502.0, 908.0, 36.0], shoonya_0sYRPJ3S5UCHSG, 5703361]
[paragraph, [181.0, 538.0, 908.0, 36.0], shoonya_0sYRPJ3S5UCHSG, 5703361]
[paragraph, [181.0, 574.0, 908.0, 36.0], shoonya_0sYRPJ3S5UCHSG, 5703361]
[paragraph, [181.0, 610.0, 908.0, 36.0], shoonya_0sYRPJ3S5UCHSG, 5703361]
[paragraph, [181.0, 646.0, 908.0, 36.0], shoonya_0sYRPJ3S5UCHSG, 5703361]
[paragraph, [181.0, 682.0, 908.0, 36.0], shoonya_0sYRPJ3S5UCHSG, 5703361]
[paragraph, [181.0, 718.0, 908.0, 36.0], shoonya_0sYRPJ3S5UCHSG, 5703361]
[paragraph, [181.0, 754.0, 908.0, 36.0], shoonya_0sYRPJ3S5UCHSG, 5703361]
[paragraph, [181.0, 790.0, 908.0, 36.0], shoonya_0sYRPJ3S5UCHSG, 5703361]
[paragraph, [181.0, 826.0, 908.0, 36.0], shoonya_0sYRPJ3S5UCHSG, 5703361]
[paragraph, [181.0, 862.0, 908.0, 36.0], shoonya_0sYRPJ3S5UCHSG, 5703361]
[paragraph, [181.0, 898.0, 908.0, 36.0], shoonya_0sYRPJ3S5UCHSG, 5703361]
[paragraph, [181.0, 934.0, 908.0, 36.0], shoonya_0sYRPJ3S5UCHSG, 5703361]
[paragraph, [181.0, 970.0, 908.0, 36.0], shoonya_0sYRPJ3S5UCHSG, 5703361]
[paragraph, [181.0, 1006.0, 908.0, 36.0], shoonya_0sYRPJ3S5UCHSG, 5703361]
[paragraph, [181.0, 1042.0, 908.0, 36.0], shoonya_0sYRPJ3S5UCHSG, 5703361]
[paragraph, [181.0, 1078.0, 908.0, 36.0], shoonya_0sYRPJ3S5UCHSG, 5703361]
[paragraph, [181.0, 1114.0, 908.0, 36.0], shoonya_0sYRPJ3S5UCHSG, 5703361]
[paragraph, [181.0, 1150.0, 908.0, 36.0], shoonya_0sYRPJ3S5UCHSG, 5703361]
[paragraph, [181.0, 1186.0, 908.0, 36.0], shoonya_0sYRPJ3S5UCHSG, 5703361]
[paragraph, [181.0, 1222.0, 908.0, 36.0], shoonya_0sYRPJ3S5UCHSG, 5703361]
[paragraph, [181.0, 1258.0, 908.0, 36.0], shoonya_0sYRPJ3S5UCHSG, 5703361]
[paragraph, [181.0, 1294.0, 908.0, 36.0], shoonya_0sYRPJ3S5UCHSG, 5703361]
[paragraph, [181.0, 1330.0, 908.0, 36.0], shoonya_0sYRPJ3S5UCHSG, 5703361]
[paragraph, [181.0, 1366.0, 908.0, 36.0], shoonya_0sYRPJ3S5UCHSG, 5703361]
[paragraph, [181.0, 1402.0, 908.0, 36.0], shoonya_0sYRPJ3S5UCHSG, 5703361]
[paragraph, [181.0, 1438.0, 908.0, 36.0], shoonya_0sYRPJ3S5UCHSG, 5703361]
