[1787, 1218]
[paragraph, [98.0, 102.0, 1016.0, 36.0], shoonya_0sNHHBOPL9B14D, 5652052]
[paragraph, [98.0, 138.0, 1016.0, 36.0], shoonya_0sNHHBOPL9B14D, 5652052]
[paragraph, [98.0, 174.0, 1016.0, 36.0], shoonya_0sNHHBOPL9B14D, 5652052]
[paragraph, [98.0, 210.0, 1016.0, 36.0], shoonya_0sNHHBOPL9B14D, 5652052]
[paragraph, [98.0, 246.0, 1016.0, 36.0], shoonya_0sNHHBOPL9B14D, 5652052]
[paragraph, [98.0, 282.0, 1016.0, 36.0], shoonya_0sNHHBOPL9B14D, 5652052]
[paragraph, [98.0, 335.0, 1010.0, 36.0], wAO9awt4-g, 5652052]
[paragraph, [98.0, 371.0, 1010.0, 36.0], wAO9awt4-g, 5652052]
[paragraph, [98.0, 407.0, 1010.0, 36.0], wAO9awt4-g, 5652052]
[paragraph, [108.0, 450.0, 1037.0, 36.0], JzF-BOFbKV, 5652052]
[paragraph, [108.0, 486.0, 1037.0, 36.0], JzF-BOFbKV, 5652052]
[paragraph, [108.0, 522.0, 1037.0, 36.0], JzF-BOFbKV, 5652052]
[paragraph, [108.0, 558.0, 1037.0, 36.0], JzF-BOFbKV, 5652052]
[paragraph, [167.0, 610.0, 523.0, 36.0], VKGWBRLjbf, 5652052]
[paragraph, [161.0, 655.0, 802.0, 36.0], 2awQyhcUE4, 5652052]
[paragraph, [109.0, 688.0, 1024.0, 36.0], KeiZmVbHaj, 5652052]
[paragraph, [109.0, 724.0, 1024.0, 36.0], KeiZmVbHaj, 5652052]
[paragraph, [109.0, 760.0, 1024.0, 36.0], KeiZmVbHaj, 5652052]
[paragraph, [109.0, 796.0, 1024.0, 36.0], KeiZmVbHaj, 5652052]
[paragraph, [109.0, 832.0, 1024.0, 36.0], KeiZmVbHaj, 5652052]
[paragraph, [111.0, 888.0, 994.0, 36.0], -lzucSxrln, 5652052]
[paragraph, [111.0, 924.0, 994.0, 36.0], -lzucSxrln, 5652052]
[paragraph, [111.0, 968.0, 998.0, 36.0], k0jcliKT9r, 5652052]
[paragraph, [111.0, 1004.0, 998.0, 36.0], k0jcliKT9r, 5652052]
[paragraph, [114.0, 1043.0, 1011.0, 36.0], DTNrFAOIaa, 5652052]
[paragraph, [114.0, 1079.0, 1011.0, 36.0], DTNrFAOIaa, 5652052]
[paragraph, [114.0, 1121.0, 1005.0, 36.0], PphLlhHRt6, 5652052]
[paragraph, [114.0, 1157.0, 1005.0, 36.0], PphLlhHRt6, 5652052]
[paragraph, [114.0, 1193.0, 1005.0, 36.0], PphLlhHRt6, 5652052]
[paragraph, [114.0, 1229.0, 1005.0, 36.0], PphLlhHRt6, 5652052]
[paragraph, [114.0, 1275.0, 1015.0, 36.0], BqovrTKKAf, 5652052]
[paragraph, [114.0, 1311.0, 1015.0, 36.0], BqovrTKKAf, 5652052]
[paragraph, [111.0, 1365.0, 1024.0, 36.0], DavTWU5Ea1, 5652052]
[paragraph, [111.0, 1401.0, 1024.0, 36.0], DavTWU5Ea1, 5652052]
[paragraph, [114.0, 1436.0, 1005.0, 36.0], L7fABRSBuM, 5652052]
[paragraph, [114.0, 1472.0, 1005.0, 36.0], L7fABRSBuM, 5652052]
[paragraph, [103.0, 1517.0, 1006.0, 36.0], e8JKv4bUbn, 5652052]
[paragraph, [103.0, 1553.0, 1006.0, 36.0], e8JKv4bUbn, 5652052]
