[1211, 798]
[folio, [340.0, 39.0, 102.0, 18.0], shoonya_1s3KF0PLNTFYKU, 5740333]
[folio, [340.0, 57.0, 102.0, 18.0], shoonya_1s3KF0PLNTFYKU, 5740333]
[paragraph, [54.0, 101.0, 680.0, 18.0], shoonya_3sWEX3CN4J6OLO, 5740333]
[paragraph, [54.0, 119.0, 680.0, 18.0], shoonya_3sWEX3CN4J6OLO, 5740333]
[paragraph, [54.0, 137.0, 680.0, 18.0], shoonya_3sWEX3CN4J6OLO, 5740333]
[paragraph, [54.0, 155.0, 680.0, 18.0], shoonya_3sWEX3CN4J6OLO, 5740333]
[paragraph, [52.0, 188.0, 701.0, 18.0], shoonya_0s201QE12LAECN, 5740333]
[paragraph, [52.0, 206.0, 701.0, 18.0], shoonya_0s201QE12LAECN, 5740333]
[paragraph, [52.0, 224.0, 701.0, 18.0], shoonya_0s201QE12LAECN, 5740333]
[paragraph, [52.0, 242.0, 701.0, 18.0], shoonya_0s201QE12LAECN, 5740333]
[paragraph, [52.0, 260.0, 701.0, 18.0], shoonya_0s201QE12LAECN, 5740333]
[paragraph, [52.0, 278.0, 701.0, 18.0], shoonya_0s201QE12LAECN, 5740333]
[paragraph, [52.0, 296.0, 701.0, 18.0], shoonya_0s201QE12LAECN, 5740333]
[paragraph, [52.0, 314.0, 701.0, 18.0], shoonya_0s201QE12LAECN, 5740333]
[paragraph, [52.0, 332.0, 701.0, 18.0], shoonya_0s201QE12LAECN, 5740333]
[paragraph, [52.0, 350.0, 701.0, 18.0], shoonya_0s201QE12LAECN, 5740333]
[paragraph, [52.0, 368.0, 701.0, 18.0], shoonya_0s201QE12LAECN, 5740333]
[paragraph, [52.0, 386.0, 701.0, 18.0], shoonya_0s201QE12LAECN, 5740333]
[paragraph, [52.0, 404.0, 701.0, 18.0], shoonya_0s201QE12LAECN, 5740333]
[paragraph, [52.0, 422.0, 701.0, 18.0], shoonya_0s201QE12LAECN, 5740333]
[paragraph, [52.0, 440.0, 701.0, 18.0], shoonya_0s201QE12LAECN, 5740333]
[paragraph, [52.0, 458.0, 701.0, 18.0], shoonya_0s201QE12LAECN, 5740333]
[paragraph, [52.0, 476.0, 701.0, 18.0], shoonya_0s201QE12LAECN, 5740333]
[paragraph, [52.0, 494.0, 701.0, 18.0], shoonya_0s201QE12LAECN, 5740333]
