[1545, 2000]
[sidebar, [715.0, 188.0, 584.0, 36.0], BzlqsTdAAU, 6491030]
[sidebar, [715.0, 224.0, 584.0, 36.0], BzlqsTdAAU, 6491030]
[sidebar, [715.0, 260.0, 584.0, 36.0], BzlqsTdAAU, 6491030]
[sidebar, [715.0, 296.0, 584.0, 36.0], BzlqsTdAAU, 6491030]
[sidebar, [715.0, 332.0, 584.0, 36.0], BzlqsTdAAU, 6491030]
[sidebar, [715.0, 368.0, 584.0, 36.0], BzlqsTdAAU, 6491030]
[sidebar, [715.0, 404.0, 584.0, 36.0], BzlqsTdAAU, 6491030]
[sidebar, [715.0, 440.0, 584.0, 36.0], BzlqsTdAAU, 6491030]
[sidebar, [715.0, 476.0, 584.0, 36.0], BzlqsTdAAU, 6491030]
[sidebar, [715.0, 512.0, 584.0, 36.0], BzlqsTdAAU, 6491030]
[sidebar, [715.0, 548.0, 584.0, 36.0], BzlqsTdAAU, 6491030]
[section-title, [122.0, 412.0, 421.0, 49.5], BQTHUWDi2P, 6491030]
[section-title, [122.0, 461.5, 421.0, 49.5], BQTHUWDi2P, 6491030]
[section-title, [122.0, 511.0, 421.0, 49.5], BQTHUWDi2P, 6491030]
[section-title, [122.0, 560.5, 421.0, 49.5], BQTHUWDi2P, 6491030]
[section-title, [1498.0, 434.0, 338.0, 49.5], 04IRK3rlDR, 6491030]
[section-title, [1498.0, 483.5, 338.0, 49.5], 04IRK3rlDR, 6491030]
[section-title, [1498.0, 533.0, 338.0, 49.5], 04IRK3rlDR, 6491030]
[paragraph, [1412.0, 639.0, 492.0, 36.0], shoonya_0sSPNAWMMA4DCN, 6491030]
[paragraph, [1412.0, 675.0, 492.0, 36.0], shoonya_0sSPNAWMMA4DCN, 6491030]
[paragraph, [1412.0, 711.0, 492.0, 36.0], shoonya_0sSPNAWMMA4DCN, 6491030]
[paragraph, [1412.0, 747.0, 492.0, 36.0], shoonya_0sSPNAWMMA4DCN, 6491030]
[paragraph, [1412.0, 783.0, 492.0, 36.0], shoonya_0sSPNAWMMA4DCN, 6491030]
[paragraph, [1412.0, 819.0, 492.0, 36.0], shoonya_0sSPNAWMMA4DCN, 6491030]
[paragraph, [1412.0, 855.0, 492.0, 36.0], shoonya_0sSPNAWMMA4DCN, 6491030]
[paragraph, [115.0, 643.0, 421.0, 36.0], pdLxy8GXL3, 6491030]
[paragraph, [115.0, 679.0, 421.0, 36.0], pdLxy8GXL3, 6491030]
[paragraph, [115.0, 715.0, 421.0, 36.0], pdLxy8GXL3, 6491030]
[paragraph, [115.0, 751.0, 421.0, 36.0], pdLxy8GXL3, 6491030]
[paragraph, [115.0, 787.0, 421.0, 36.0], pdLxy8GXL3, 6491030]
[paragraph, [115.0, 823.0, 421.0, 36.0], pdLxy8GXL3, 6491030]
[paragraph, [115.0, 859.0, 421.0, 36.0], pdLxy8GXL3, 6491030]
[paragraph, [115.0, 895.0, 421.0, 36.0], pdLxy8GXL3, 6491030]
[paragraph, [823.0, 668.0, 472.0, 36.0], oOt6uejWNA, 6491030]
[paragraph, [823.0, 704.0, 472.0, 36.0], oOt6uejWNA, 6491030]
[paragraph, [842.0, 771.0, 474.0, 36.0], Ia02uypK2P, 6491030]
[paragraph, [836.0, 848.0, 459.0, 36.0], AB_Z3pngH4, 6491030]
[paragraph, [836.0, 884.0, 459.0, 36.0], AB_Z3pngH4, 6491030]
[paragraph, [842.0, 943.0, 454.0, 36.0], nNOqlb7mZJ, 6491030]
[paragraph, [851.0, 1040.0, 442.0, 36.0], c0B3AWyRDt, 6491030]
[paragraph, [851.0, 1076.0, 442.0, 36.0], c0B3AWyRDt, 6491030]
[paragraph, [851.0, 1112.0, 442.0, 36.0], c0B3AWyRDt, 6491030]
[paragraph, [851.0, 1148.0, 442.0, 36.0], c0B3AWyRDt, 6491030]
[paragraph, [845.0, 1215.0, 462.0, 36.0], 9kuOCy33vF, 6491030]
[paragraph, [845.0, 1251.0, 462.0, 36.0], 9kuOCy33vF, 6491030]
[paragraph, [839.0, 1307.0, 474.0, 36.0], QUNB3qE-FU, 6491030]
[paragraph, [839.0, 1343.0, 474.0, 36.0], QUNB3qE-FU, 6491030]
