[2338, 1654]
[paragraph, [251.0, 226.0, 1223.0, 36.0], shoonya_3sJWTHNCBY1IG6, 5753477]
[paragraph, [251.0, 262.0, 1223.0, 36.0], shoonya_3sJWTHNCBY1IG6, 5753477]
[paragraph, [251.0, 298.0, 1223.0, 36.0], shoonya_3sJWTHNCBY1IG6, 5753477]
[paragraph, [251.0, 334.0, 1223.0, 36.0], shoonya_3sJWTHNCBY1IG6, 5753477]
[paragraph, [247.0, 387.0, 1227.0, 36.0], shoonya_0sMO6VRGGP7FAQ, 5753477]
[paragraph, [247.0, 423.0, 1227.0, 36.0], shoonya_0sMO6VRGGP7FAQ, 5753477]
[paragraph, [247.0, 459.0, 1227.0, 36.0], shoonya_0sMO6VRGGP7FAQ, 5753477]
[paragraph, [247.0, 495.0, 1227.0, 36.0], shoonya_0sMO6VRGGP7FAQ, 5753477]
[paragraph, [247.0, 531.0, 1227.0, 36.0], shoonya_0sMO6VRGGP7FAQ, 5753477]
[paragraph, [247.0, 567.0, 1227.0, 36.0], shoonya_0sMO6VRGGP7FAQ, 5753477]
[paragraph, [247.0, 603.0, 1227.0, 36.0], shoonya_0sMO6VRGGP7FAQ, 5753477]
[paragraph, [247.0, 639.0, 1227.0, 36.0], shoonya_0sMO6VRGGP7FAQ, 5753477]
[paragraph, [247.0, 675.0, 1227.0, 36.0], shoonya_0sMO6VRGGP7FAQ, 5753477]
[paragraph, [247.0, 711.0, 1227.0, 36.0], shoonya_0sMO6VRGGP7FAQ, 5753477]
[paragraph, [247.0, 747.0, 1227.0, 36.0], shoonya_0sMO6VRGGP7FAQ, 5753477]
[paragraph, [247.0, 783.0, 1227.0, 36.0], shoonya_0sMO6VRGGP7FAQ, 5753477]
[paragraph, [247.0, 819.0, 1227.0, 36.0], shoonya_0sMO6VRGGP7FAQ, 5753477]
[paragraph, [247.0, 855.0, 1227.0, 36.0], shoonya_0sMO6VRGGP7FAQ, 5753477]
[paragraph, [247.0, 891.0, 1227.0, 36.0], shoonya_0sMO6VRGGP7FAQ, 5753477]
[paragraph, [247.0, 927.0, 1227.0, 36.0], shoonya_0sMO6VRGGP7FAQ, 5753477]
[paragraph, [247.0, 963.0, 1227.0, 36.0], shoonya_0sMO6VRGGP7FAQ, 5753477]
[paragraph, [247.0, 999.0, 1227.0, 36.0], shoonya_0sMO6VRGGP7FAQ, 5753477]
[paragraph, [247.0, 1035.0, 1227.0, 36.0], shoonya_0sMO6VRGGP7FAQ, 5753477]
[paragraph, [247.0, 1071.0, 1227.0, 36.0], shoonya_0sMO6VRGGP7FAQ, 5753477]
[paragraph, [247.0, 1107.0, 1227.0, 36.0], shoonya_0sMO6VRGGP7FAQ, 5753477]
[paragraph, [247.0, 1143.0, 1227.0, 36.0], shoonya_0sMO6VRGGP7FAQ, 5753477]
[paragraph, [247.0, 1179.0, 1227.0, 36.0], shoonya_0sMO6VRGGP7FAQ, 5753477]
[paragraph, [247.0, 1215.0, 1227.0, 36.0], shoonya_0sMO6VRGGP7FAQ, 5753477]
[paragraph, [247.0, 1251.0, 1227.0, 36.0], shoonya_0sMO6VRGGP7FAQ, 5753477]
[paragraph, [247.0, 1287.0, 1227.0, 36.0], shoonya_0sMO6VRGGP7FAQ, 5753477]
[paragraph, [247.0, 1323.0, 1227.0, 36.0], shoonya_0sMO6VRGGP7FAQ, 5753477]
[paragraph, [247.0, 1359.0, 1227.0, 36.0], shoonya_0sMO6VRGGP7FAQ, 5753477]
[paragraph, [247.0, 1395.0, 1227.0, 36.0], shoonya_0sMO6VRGGP7FAQ, 5753477]
[paragraph, [247.0, 1431.0, 1227.0, 36.0], shoonya_0sMO6VRGGP7FAQ, 5753477]
[paragraph, [247.0, 1467.0, 1227.0, 36.0], shoonya_0sMO6VRGGP7FAQ, 5753477]
[paragraph, [247.0, 1503.0, 1227.0, 36.0], shoonya_0sMO6VRGGP7FAQ, 5753477]
[paragraph, [247.0, 1539.0, 1227.0, 36.0], shoonya_0sMO6VRGGP7FAQ, 5753477]
[paragraph, [454.0, 1609.0, 420.0, 36.0], shoonya_5sK3CSKNONCUI9, 5753477]
[paragraph, [454.0, 1645.0, 420.0, 36.0], shoonya_5sK3CSKNONCUI9, 5753477]
[paragraph, [454.0, 1681.0, 420.0, 36.0], shoonya_5sK3CSKNONCUI9, 5753477]
[paragraph, [454.0, 1717.0, 420.0, 36.0], shoonya_5sK3CSKNONCUI9, 5753477]
[paragraph, [258.0, 1785.0, 1226.0, 36.0], shoonya_1sZU3DUJ4ZVJV6, 5753477]
[paragraph, [258.0, 1821.0, 1226.0, 36.0], shoonya_1sZU3DUJ4ZVJV6, 5753477]
[paragraph, [258.0, 1857.0, 1226.0, 36.0], shoonya_1sZU3DUJ4ZVJV6, 5753477]
[paragraph, [258.0, 1893.0, 1226.0, 36.0], shoonya_1sZU3DUJ4ZVJV6, 5753477]
[paragraph, [258.0, 1929.0, 1226.0, 36.0], shoonya_1sZU3DUJ4ZVJV6, 5753477]
[paragraph, [258.0, 1965.0, 1226.0, 36.0], shoonya_1sZU3DUJ4ZVJV6, 5753477]
[paragraph, [258.0, 2001.0, 1226.0, 36.0], shoonya_1sZU3DUJ4ZVJV6, 5753477]
