[911, 559]
[paragraph, [22.0, 56.0, 512.0, 18.0], shoonya_4s1ZJW8HV7AOFE, 5776347]
[paragraph, [22.0, 74.0, 512.0, 18.0], shoonya_4s1ZJW8HV7AOFE, 5776347]
[paragraph, [22.0, 92.0, 512.0, 18.0], shoonya_4s1ZJW8HV7AOFE, 5776347]
[paragraph, [22.0, 110.0, 512.0, 18.0], shoonya_4s1ZJW8HV7AOFE, 5776347]
[paragraph, [22.0, 128.0, 512.0, 18.0], shoonya_4s1ZJW8HV7AOFE, 5776347]
[paragraph, [21.0, 153.0, 511.0, 18.0], shoonya_3s3LNLPZK4H4VG, 5776347]
[paragraph, [21.0, 171.0, 511.0, 18.0], shoonya_3s3LNLPZK4H4VG, 5776347]
[paragraph, [21.0, 189.0, 511.0, 18.0], shoonya_3s3LNLPZK4H4VG, 5776347]
[paragraph, [21.0, 207.0, 511.0, 18.0], shoonya_3s3LNLPZK4H4VG, 5776347]
[paragraph, [21.0, 225.0, 511.0, 18.0], shoonya_3s3LNLPZK4H4VG, 5776347]
[paragraph, [21.0, 243.0, 511.0, 18.0], shoonya_3s3LNLPZK4H4VG, 5776347]
[paragraph, [23.0, 272.0, 510.0, 18.0], shoonya_2sE76ZVVAB53MX, 5776347]
[paragraph, [23.0, 290.0, 510.0, 18.0], shoonya_2sE76ZVVAB53MX, 5776347]
[paragraph, [23.0, 308.0, 510.0, 18.0], shoonya_2sE76ZVVAB53MX, 5776347]
[paragraph, [23.0, 326.0, 510.0, 18.0], shoonya_2sE76ZVVAB53MX, 5776347]
[paragraph, [23.0, 344.0, 510.0, 18.0], shoonya_2sE76ZVVAB53MX, 5776347]
[paragraph, [23.0, 362.0, 510.0, 18.0], shoonya_2sE76ZVVAB53MX, 5776347]
[paragraph, [23.0, 385.0, 508.0, 18.0], shoonya_1sJGNDRAT72OWK, 5776347]
[paragraph, [23.0, 403.0, 508.0, 18.0], shoonya_1sJGNDRAT72OWK, 5776347]
[paragraph, [23.0, 421.0, 508.0, 18.0], shoonya_1sJGNDRAT72OWK, 5776347]
[paragraph, [23.0, 439.0, 508.0, 18.0], shoonya_1sJGNDRAT72OWK, 5776347]
[paragraph, [23.0, 457.0, 508.0, 18.0], shoonya_1sJGNDRAT72OWK, 5776347]
[paragraph, [23.0, 475.0, 508.0, 18.0], shoonya_1sJGNDRAT72OWK, 5776347]
[paragraph, [23.0, 493.0, 508.0, 18.0], shoonya_1sJGNDRAT72OWK, 5776347]
[paragraph, [23.0, 511.0, 508.0, 18.0], shoonya_1sJGNDRAT72OWK, 5776347]
[paragraph, [23.0, 529.0, 508.0, 18.0], shoonya_1sJGNDRAT72OWK, 5776347]
[paragraph, [23.0, 547.0, 508.0, 18.0], shoonya_1sJGNDRAT72OWK, 5776347]
[paragraph, [23.0, 565.0, 508.0, 18.0], shoonya_1sJGNDRAT72OWK, 5776347]
[paragraph, [26.0, 578.0, 505.0, 18.0], shoonya_0sJ9JZ16FBT82E, 5776347]
[paragraph, [26.0, 596.0, 505.0, 18.0], shoonya_0sJ9JZ16FBT82E, 5776347]
[paragraph, [26.0, 614.0, 505.0, 18.0], shoonya_0sJ9JZ16FBT82E, 5776347]
[paragraph, [26.0, 632.0, 505.0, 18.0], shoonya_0sJ9JZ16FBT82E, 5776347]
[paragraph, [26.0, 650.0, 505.0, 18.0], shoonya_0sJ9JZ16FBT82E, 5776347]
[paragraph, [26.0, 668.0, 505.0, 18.0], shoonya_0sJ9JZ16FBT82E, 5776347]
[paragraph, [26.0, 686.0, 505.0, 18.0], shoonya_0sJ9JZ16FBT82E, 5776347]
[paragraph, [26.0, 704.0, 505.0, 18.0], shoonya_0sJ9JZ16FBT82E, 5776347]
[paragraph, [26.0, 722.0, 505.0, 18.0], shoonya_0sJ9JZ16FBT82E, 5776347]
[paragraph, [26.0, 740.0, 505.0, 18.0], shoonya_0sJ9JZ16FBT82E, 5776347]
[paragraph, [26.0, 758.0, 505.0, 18.0], shoonya_0sJ9JZ16FBT82E, 5776347]
[paragraph, [26.0, 776.0, 505.0, 18.0], shoonya_0sJ9JZ16FBT82E, 5776347]
[paragraph, [26.0, 794.0, 505.0, 18.0], shoonya_0sJ9JZ16FBT82E, 5776347]
[paragraph, [26.0, 812.0, 505.0, 18.0], shoonya_0sJ9JZ16FBT82E, 5776347]
[paragraph, [26.0, 830.0, 505.0, 18.0], shoonya_0sJ9JZ16FBT82E, 5776347]
[paragraph, [26.0, 848.0, 505.0, 18.0], shoonya_0sJ9JZ16FBT82E, 5776347]
[paragraph, [26.0, 866.0, 505.0, 18.0], shoonya_0sJ9JZ16FBT82E, 5776347]
