[2200, 1700]
[paragraph, [220.0, 104.0, 1371.0, 36.0], shoonya_1sEOJ533B3NV8Z, 5656469]
[paragraph, [220.0, 140.0, 1371.0, 36.0], shoonya_1sEOJ533B3NV8Z, 5656469]
[paragraph, [220.0, 176.0, 1371.0, 36.0], shoonya_1sEOJ533B3NV8Z, 5656469]
[paragraph, [220.0, 212.0, 1371.0, 36.0], shoonya_1sEOJ533B3NV8Z, 5656469]
[paragraph, [220.0, 248.0, 1371.0, 36.0], shoonya_1sEOJ533B3NV8Z, 5656469]
[paragraph, [220.0, 284.0, 1371.0, 36.0], shoonya_1sEOJ533B3NV8Z, 5656469]
[paragraph, [220.0, 320.0, 1371.0, 36.0], shoonya_1sEOJ533B3NV8Z, 5656469]
[paragraph, [220.0, 356.0, 1371.0, 36.0], shoonya_1sEOJ533B3NV8Z, 5656469]
[paragraph, [220.0, 392.0, 1371.0, 36.0], shoonya_1sEOJ533B3NV8Z, 5656469]
[paragraph, [220.0, 428.0, 1371.0, 36.0], shoonya_1sEOJ533B3NV8Z, 5656469]
[ordered-list, [177.0, 479.0, 1510.0, 36.0], shoonya_0s81MCQRBHV21M, 5656469]
[ordered-list, [177.0, 515.0, 1510.0, 36.0], shoonya_0s81MCQRBHV21M, 5656469]
[ordered-list, [177.0, 551.0, 1510.0, 36.0], shoonya_0s81MCQRBHV21M, 5656469]
[ordered-list, [177.0, 587.0, 1510.0, 36.0], shoonya_0s81MCQRBHV21M, 5656469]
[ordered-list, [177.0, 623.0, 1510.0, 36.0], shoonya_0s81MCQRBHV21M, 5656469]
[ordered-list, [177.0, 659.0, 1510.0, 36.0], shoonya_0s81MCQRBHV21M, 5656469]
[ordered-list, [177.0, 695.0, 1510.0, 36.0], shoonya_0s81MCQRBHV21M, 5656469]
[ordered-list, [177.0, 731.0, 1510.0, 36.0], shoonya_0s81MCQRBHV21M, 5656469]
[ordered-list, [177.0, 767.0, 1510.0, 36.0], shoonya_0s81MCQRBHV21M, 5656469]
[ordered-list, [177.0, 803.0, 1510.0, 36.0], shoonya_0s81MCQRBHV21M, 5656469]
[ordered-list, [177.0, 839.0, 1510.0, 36.0], shoonya_0s81MCQRBHV21M, 5656469]
[ordered-list, [177.0, 875.0, 1510.0, 36.0], shoonya_0s81MCQRBHV21M, 5656469]
[ordered-list, [177.0, 911.0, 1510.0, 36.0], shoonya_0s81MCQRBHV21M, 5656469]
[ordered-list, [177.0, 947.0, 1510.0, 36.0], shoonya_0s81MCQRBHV21M, 5656469]
[ordered-list, [177.0, 983.0, 1510.0, 36.0], shoonya_0s81MCQRBHV21M, 5656469]
[ordered-list, [177.0, 1019.0, 1510.0, 36.0], shoonya_0s81MCQRBHV21M, 5656469]
[ordered-list, [177.0, 1055.0, 1510.0, 36.0], shoonya_0s81MCQRBHV21M, 5656469]
[ordered-list, [177.0, 1091.0, 1510.0, 36.0], shoonya_0s81MCQRBHV21M, 5656469]
[ordered-list, [177.0, 1127.0, 1510.0, 36.0], shoonya_0s81MCQRBHV21M, 5656469]
[ordered-list, [177.0, 1163.0, 1510.0, 36.0], shoonya_0s81MCQRBHV21M, 5656469]
[ordered-list, [177.0, 1199.0, 1510.0, 36.0], shoonya_0s81MCQRBHV21M, 5656469]
[ordered-list, [177.0, 1235.0, 1510.0, 36.0], shoonya_0s81MCQRBHV21M, 5656469]
[ordered-list, [177.0, 1271.0, 1510.0, 36.0], shoonya_0s81MCQRBHV21M, 5656469]
[ordered-list, [177.0, 1307.0, 1510.0, 36.0], shoonya_0s81MCQRBHV21M, 5656469]
[ordered-list, [177.0, 1343.0, 1510.0, 36.0], shoonya_0s81MCQRBHV21M, 5656469]
[ordered-list, [177.0, 1379.0, 1510.0, 36.0], shoonya_0s81MCQRBHV21M, 5656469]
[ordered-list, [177.0, 1415.0, 1510.0, 36.0], shoonya_0s81MCQRBHV21M, 5656469]
[ordered-list, [177.0, 1451.0, 1510.0, 36.0], shoonya_0s81MCQRBHV21M, 5656469]
[ordered-list, [177.0, 1487.0, 1510.0, 36.0], shoonya_0s81MCQRBHV21M, 5656469]
[ordered-list, [177.0, 1523.0, 1510.0, 36.0], shoonya_0s81MCQRBHV21M, 5656469]
[ordered-list, [177.0, 1559.0, 1510.0, 36.0], shoonya_0s81MCQRBHV21M, 5656469]
[ordered-list, [177.0, 1595.0, 1510.0, 36.0], shoonya_0s81MCQRBHV21M, 5656469]
[ordered-list, [177.0, 1631.0, 1510.0, 36.0], shoonya_0s81MCQRBHV21M, 5656469]
[ordered-list, [177.0, 1667.0, 1510.0, 36.0], shoonya_0s81MCQRBHV21M, 5656469]
[ordered-list, [177.0, 1703.0, 1510.0, 36.0], shoonya_0s81MCQRBHV21M, 5656469]
[ordered-list, [177.0, 1739.0, 1510.0, 36.0], shoonya_0s81MCQRBHV21M, 5656469]
[ordered-list, [177.0, 1775.0, 1510.0, 36.0], shoonya_0s81MCQRBHV21M, 5656469]
[ordered-list, [177.0, 1811.0, 1510.0, 36.0], shoonya_0s81MCQRBHV21M, 5656469]
[ordered-list, [177.0, 1847.0, 1510.0, 36.0], shoonya_0s81MCQRBHV21M, 5656469]
[ordered-list, [177.0, 1883.0, 1510.0, 36.0], shoonya_0s81MCQRBHV21M, 5656469]
