[595, 401]
[folio, [58.0, 55.0, 149.0, 18.0], nuQK_KxmBO, 5711424]
[paragraph, [55.0, 82.0, 295.0, 18.0], shoonya_1s9KU9GLBBP4D5, 5711424]
[paragraph, [55.0, 100.0, 295.0, 18.0], shoonya_1s9KU9GLBBP4D5, 5711424]
[paragraph, [55.0, 118.0, 295.0, 18.0], shoonya_1s9KU9GLBBP4D5, 5711424]
[paragraph, [55.0, 136.0, 295.0, 18.0], shoonya_1s9KU9GLBBP4D5, 5711424]
[paragraph, [55.0, 154.0, 295.0, 18.0], shoonya_1s9KU9GLBBP4D5, 5711424]
[paragraph, [55.0, 172.0, 295.0, 18.0], shoonya_1s9KU9GLBBP4D5, 5711424]
[paragraph, [55.0, 190.0, 295.0, 18.0], shoonya_1s9KU9GLBBP4D5, 5711424]
[paragraph, [54.0, 210.0, 294.0, 18.0], shoonya_0s9XHXK34XLPFS, 5711424]
[paragraph, [54.0, 228.0, 294.0, 18.0], shoonya_0s9XHXK34XLPFS, 5711424]
[paragraph, [54.0, 246.0, 294.0, 18.0], shoonya_0s9XHXK34XLPFS, 5711424]
[paragraph, [54.0, 264.0, 294.0, 18.0], shoonya_0s9XHXK34XLPFS, 5711424]
[paragraph, [54.0, 282.0, 294.0, 18.0], shoonya_0s9XHXK34XLPFS, 5711424]
[paragraph, [54.0, 300.0, 294.0, 18.0], shoonya_0s9XHXK34XLPFS, 5711424]
[paragraph, [54.0, 318.0, 294.0, 18.0], shoonya_0s9XHXK34XLPFS, 5711424]
[paragraph, [54.0, 336.0, 294.0, 18.0], shoonya_0s9XHXK34XLPFS, 5711424]
[paragraph, [54.0, 354.0, 294.0, 18.0], shoonya_0s9XHXK34XLPFS, 5711424]
[paragraph, [54.0, 372.0, 294.0, 18.0], shoonya_0s9XHXK34XLPFS, 5711424]
[paragraph, [54.0, 390.0, 294.0, 18.0], shoonya_0s9XHXK34XLPFS, 5711424]
[paragraph, [54.0, 408.0, 294.0, 18.0], shoonya_0s9XHXK34XLPFS, 5711424]
[paragraph, [54.0, 426.0, 294.0, 18.0], shoonya_0s9XHXK34XLPFS, 5711424]
[paragraph, [54.0, 444.0, 294.0, 18.0], shoonya_0s9XHXK34XLPFS, 5711424]
[paragraph, [54.0, 462.0, 294.0, 18.0], shoonya_0s9XHXK34XLPFS, 5711424]
[paragraph, [54.0, 480.0, 294.0, 18.0], shoonya_0s9XHXK34XLPFS, 5711424]
[paragraph, [54.0, 498.0, 294.0, 18.0], shoonya_0s9XHXK34XLPFS, 5711424]
[paragraph, [54.0, 516.0, 294.0, 18.0], shoonya_0s9XHXK34XLPFS, 5711424]
