[576, 360]
[author, [141.0, 80.0, 82.0, 18.0], cNXMisXDKI, 6517178]
[paragraph, [26.0, 119.0, 304.0, 18.0], shoonya_0sILN5W6ZVFT7Z, 6517178]
[paragraph, [26.0, 137.0, 304.0, 18.0], shoonya_0sILN5W6ZVFT7Z, 6517178]
[paragraph, [26.0, 155.0, 304.0, 18.0], shoonya_0sILN5W6ZVFT7Z, 6517178]
[paragraph, [26.0, 173.0, 304.0, 18.0], shoonya_0sILN5W6ZVFT7Z, 6517178]
[paragraph, [26.0, 191.0, 304.0, 18.0], shoonya_0sILN5W6ZVFT7Z, 6517178]
[paragraph, [26.0, 209.0, 304.0, 18.0], shoonya_0sILN5W6ZVFT7Z, 6517178]
[paragraph, [26.0, 227.0, 304.0, 18.0], shoonya_0sILN5W6ZVFT7Z, 6517178]
[paragraph, [26.0, 245.0, 304.0, 18.0], shoonya_0sILN5W6ZVFT7Z, 6517178]
[paragraph, [26.0, 263.0, 304.0, 18.0], shoonya_0sILN5W6ZVFT7Z, 6517178]
[paragraph, [26.0, 281.0, 304.0, 18.0], shoonya_0sILN5W6ZVFT7Z, 6517178]
[paragraph, [26.0, 299.0, 304.0, 18.0], shoonya_0sILN5W6ZVFT7Z, 6517178]
[paragraph, [26.0, 317.0, 304.0, 18.0], shoonya_0sILN5W6ZVFT7Z, 6517178]
[paragraph, [26.0, 335.0, 304.0, 18.0], shoonya_0sILN5W6ZVFT7Z, 6517178]
[paragraph, [26.0, 353.0, 304.0, 18.0], shoonya_0sILN5W6ZVFT7Z, 6517178]
[paragraph, [26.0, 371.0, 304.0, 18.0], shoonya_0sILN5W6ZVFT7Z, 6517178]
[paragraph, [26.0, 389.0, 304.0, 18.0], shoonya_0sILN5W6ZVFT7Z, 6517178]
[paragraph, [26.0, 407.0, 304.0, 18.0], shoonya_0sILN5W6ZVFT7Z, 6517178]
[paragraph, [26.0, 425.0, 304.0, 18.0], shoonya_0sILN5W6ZVFT7Z, 6517178]
[paragraph, [26.0, 443.0, 304.0, 18.0], shoonya_0sILN5W6ZVFT7Z, 6517178]
[paragraph, [26.0, 461.0, 304.0, 18.0], shoonya_0sILN5W6ZVFT7Z, 6517178]
[paragraph, [26.0, 479.0, 304.0, 18.0], shoonya_0sILN5W6ZVFT7Z, 6517178]
[paragraph, [26.0, 497.0, 304.0, 18.0], shoonya_0sILN5W6ZVFT7Z, 6517178]
[paragraph, [26.0, 515.0, 304.0, 18.0], shoonya_0sILN5W6ZVFT7Z, 6517178]
