[1387, 987]
[paragraph, [89.0, 96.0, 782.0, 18.0], shoonya_1sU79LLBYKEFRM, 5652821]
[paragraph, [89.0, 114.0, 782.0, 18.0], shoonya_1sU79LLBYKEFRM, 5652821]
[paragraph, [89.0, 132.0, 782.0, 18.0], shoonya_1sU79LLBYKEFRM, 5652821]
[paragraph, [89.0, 150.0, 782.0, 18.0], shoonya_1sU79LLBYKEFRM, 5652821]
[paragraph, [89.0, 168.0, 782.0, 18.0], shoonya_1sU79LLBYKEFRM, 5652821]
[paragraph, [89.0, 186.0, 782.0, 18.0], shoonya_1sU79LLBYKEFRM, 5652821]
[paragraph, [90.0, 218.0, 773.0, 18.0], JzAbbvarVy, 5652821]
[paragraph, [90.0, 236.0, 773.0, 18.0], JzAbbvarVy, 5652821]
[paragraph, [90.0, 254.0, 773.0, 18.0], JzAbbvarVy, 5652821]
[paragraph, [90.0, 272.0, 773.0, 18.0], JzAbbvarVy, 5652821]
[paragraph, [90.0, 290.0, 773.0, 18.0], JzAbbvarVy, 5652821]
[paragraph, [90.0, 308.0, 773.0, 18.0], JzAbbvarVy, 5652821]
[paragraph, [90.0, 326.0, 773.0, 18.0], JzAbbvarVy, 5652821]
[paragraph, [90.0, 344.0, 773.0, 18.0], JzAbbvarVy, 5652821]
[paragraph, [90.0, 362.0, 773.0, 18.0], JzAbbvarVy, 5652821]
[paragraph, [89.0, 404.0, 802.0, 18.0], shoonya_0sTBBZX42J8Q03, 5652821]
[paragraph, [89.0, 422.0, 802.0, 18.0], shoonya_0sTBBZX42J8Q03, 5652821]
[paragraph, [89.0, 440.0, 802.0, 18.0], shoonya_0sTBBZX42J8Q03, 5652821]
[paragraph, [89.0, 458.0, 802.0, 18.0], shoonya_0sTBBZX42J8Q03, 5652821]
[paragraph, [89.0, 476.0, 802.0, 18.0], shoonya_0sTBBZX42J8Q03, 5652821]
[paragraph, [89.0, 494.0, 802.0, 18.0], shoonya_0sTBBZX42J8Q03, 5652821]
[paragraph, [89.0, 512.0, 802.0, 18.0], shoonya_0sTBBZX42J8Q03, 5652821]
[paragraph, [89.0, 530.0, 802.0, 18.0], shoonya_0sTBBZX42J8Q03, 5652821]
[paragraph, [89.0, 548.0, 802.0, 18.0], shoonya_0sTBBZX42J8Q03, 5652821]
[paragraph, [89.0, 566.0, 802.0, 18.0], shoonya_0sTBBZX42J8Q03, 5652821]
[paragraph, [89.0, 584.0, 802.0, 18.0], shoonya_0sTBBZX42J8Q03, 5652821]
[paragraph, [89.0, 602.0, 802.0, 18.0], shoonya_0sTBBZX42J8Q03, 5652821]
[paragraph, [89.0, 620.0, 802.0, 18.0], shoonya_0sTBBZX42J8Q03, 5652821]
[paragraph, [89.0, 638.0, 802.0, 18.0], shoonya_0sTBBZX42J8Q03, 5652821]
[paragraph, [89.0, 656.0, 802.0, 18.0], shoonya_0sTBBZX42J8Q03, 5652821]
[paragraph, [89.0, 674.0, 802.0, 18.0], shoonya_0sTBBZX42J8Q03, 5652821]
[paragraph, [89.0, 692.0, 802.0, 18.0], shoonya_0sTBBZX42J8Q03, 5652821]
[paragraph, [89.0, 710.0, 802.0, 18.0], shoonya_0sTBBZX42J8Q03, 5652821]
[paragraph, [89.0, 728.0, 802.0, 18.0], shoonya_0sTBBZX42J8Q03, 5652821]
[paragraph, [89.0, 746.0, 802.0, 18.0], shoonya_0sTBBZX42J8Q03, 5652821]
[paragraph, [89.0, 764.0, 802.0, 18.0], shoonya_0sTBBZX42J8Q03, 5652821]
[paragraph, [89.0, 782.0, 802.0, 18.0], shoonya_0sTBBZX42J8Q03, 5652821]
[paragraph, [89.0, 800.0, 802.0, 18.0], shoonya_0sTBBZX42J8Q03, 5652821]
[paragraph, [89.0, 818.0, 802.0, 18.0], shoonya_0sTBBZX42J8Q03, 5652821]
[paragraph, [89.0, 836.0, 802.0, 18.0], shoonya_0sTBBZX42J8Q03, 5652821]
[paragraph, [89.0, 854.0, 802.0, 18.0], shoonya_0sTBBZX42J8Q03, 5652821]
[paragraph, [89.0, 872.0, 802.0, 18.0], shoonya_0sTBBZX42J8Q03, 5652821]
[paragraph, [89.0, 890.0, 802.0, 18.0], shoonya_0sTBBZX42J8Q03, 5652821]
[paragraph, [89.0, 908.0, 802.0, 18.0], shoonya_0sTBBZX42J8Q03, 5652821]
[paragraph, [89.0, 926.0, 802.0, 18.0], shoonya_0sTBBZX42J8Q03, 5652821]
[paragraph, [89.0, 944.0, 802.0, 18.0], shoonya_0sTBBZX42J8Q03, 5652821]
[paragraph, [89.0, 962.0, 802.0, 18.0], shoonya_0sTBBZX42J8Q03, 5652821]
[paragraph, [91.0, 985.0, 785.0, 18.0], PTgnyPDaYz, 5652821]
[paragraph, [91.0, 1003.0, 785.0, 18.0], PTgnyPDaYz, 5652821]
[paragraph, [91.0, 1021.0, 785.0, 18.0], PTgnyPDaYz, 5652821]
[paragraph, [91.0, 1039.0, 785.0, 18.0], PTgnyPDaYz, 5652821]
[paragraph, [91.0, 1057.0, 785.0, 18.0], PTgnyPDaYz, 5652821]
[paragraph, [91.0, 1075.0, 785.0, 18.0], PTgnyPDaYz, 5652821]
[paragraph, [91.0, 1093.0, 785.0, 18.0], PTgnyPDaYz, 5652821]
[paragraph, [91.0, 1111.0, 785.0, 18.0], PTgnyPDaYz, 5652821]
[paragraph, [91.0, 1129.0, 785.0, 18.0], PTgnyPDaYz, 5652821]
[paragraph, [91.0, 1147.0, 785.0, 18.0], PTgnyPDaYz, 5652821]
[paragraph, [90.0, 1168.0, 795.0, 18.0], TL3Cq928BW, 5652821]
[paragraph, [90.0, 1186.0, 795.0, 18.0], TL3Cq928BW, 5652821]
[paragraph, [90.0, 1204.0, 795.0, 18.0], TL3Cq928BW, 5652821]
[paragraph, [90.0, 1222.0, 795.0, 18.0], TL3Cq928BW, 5652821]
[paragraph, [90.0, 1240.0, 795.0, 18.0], TL3Cq928BW, 5652821]
[paragraph, [90.0, 1258.0, 795.0, 18.0], TL3Cq928BW, 5652821]
