[842, 596]
[contact-info, [82.0, 73.0, 186.0, 18.0], shoonya_4sOQXRVIMZHTVY, 5746278]
[contact-info, [82.0, 91.0, 186.0, 18.0], shoonya_4sOQXRVIMZHTVY, 5746278]
[contact-info, [82.0, 109.0, 186.0, 18.0], shoonya_4sOQXRVIMZHTVY, 5746278]
[paragraph, [86.0, 180.0, 426.0, 18.0], shoonya_0sWCI36E3YNEN8, 5746278]
[paragraph, [86.0, 198.0, 426.0, 18.0], shoonya_0sWCI36E3YNEN8, 5746278]
[paragraph, [86.0, 216.0, 426.0, 18.0], shoonya_0sWCI36E3YNEN8, 5746278]
[paragraph, [86.0, 234.0, 426.0, 18.0], shoonya_0sWCI36E3YNEN8, 5746278]
[paragraph, [86.0, 252.0, 426.0, 18.0], shoonya_0sWCI36E3YNEN8, 5746278]
[paragraph, [86.0, 270.0, 426.0, 18.0], shoonya_0sWCI36E3YNEN8, 5746278]
[paragraph, [86.0, 288.0, 426.0, 18.0], shoonya_0sWCI36E3YNEN8, 5746278]
[paragraph, [86.0, 306.0, 426.0, 18.0], shoonya_0sWCI36E3YNEN8, 5746278]
[paragraph, [86.0, 324.0, 426.0, 18.0], shoonya_0sWCI36E3YNEN8, 5746278]
[paragraph, [86.0, 342.0, 426.0, 18.0], shoonya_0sWCI36E3YNEN8, 5746278]
[paragraph, [86.0, 360.0, 426.0, 18.0], shoonya_0sWCI36E3YNEN8, 5746278]
[paragraph, [86.0, 378.0, 426.0, 18.0], shoonya_0sWCI36E3YNEN8, 5746278]
[paragraph, [86.0, 396.0, 426.0, 18.0], shoonya_0sWCI36E3YNEN8, 5746278]
[paragraph, [86.0, 414.0, 426.0, 18.0], shoonya_0sWCI36E3YNEN8, 5746278]
[paragraph, [86.0, 432.0, 426.0, 18.0], shoonya_0sWCI36E3YNEN8, 5746278]
[paragraph, [86.0, 450.0, 426.0, 18.0], shoonya_0sWCI36E3YNEN8, 5746278]
[paragraph, [86.0, 468.0, 426.0, 18.0], shoonya_0sWCI36E3YNEN8, 5746278]
[paragraph, [86.0, 486.0, 426.0, 18.0], shoonya_0sWCI36E3YNEN8, 5746278]
[paragraph, [86.0, 504.0, 426.0, 18.0], shoonya_0sWCI36E3YNEN8, 5746278]
[paragraph, [86.0, 522.0, 426.0, 18.0], shoonya_0sWCI36E3YNEN8, 5746278]
[paragraph, [86.0, 540.0, 426.0, 18.0], shoonya_0sWCI36E3YNEN8, 5746278]
[paragraph, [86.0, 558.0, 426.0, 18.0], shoonya_0sWCI36E3YNEN8, 5746278]
[paragraph, [86.0, 576.0, 426.0, 18.0], shoonya_0sWCI36E3YNEN8, 5746278]
[paragraph, [84.0, 614.0, 435.0, 18.0], shoonya_1sOJMD1PCF7A9Y, 5746278]
[paragraph, [84.0, 632.0, 435.0, 18.0], shoonya_1sOJMD1PCF7A9Y, 5746278]
[paragraph, [84.0, 650.0, 435.0, 18.0], shoonya_1sOJMD1PCF7A9Y, 5746278]
[paragraph, [84.0, 668.0, 435.0, 18.0], shoonya_1sOJMD1PCF7A9Y, 5746278]
[paragraph, [84.0, 686.0, 435.0, 18.0], shoonya_1sOJMD1PCF7A9Y, 5746278]
[paragraph, [84.0, 704.0, 435.0, 18.0], shoonya_1sOJMD1PCF7A9Y, 5746278]
[paragraph, [84.0, 722.0, 435.0, 18.0], shoonya_1sOJMD1PCF7A9Y, 5746278]
[paragraph, [84.0, 740.0, 435.0, 18.0], shoonya_1sOJMD1PCF7A9Y, 5746278]
[folio, [74.0, 790.0, 335.0, 18.0], k3e5ZeawDf, 5746278]
