[2000, 1414]
[headline, [339.0, 286.0, 740.0, 67.5], shoonya_8sIVJDMJHGAPX3, 6514878]
[headline, [339.0, 353.5, 740.0, 67.5], shoonya_8sIVJDMJHGAPX3, 6514878]
[headline, [339.0, 421.0, 740.0, 67.5], shoonya_8sIVJDMJHGAPX3, 6514878]
[headline, [339.0, 488.5, 740.0, 67.5], shoonya_8sIVJDMJHGAPX3, 6514878]
[headline, [339.0, 556.0, 740.0, 67.5], shoonya_8sIVJDMJHGAPX3, 6514878]
[paragraph, [138.0, 650.0, 1133.0, 36.0], shoonya_1sFP91Q8CHDMKD, 6514878]
[paragraph, [141.0, 826.0, 1132.0, 36.0], shoonya_3sRFQSMV4RNSY4, 6514878]
[paragraph, [911.0, 1333.0, 361.0, 36.0], shoonya_5sH5TCCO5PWCG5, 6514878]
[paragraph, [911.0, 1369.0, 361.0, 36.0], shoonya_5sH5TCCO5PWCG5, 6514878]
[paragraph, [911.0, 1405.0, 361.0, 36.0], shoonya_5sH5TCCO5PWCG5, 6514878]
[paragraph, [521.0, 1335.0, 364.0, 36.0], shoonya_6sVXECQL3XVW3I, 6514878]
[paragraph, [521.0, 1371.0, 364.0, 36.0], shoonya_6sVXECQL3XVW3I, 6514878]
[paragraph, [521.0, 1407.0, 364.0, 36.0], shoonya_6sVXECQL3XVW3I, 6514878]
[paragraph, [921.0, 1513.0, 358.0, 36.0], shoonya_2s9O7I5UJ7CN88, 6514878]
[paragraph, [921.0, 1549.0, 358.0, 36.0], shoonya_2s9O7I5UJ7CN88, 6514878]
[paragraph, [921.0, 1585.0, 358.0, 36.0], shoonya_2s9O7I5UJ7CN88, 6514878]
[paragraph, [529.0, 1514.0, 357.0, 36.0], shoonya_4sQGCA0H03LMFF, 6514878]
[paragraph, [529.0, 1550.0, 357.0, 36.0], shoonya_4sQGCA0H03LMFF, 6514878]
[paragraph, [529.0, 1586.0, 357.0, 36.0], shoonya_4sQGCA0H03LMFF, 6514878]
[paragraph, [529.0, 1687.0, 356.0, 36.0], shoonya_9sZNVOK9AMHTIY, 6514878]
[paragraph, [529.0, 1723.0, 356.0, 36.0], shoonya_9sZNVOK9AMHTIY, 6514878]
[paragraph, [529.0, 1759.0, 356.0, 36.0], shoonya_9sZNVOK9AMHTIY, 6514878]
[paragraph, [927.0, 1689.0, 358.0, 36.0], sLJ_eHEhsD, 6514878]
[paragraph, [927.0, 1725.0, 358.0, 36.0], sLJ_eHEhsD, 6514878]
[paragraph, [927.0, 1761.0, 358.0, 36.0], sLJ_eHEhsD, 6514878]
[website-link, [1019.0, 1825.0, 258.0, 18.0], XQL3CNACPL, 6514878]
[website-link, [1019.0, 1843.0, 258.0, 18.0], XQL3CNACPL, 6514878]
