[3509, 2480]
[paragraph, [368.0, 371.0, 1762.0, 52.5], shoonya_5s4I51OXW7JUKA, 5724164]
[paragraph, [368.0, 423.5, 1762.0, 52.5], shoonya_5s4I51OXW7JUKA, 5724164]
[paragraph, [368.0, 476.0, 1762.0, 52.5], shoonya_5s4I51OXW7JUKA, 5724164]
[paragraph, [368.0, 528.5, 1762.0, 52.5], shoonya_5s4I51OXW7JUKA, 5724164]
[paragraph, [368.0, 581.0, 1762.0, 52.5], shoonya_5s4I51OXW7JUKA, 5724164]
[paragraph, [368.0, 633.5, 1762.0, 52.5], shoonya_5s4I51OXW7JUKA, 5724164]
[paragraph, [368.0, 686.0, 1762.0, 52.5], shoonya_5s4I51OXW7JUKA, 5724164]
[paragraph, [368.0, 738.5, 1762.0, 52.5], shoonya_5s4I51OXW7JUKA, 5724164]
[paragraph, [368.0, 791.0, 1762.0, 52.5], shoonya_5s4I51OXW7JUKA, 5724164]
[paragraph, [348.0, 931.0, 1792.0, 52.5], shoonya_0sES9N7JTDLWRY, 5724164]
[paragraph, [348.0, 983.5, 1792.0, 52.5], shoonya_0sES9N7JTDLWRY, 5724164]
[paragraph, [348.0, 1036.0, 1792.0, 52.5], shoonya_0sES9N7JTDLWRY, 5724164]
[paragraph, [348.0, 1088.5, 1792.0, 52.5], shoonya_0sES9N7JTDLWRY, 5724164]
[paragraph, [348.0, 1141.0, 1792.0, 52.5], shoonya_0sES9N7JTDLWRY, 5724164]
[paragraph, [348.0, 1193.5, 1792.0, 52.5], shoonya_0sES9N7JTDLWRY, 5724164]
[paragraph, [348.0, 1246.0, 1792.0, 52.5], shoonya_0sES9N7JTDLWRY, 5724164]
[paragraph, [348.0, 1298.5, 1792.0, 52.5], shoonya_0sES9N7JTDLWRY, 5724164]
[paragraph, [348.0, 1351.0, 1792.0, 52.5], shoonya_0sES9N7JTDLWRY, 5724164]
[paragraph, [348.0, 1403.5, 1792.0, 52.5], shoonya_0sES9N7JTDLWRY, 5724164]
[paragraph, [348.0, 1456.0, 1792.0, 52.5], shoonya_0sES9N7JTDLWRY, 5724164]
[paragraph, [348.0, 1508.5, 1792.0, 52.5], shoonya_0sES9N7JTDLWRY, 5724164]
[paragraph, [348.0, 1561.0, 1792.0, 52.5], shoonya_0sES9N7JTDLWRY, 5724164]
[paragraph, [348.0, 1613.5, 1792.0, 52.5], shoonya_0sES9N7JTDLWRY, 5724164]
[paragraph, [348.0, 1666.0, 1792.0, 52.5], shoonya_0sES9N7JTDLWRY, 5724164]
[paragraph, [348.0, 1718.5, 1792.0, 52.5], shoonya_0sES9N7JTDLWRY, 5724164]
[paragraph, [348.0, 1771.0, 1792.0, 52.5], shoonya_0sES9N7JTDLWRY, 5724164]
[paragraph, [348.0, 1823.5, 1792.0, 52.5], shoonya_0sES9N7JTDLWRY, 5724164]
[paragraph, [348.0, 1876.0, 1792.0, 52.5], shoonya_0sES9N7JTDLWRY, 5724164]
[paragraph, [348.0, 1928.5, 1792.0, 52.5], shoonya_0sES9N7JTDLWRY, 5724164]
[paragraph, [348.0, 1981.0, 1792.0, 52.5], shoonya_0sES9N7JTDLWRY, 5724164]
[paragraph, [348.0, 2033.5, 1792.0, 52.5], shoonya_0sES9N7JTDLWRY, 5724164]
[paragraph, [348.0, 2086.0, 1792.0, 52.5], shoonya_0sES9N7JTDLWRY, 5724164]
[paragraph, [348.0, 2138.5, 1792.0, 52.5], shoonya_0sES9N7JTDLWRY, 5724164]
[paragraph, [348.0, 2191.0, 1792.0, 52.5], shoonya_0sES9N7JTDLWRY, 5724164]
[paragraph, [348.0, 2243.5, 1792.0, 52.5], shoonya_0sES9N7JTDLWRY, 5724164]
[paragraph, [348.0, 2296.0, 1792.0, 52.5], shoonya_0sES9N7JTDLWRY, 5724164]
[paragraph, [348.0, 2348.5, 1792.0, 52.5], shoonya_0sES9N7JTDLWRY, 5724164]
[paragraph, [348.0, 2401.0, 1792.0, 52.5], shoonya_0sES9N7JTDLWRY, 5724164]
[paragraph, [348.0, 2453.5, 1792.0, 52.5], shoonya_0sES9N7JTDLWRY, 5724164]
[paragraph, [348.0, 2506.0, 1792.0, 52.5], shoonya_0sES9N7JTDLWRY, 5724164]
[paragraph, [354.0, 2769.0, 1797.0, 52.5], shoonya_2s8GP8AG6QINVU, 5724164]
[paragraph, [354.0, 2821.5, 1797.0, 52.5], shoonya_2s8GP8AG6QINVU, 5724164]
[paragraph, [354.0, 2874.0, 1797.0, 52.5], shoonya_2s8GP8AG6QINVU, 5724164]
[paragraph, [354.0, 2926.5, 1797.0, 52.5], shoonya_2s8GP8AG6QINVU, 5724164]
[paragraph, [354.0, 2979.0, 1797.0, 52.5], shoonya_2s8GP8AG6QINVU, 5724164]
[paragraph, [354.0, 3031.5, 1797.0, 52.5], shoonya_2s8GP8AG6QINVU, 5724164]
[paragraph, [354.0, 3084.0, 1797.0, 52.5], shoonya_2s8GP8AG6QINVU, 5724164]
[paragraph, [354.0, 3136.5, 1797.0, 52.5], shoonya_2s8GP8AG6QINVU, 5724164]
