[843, 597]
[flag, [231.0, 6.0, 186.0, 18.0], 4Y3E5XiKWD, 5780564]
[flag, [231.0, 24.0, 186.0, 18.0], 4Y3E5XiKWD, 5780564]
[folio, [62.0, 57.0, 489.0, 18.0], fqnt38kcWY, 5780564]
[ordered-list, [51.0, 136.0, 511.0, 18.0], shoonya_0sSBRELV9GMQRC, 5780564]
[ordered-list, [51.0, 154.0, 511.0, 18.0], shoonya_0sSBRELV9GMQRC, 5780564]
[ordered-list, [51.0, 172.0, 511.0, 18.0], shoonya_0sSBRELV9GMQRC, 5780564]
[ordered-list, [51.0, 190.0, 511.0, 18.0], shoonya_0sSBRELV9GMQRC, 5780564]
[ordered-list, [51.0, 208.0, 511.0, 18.0], shoonya_0sSBRELV9GMQRC, 5780564]
[ordered-list, [51.0, 226.0, 511.0, 18.0], shoonya_0sSBRELV9GMQRC, 5780564]
[ordered-list, [51.0, 244.0, 511.0, 18.0], shoonya_0sSBRELV9GMQRC, 5780564]
[ordered-list, [51.0, 262.0, 511.0, 18.0], shoonya_0sSBRELV9GMQRC, 5780564]
[ordered-list, [51.0, 280.0, 511.0, 18.0], shoonya_0sSBRELV9GMQRC, 5780564]
[ordered-list, [51.0, 298.0, 511.0, 18.0], shoonya_0sSBRELV9GMQRC, 5780564]
[ordered-list, [51.0, 316.0, 511.0, 18.0], shoonya_0sSBRELV9GMQRC, 5780564]
[ordered-list, [51.0, 334.0, 511.0, 18.0], shoonya_0sSBRELV9GMQRC, 5780564]
[ordered-list, [51.0, 352.0, 511.0, 18.0], shoonya_0sSBRELV9GMQRC, 5780564]
[ordered-list, [51.0, 370.0, 511.0, 18.0], shoonya_0sSBRELV9GMQRC, 5780564]
[ordered-list, [51.0, 388.0, 511.0, 18.0], shoonya_0sSBRELV9GMQRC, 5780564]
[ordered-list, [51.0, 406.0, 511.0, 18.0], shoonya_0sSBRELV9GMQRC, 5780564]
[ordered-list, [51.0, 424.0, 511.0, 18.0], shoonya_0sSBRELV9GMQRC, 5780564]
[ordered-list, [51.0, 442.0, 511.0, 18.0], shoonya_0sSBRELV9GMQRC, 5780564]
[ordered-list, [51.0, 460.0, 511.0, 18.0], shoonya_0sSBRELV9GMQRC, 5780564]
[ordered-list, [51.0, 478.0, 511.0, 18.0], shoonya_0sSBRELV9GMQRC, 5780564]
[ordered-list, [51.0, 496.0, 511.0, 18.0], shoonya_0sSBRELV9GMQRC, 5780564]
[ordered-list, [51.0, 514.0, 511.0, 18.0], shoonya_0sSBRELV9GMQRC, 5780564]
[ordered-list, [51.0, 532.0, 511.0, 18.0], shoonya_0sSBRELV9GMQRC, 5780564]
[ordered-list, [51.0, 550.0, 511.0, 18.0], shoonya_0sSBRELV9GMQRC, 5780564]
[ordered-list, [51.0, 568.0, 511.0, 18.0], shoonya_0sSBRELV9GMQRC, 5780564]
[ordered-list, [51.0, 586.0, 511.0, 18.0], shoonya_0sSBRELV9GMQRC, 5780564]
[ordered-list, [51.0, 604.0, 511.0, 18.0], shoonya_0sSBRELV9GMQRC, 5780564]
[ordered-list, [51.0, 622.0, 511.0, 18.0], shoonya_0sSBRELV9GMQRC, 5780564]
[ordered-list, [51.0, 640.0, 511.0, 18.0], shoonya_0sSBRELV9GMQRC, 5780564]
[ordered-list, [51.0, 658.0, 511.0, 18.0], shoonya_0sSBRELV9GMQRC, 5780564]
[ordered-list, [51.0, 676.0, 511.0, 18.0], shoonya_0sSBRELV9GMQRC, 5780564]
[ordered-list, [51.0, 694.0, 511.0, 18.0], shoonya_0sSBRELV9GMQRC, 5780564]
[ordered-list, [51.0, 712.0, 511.0, 18.0], shoonya_0sSBRELV9GMQRC, 5780564]
[contact-info, [49.0, 795.0, 253.0, 18.0], BFNHF3BA1j, 5780564]
[contact-info, [371.0, 797.0, 101.0, 18.0], SNG6McSSl_, 5780564]
