[2339, 1653]
[folio, [1064.0, 320.0, 351.0, 36.0], 5SKqDl8QXC, 5735339]
[folio, [231.0, 322.0, 171.0, 36.0], h6dpprSXvQ, 5735339]
[chapter-title, [241.0, 388.0, 1181.0, 70.5], Gtw12bQRSa, 5735339]
[paragraph, [835.0, 664.0, 579.0, 36.0], shoonya_2sD2RM9JC36K18, 5735339]
[paragraph, [835.0, 700.0, 579.0, 36.0], shoonya_2sD2RM9JC36K18, 5735339]
[paragraph, [835.0, 736.0, 579.0, 36.0], shoonya_2sD2RM9JC36K18, 5735339]
[paragraph, [835.0, 772.0, 579.0, 36.0], shoonya_2sD2RM9JC36K18, 5735339]
[paragraph, [835.0, 808.0, 579.0, 36.0], shoonya_2sD2RM9JC36K18, 5735339]
[paragraph, [835.0, 844.0, 579.0, 36.0], shoonya_2sD2RM9JC36K18, 5735339]
[paragraph, [835.0, 880.0, 579.0, 36.0], shoonya_2sD2RM9JC36K18, 5735339]
[paragraph, [835.0, 916.0, 579.0, 36.0], shoonya_2sD2RM9JC36K18, 5735339]
[paragraph, [835.0, 952.0, 579.0, 36.0], shoonya_2sD2RM9JC36K18, 5735339]
[paragraph, [835.0, 988.0, 579.0, 36.0], shoonya_2sD2RM9JC36K18, 5735339]
[paragraph, [835.0, 1024.0, 579.0, 36.0], shoonya_2sD2RM9JC36K18, 5735339]
[paragraph, [835.0, 1060.0, 579.0, 36.0], shoonya_2sD2RM9JC36K18, 5735339]
[paragraph, [835.0, 1096.0, 579.0, 36.0], shoonya_2sD2RM9JC36K18, 5735339]
[paragraph, [835.0, 1132.0, 579.0, 36.0], shoonya_2sD2RM9JC36K18, 5735339]
[paragraph, [835.0, 1168.0, 579.0, 36.0], shoonya_2sD2RM9JC36K18, 5735339]
[paragraph, [835.0, 1204.0, 579.0, 36.0], shoonya_2sD2RM9JC36K18, 5735339]
[paragraph, [231.0, 714.0, 225.0, 36.0], SpjW84v2tY, 5735339]
[paragraph, [223.0, 760.0, 241.0, 36.0], YHBX0JjEsP, 5735339]
[paragraph, [482.0, 847.0, 336.0, 36.0], shoonya_3sXBKJEM18OWCW, 5735339]
[paragraph, [482.0, 883.0, 336.0, 36.0], shoonya_3sXBKJEM18OWCW, 5735339]
[paragraph, [482.0, 919.0, 336.0, 36.0], shoonya_3sXBKJEM18OWCW, 5735339]
[paragraph, [482.0, 955.0, 336.0, 36.0], shoonya_3sXBKJEM18OWCW, 5735339]
[paragraph, [482.0, 991.0, 336.0, 36.0], shoonya_3sXBKJEM18OWCW, 5735339]
[paragraph, [482.0, 1027.0, 336.0, 36.0], shoonya_3sXBKJEM18OWCW, 5735339]
[paragraph, [482.0, 1063.0, 336.0, 36.0], shoonya_3sXBKJEM18OWCW, 5735339]
[paragraph, [482.0, 1099.0, 336.0, 36.0], shoonya_3sXBKJEM18OWCW, 5735339]
[paragraph, [482.0, 1135.0, 336.0, 36.0], shoonya_3sXBKJEM18OWCW, 5735339]
[sidebar, [1448.0, 971.0, 152.0, 36.0], SdYsFBs-Jv, 5735339]
[sidebar, [1448.0, 1007.0, 152.0, 36.0], SdYsFBs-Jv, 5735339]
[sidebar, [1448.0, 1043.0, 152.0, 36.0], SdYsFBs-Jv, 5735339]
[paragraph, [231.0, 1196.0, 595.0, 36.0], nCEe5lD1kl, 5735339]
[paragraph, [231.0, 1232.0, 595.0, 36.0], nCEe5lD1kl, 5735339]
[paragraph, [231.0, 1268.0, 595.0, 36.0], nCEe5lD1kl, 5735339]
[paragraph, [231.0, 1304.0, 595.0, 36.0], nCEe5lD1kl, 5735339]
[paragraph, [231.0, 1340.0, 595.0, 36.0], nCEe5lD1kl, 5735339]
[paragraph, [231.0, 1376.0, 595.0, 36.0], nCEe5lD1kl, 5735339]
[paragraph, [836.0, 1242.0, 579.0, 36.0], shoonya_1sZOSWIBIE2EPL, 5735339]
[paragraph, [836.0, 1278.0, 579.0, 36.0], shoonya_1sZOSWIBIE2EPL, 5735339]
[paragraph, [836.0, 1314.0, 579.0, 36.0], shoonya_1sZOSWIBIE2EPL, 5735339]
[paragraph, [836.0, 1350.0, 579.0, 36.0], shoonya_1sZOSWIBIE2EPL, 5735339]
[paragraph, [836.0, 1386.0, 579.0, 36.0], shoonya_1sZOSWIBIE2EPL, 5735339]
[paragraph, [836.0, 1422.0, 579.0, 36.0], shoonya_1sZOSWIBIE2EPL, 5735339]
[paragraph, [836.0, 1458.0, 579.0, 36.0], shoonya_1sZOSWIBIE2EPL, 5735339]
[paragraph, [836.0, 1494.0, 579.0, 36.0], shoonya_1sZOSWIBIE2EPL, 5735339]
[paragraph, [836.0, 1530.0, 579.0, 36.0], shoonya_1sZOSWIBIE2EPL, 5735339]
[paragraph, [836.0, 1566.0, 579.0, 36.0], shoonya_1sZOSWIBIE2EPL, 5735339]
[paragraph, [836.0, 1602.0, 579.0, 36.0], shoonya_1sZOSWIBIE2EPL, 5735339]
[paragraph, [836.0, 1638.0, 579.0, 36.0], shoonya_1sZOSWIBIE2EPL, 5735339]
[paragraph, [836.0, 1674.0, 579.0, 36.0], shoonya_1sZOSWIBIE2EPL, 5735339]
[paragraph, [836.0, 1710.0, 579.0, 36.0], shoonya_1sZOSWIBIE2EPL, 5735339]
[paragraph, [237.0, 1424.0, 580.0, 36.0], shoonya_0s4LBG4ASH1USO, 5735339]
[paragraph, [237.0, 1460.0, 580.0, 36.0], shoonya_0s4LBG4ASH1USO, 5735339]
[paragraph, [237.0, 1496.0, 580.0, 36.0], shoonya_0s4LBG4ASH1USO, 5735339]
[paragraph, [237.0, 1532.0, 580.0, 36.0], shoonya_0s4LBG4ASH1USO, 5735339]
[paragraph, [237.0, 1568.0, 580.0, 36.0], shoonya_0s4LBG4ASH1USO, 5735339]
[paragraph, [237.0, 1604.0, 580.0, 36.0], shoonya_0s4LBG4ASH1USO, 5735339]
[paragraph, [237.0, 1640.0, 580.0, 36.0], shoonya_0s4LBG4ASH1USO, 5735339]
[paragraph, [237.0, 1676.0, 580.0, 36.0], shoonya_0s4LBG4ASH1USO, 5735339]
[paragraph, [237.0, 1712.0, 580.0, 36.0], shoonya_0s4LBG4ASH1USO, 5735339]
[paragraph, [237.0, 1748.0, 580.0, 36.0], shoonya_0s4LBG4ASH1USO, 5735339]
[paragraph, [237.0, 1784.0, 580.0, 36.0], shoonya_0s4LBG4ASH1USO, 5735339]
[paragraph, [836.0, 1777.0, 576.0, 36.0], shoonya_6sGNNHET0AY6YY, 5735339]
[paragraph, [836.0, 1813.0, 576.0, 36.0], shoonya_6sGNNHET0AY6YY, 5735339]
[paragraph, [836.0, 1849.0, 576.0, 36.0], shoonya_6sGNNHET0AY6YY, 5735339]
[paragraph, [836.0, 1885.0, 576.0, 36.0], shoonya_6sGNNHET0AY6YY, 5735339]
[paragraph, [238.0, 1822.0, 578.0, 36.0], shoonya_5s4VGH29N5TE5P, 5735339]
[paragraph, [238.0, 1858.0, 578.0, 36.0], shoonya_5s4VGH29N5TE5P, 5735339]
[paragraph, [238.0, 1894.0, 578.0, 36.0], shoonya_5s4VGH29N5TE5P, 5735339]
[folio, [237.0, 1962.0, 235.0, 36.0], cTf1mlBByz, 5735339]
