[790, 511]
[contact-info, [49.0, 466.0, 353.0, 18.0], 5EOca9j7nn, 6494527]
[contact-info, [49.0, 484.0, 353.0, 18.0], 5EOca9j7nn, 6494527]
[contact-info, [49.0, 502.0, 353.0, 18.0], 5EOca9j7nn, 6494527]
[contact-info, [49.0, 520.0, 353.0, 18.0], 5EOca9j7nn, 6494527]
[contact-info, [49.0, 538.0, 353.0, 18.0], 5EOca9j7nn, 6494527]
[contact-info, [25.0, 568.0, 410.0, 18.0], shoonya_0sWT2LR2RLANJ1, 6494527]
[contact-info, [25.0, 586.0, 410.0, 18.0], shoonya_0sWT2LR2RLANJ1, 6494527]
[contact-info, [25.0, 604.0, 410.0, 18.0], shoonya_0sWT2LR2RLANJ1, 6494527]
[contact-info, [25.0, 622.0, 410.0, 18.0], shoonya_0sWT2LR2RLANJ1, 6494527]
[contact-info, [25.0, 640.0, 410.0, 18.0], shoonya_0sWT2LR2RLANJ1, 6494527]
[contact-info, [25.0, 658.0, 410.0, 18.0], shoonya_0sWT2LR2RLANJ1, 6494527]
[website-link, [260.0, 660.0, 169.0, 18.0], GyQ34q9PW0, 6494527]
