[1736, 1323]
[headline, [129.0, 130.0, 712.0, 37.5], shoonya_7sXIM8QRNOF9OR, 5772082]
[headline, [129.0, 167.5, 712.0, 37.5], shoonya_7sXIM8QRNOF9OR, 5772082]
[headline, [129.0, 205.0, 712.0, 37.5], shoonya_7sXIM8QRNOF9OR, 5772082]
[headline, [129.0, 242.5, 712.0, 37.5], shoonya_7sXIM8QRNOF9OR, 5772082]
[headline, [129.0, 280.0, 712.0, 37.5], shoonya_7sXIM8QRNOF9OR, 5772082]
[paragraph, [120.0, 401.0, 536.0, 36.0], NG-e5BzkU9, 5772082]
[paragraph, [120.0, 437.0, 536.0, 36.0], NG-e5BzkU9, 5772082]
[paragraph, [120.0, 473.0, 536.0, 36.0], NG-e5BzkU9, 5772082]
[paragraph, [120.0, 509.0, 536.0, 36.0], NG-e5BzkU9, 5772082]
[paragraph, [120.0, 545.0, 536.0, 36.0], NG-e5BzkU9, 5772082]
[paragraph, [120.0, 581.0, 536.0, 36.0], NG-e5BzkU9, 5772082]
[paragraph, [120.0, 617.0, 536.0, 36.0], NG-e5BzkU9, 5772082]
[paragraph, [120.0, 653.0, 536.0, 36.0], NG-e5BzkU9, 5772082]
[paragraph, [126.0, 731.0, 526.0, 36.0], shoonya_2sVZSKT7GZZ76C, 5772082]
[paragraph, [126.0, 767.0, 526.0, 36.0], shoonya_2sVZSKT7GZZ76C, 5772082]
[paragraph, [126.0, 803.0, 526.0, 36.0], shoonya_2sVZSKT7GZZ76C, 5772082]
[paragraph, [126.0, 839.0, 526.0, 36.0], shoonya_2sVZSKT7GZZ76C, 5772082]
[paragraph, [126.0, 875.0, 526.0, 36.0], shoonya_2sVZSKT7GZZ76C, 5772082]
[paragraph, [126.0, 911.0, 526.0, 36.0], shoonya_2sVZSKT7GZZ76C, 5772082]
[paragraph, [126.0, 947.0, 526.0, 36.0], shoonya_2sVZSKT7GZZ76C, 5772082]
[paragraph, [126.0, 983.0, 526.0, 36.0], shoonya_2sVZSKT7GZZ76C, 5772082]
[paragraph, [126.0, 1019.0, 526.0, 36.0], shoonya_2sVZSKT7GZZ76C, 5772082]
[paragraph, [668.0, 849.0, 527.0, 36.0], shoonya_1sA97JGQY0XUKG, 5772082]
[paragraph, [668.0, 885.0, 527.0, 36.0], shoonya_1sA97JGQY0XUKG, 5772082]
[paragraph, [668.0, 921.0, 527.0, 36.0], shoonya_1sA97JGQY0XUKG, 5772082]
[paragraph, [668.0, 957.0, 527.0, 36.0], shoonya_1sA97JGQY0XUKG, 5772082]
[paragraph, [666.0, 1000.0, 527.0, 36.0], shoonya_3sIW924HER74F8, 5772082]
[paragraph, [666.0, 1036.0, 527.0, 36.0], shoonya_3sIW924HER74F8, 5772082]
[paragraph, [666.0, 1072.0, 527.0, 36.0], shoonya_3sIW924HER74F8, 5772082]
[paragraph, [666.0, 1108.0, 527.0, 36.0], shoonya_3sIW924HER74F8, 5772082]
[paragraph, [127.0, 1057.0, 525.0, 36.0], shoonya_5sLRB8H17P8SWA, 5772082]
[paragraph, [127.0, 1093.0, 525.0, 36.0], shoonya_5sLRB8H17P8SWA, 5772082]
[paragraph, [127.0, 1129.0, 525.0, 36.0], shoonya_5sLRB8H17P8SWA, 5772082]
[paragraph, [127.0, 1165.0, 525.0, 36.0], shoonya_5sLRB8H17P8SWA, 5772082]
[paragraph, [127.0, 1201.0, 525.0, 36.0], shoonya_5sLRB8H17P8SWA, 5772082]
[paragraph, [127.0, 1237.0, 525.0, 36.0], shoonya_5sLRB8H17P8SWA, 5772082]
[paragraph, [127.0, 1273.0, 525.0, 36.0], shoonya_5sLRB8H17P8SWA, 5772082]
[paragraph, [666.0, 1152.0, 531.0, 36.0], shoonya_6sXN9FY376P1WB, 5772082]
[paragraph, [666.0, 1188.0, 531.0, 36.0], shoonya_6sXN9FY376P1WB, 5772082]
[paragraph, [666.0, 1224.0, 531.0, 36.0], shoonya_6sXN9FY376P1WB, 5772082]
[paragraph, [666.0, 1260.0, 531.0, 36.0], shoonya_6sXN9FY376P1WB, 5772082]
[paragraph, [120.0, 1326.0, 535.0, 36.0], shoonya_8sCXPBHQLMVBRH, 5772082]
[paragraph, [120.0, 1362.0, 535.0, 36.0], shoonya_8sCXPBHQLMVBRH, 5772082]
[paragraph, [120.0, 1398.0, 535.0, 36.0], shoonya_8sCXPBHQLMVBRH, 5772082]
[paragraph, [671.0, 1334.0, 524.0, 36.0], shoonya_9sN7H73SA8NNWV, 5772082]
[paragraph, [671.0, 1370.0, 524.0, 36.0], shoonya_9sN7H73SA8NNWV, 5772082]
[paragraph, [671.0, 1406.0, 524.0, 36.0], shoonya_9sN7H73SA8NNWV, 5772082]
[paragraph, [671.0, 1442.0, 524.0, 36.0], shoonya_9sN7H73SA8NNWV, 5772082]
[paragraph, [157.0, 1498.0, 495.0, 36.0], shoonya_4sUL2XVPY1IFBW, 5772082]
[author, [1109.0, 1521.0, 87.0, 36.0], 9jkrhRyJJ2, 5772082]
[folio, [601.0, 1579.0, 132.0, 36.0], 2nDSwulHKz, 5772082]
