[1755, 1240]
[folio, [629.0, 74.0, 503.0, 36.0], mSihlH2opG, 5743617]
[paragraph, [204.0, 205.0, 934.0, 36.0], shoonya_2sBUF215AOU1NJ, 5743617]
[paragraph, [204.0, 241.0, 934.0, 36.0], shoonya_2sBUF215AOU1NJ, 5743617]
[paragraph, [204.0, 277.0, 934.0, 36.0], shoonya_2sBUF215AOU1NJ, 5743617]
[paragraph, [204.0, 313.0, 934.0, 36.0], shoonya_2sBUF215AOU1NJ, 5743617]
[paragraph, [204.0, 349.0, 934.0, 36.0], shoonya_2sBUF215AOU1NJ, 5743617]
[paragraph, [204.0, 385.0, 934.0, 36.0], shoonya_2sBUF215AOU1NJ, 5743617]
[paragraph, [199.0, 470.0, 929.0, 36.0], shoonya_5sSFUTRI08FBWK, 5743617]
[paragraph, [199.0, 506.0, 929.0, 36.0], shoonya_5sSFUTRI08FBWK, 5743617]
[paragraph, [199.0, 542.0, 929.0, 36.0], shoonya_5sSFUTRI08FBWK, 5743617]
[paragraph, [199.0, 578.0, 929.0, 36.0], shoonya_5sSFUTRI08FBWK, 5743617]
[paragraph, [199.0, 614.0, 929.0, 36.0], shoonya_5sSFUTRI08FBWK, 5743617]
[paragraph, [199.0, 650.0, 929.0, 36.0], shoonya_5sSFUTRI08FBWK, 5743617]
[paragraph, [199.0, 686.0, 929.0, 36.0], shoonya_5sSFUTRI08FBWK, 5743617]
[paragraph, [200.0, 731.0, 933.0, 36.0], shoonya_6s0LORPKFNFFLM, 5743617]
[paragraph, [200.0, 767.0, 933.0, 36.0], shoonya_6s0LORPKFNFFLM, 5743617]
[paragraph, [200.0, 803.0, 933.0, 36.0], shoonya_6s0LORPKFNFFLM, 5743617]
[paragraph, [200.0, 839.0, 933.0, 36.0], shoonya_6s0LORPKFNFFLM, 5743617]
[paragraph, [200.0, 875.0, 933.0, 36.0], shoonya_6s0LORPKFNFFLM, 5743617]
[paragraph, [200.0, 911.0, 933.0, 36.0], shoonya_6s0LORPKFNFFLM, 5743617]
[paragraph, [200.0, 947.0, 933.0, 36.0], shoonya_6s0LORPKFNFFLM, 5743617]
[paragraph, [200.0, 983.0, 933.0, 36.0], shoonya_6s0LORPKFNFFLM, 5743617]
[paragraph, [200.0, 1019.0, 933.0, 36.0], shoonya_6s0LORPKFNFFLM, 5743617]
[paragraph, [200.0, 1055.0, 933.0, 36.0], shoonya_6s0LORPKFNFFLM, 5743617]
[paragraph, [200.0, 1091.0, 933.0, 36.0], shoonya_6s0LORPKFNFFLM, 5743617]
[paragraph, [200.0, 1127.0, 933.0, 36.0], shoonya_6s0LORPKFNFFLM, 5743617]
[paragraph, [200.0, 1163.0, 933.0, 36.0], shoonya_6s0LORPKFNFFLM, 5743617]
[paragraph, [200.0, 1199.0, 933.0, 36.0], shoonya_6s0LORPKFNFFLM, 5743617]
[paragraph, [200.0, 1235.0, 933.0, 36.0], shoonya_6s0LORPKFNFFLM, 5743617]
[paragraph, [200.0, 1271.0, 933.0, 36.0], shoonya_6s0LORPKFNFFLM, 5743617]
[paragraph, [200.0, 1307.0, 933.0, 36.0], shoonya_6s0LORPKFNFFLM, 5743617]
[paragraph, [200.0, 1343.0, 933.0, 36.0], shoonya_6s0LORPKFNFFLM, 5743617]
[paragraph, [201.0, 1408.0, 927.0, 36.0], shoonya_3sJPGL87E038F0, 5743617]
[paragraph, [201.0, 1444.0, 927.0, 36.0], shoonya_3sJPGL87E038F0, 5743617]
[paragraph, [201.0, 1480.0, 927.0, 36.0], shoonya_3sJPGL87E038F0, 5743617]
[paragraph, [201.0, 1516.0, 927.0, 36.0], shoonya_3sJPGL87E038F0, 5743617]
