[3968, 2806]
[paragraph, [211.0, 305.0, 1256.0, 52.5], shoonya_4s0XKMBL2EFSGB, 5683767]
[paragraph, [211.0, 357.5, 1256.0, 52.5], shoonya_4s0XKMBL2EFSGB, 5683767]
[paragraph, [211.0, 410.0, 1256.0, 52.5], shoonya_4s0XKMBL2EFSGB, 5683767]
[paragraph, [211.0, 462.5, 1256.0, 52.5], shoonya_4s0XKMBL2EFSGB, 5683767]
[paragraph, [211.0, 515.0, 1256.0, 52.5], shoonya_4s0XKMBL2EFSGB, 5683767]
[paragraph, [211.0, 567.5, 1256.0, 52.5], shoonya_4s0XKMBL2EFSGB, 5683767]
[paragraph, [211.0, 620.0, 1256.0, 52.5], shoonya_4s0XKMBL2EFSGB, 5683767]
[paragraph, [211.0, 672.5, 1256.0, 52.5], shoonya_4s0XKMBL2EFSGB, 5683767]
[paragraph, [211.0, 725.0, 1256.0, 52.5], shoonya_4s0XKMBL2EFSGB, 5683767]
[paragraph, [211.0, 777.5, 1256.0, 52.5], shoonya_4s0XKMBL2EFSGB, 5683767]
[paragraph, [211.0, 830.0, 1256.0, 52.5], shoonya_4s0XKMBL2EFSGB, 5683767]
[paragraph, [211.0, 882.5, 1256.0, 52.5], shoonya_4s0XKMBL2EFSGB, 5683767]
[paragraph, [211.0, 935.0, 1256.0, 52.5], shoonya_4s0XKMBL2EFSGB, 5683767]
[paragraph, [211.0, 987.5, 1256.0, 52.5], shoonya_4s0XKMBL2EFSGB, 5683767]
[paragraph, [211.0, 1040.0, 1256.0, 52.5], shoonya_4s0XKMBL2EFSGB, 5683767]
[paragraph, [211.0, 1092.5, 1256.0, 52.5], shoonya_4s0XKMBL2EFSGB, 5683767]
[paragraph, [211.0, 1145.0, 1256.0, 52.5], shoonya_4s0XKMBL2EFSGB, 5683767]
[paragraph, [211.0, 1197.5, 1256.0, 52.5], shoonya_4s0XKMBL2EFSGB, 5683767]
[paragraph, [211.0, 1250.0, 1256.0, 52.5], shoonya_4s0XKMBL2EFSGB, 5683767]
[paragraph, [1486.0, 329.0, 1132.0, 52.5], shoonya_3sS8EZGS7LYWC8, 5683767]
[paragraph, [1486.0, 381.5, 1132.0, 52.5], shoonya_3sS8EZGS7LYWC8, 5683767]
[paragraph, [1486.0, 434.0, 1132.0, 52.5], shoonya_3sS8EZGS7LYWC8, 5683767]
[paragraph, [1486.0, 486.5, 1132.0, 52.5], shoonya_3sS8EZGS7LYWC8, 5683767]
[paragraph, [1486.0, 539.0, 1132.0, 52.5], shoonya_3sS8EZGS7LYWC8, 5683767]
[paragraph, [1486.0, 591.5, 1132.0, 52.5], shoonya_3sS8EZGS7LYWC8, 5683767]
[paragraph, [1486.0, 644.0, 1132.0, 52.5], shoonya_3sS8EZGS7LYWC8, 5683767]
[paragraph, [1486.0, 696.5, 1132.0, 52.5], shoonya_3sS8EZGS7LYWC8, 5683767]
[paragraph, [1486.0, 749.0, 1132.0, 52.5], shoonya_3sS8EZGS7LYWC8, 5683767]
[paragraph, [1486.0, 801.5, 1132.0, 52.5], shoonya_3sS8EZGS7LYWC8, 5683767]
[paragraph, [1486.0, 854.0, 1132.0, 52.5], shoonya_3sS8EZGS7LYWC8, 5683767]
[paragraph, [1486.0, 906.5, 1132.0, 52.5], shoonya_3sS8EZGS7LYWC8, 5683767]
[paragraph, [1486.0, 959.0, 1132.0, 52.5], shoonya_3sS8EZGS7LYWC8, 5683767]
[paragraph, [1486.0, 1011.5, 1132.0, 52.5], shoonya_3sS8EZGS7LYWC8, 5683767]
[paragraph, [1486.0, 1064.0, 1132.0, 52.5], shoonya_3sS8EZGS7LYWC8, 5683767]
[paragraph, [1486.0, 1116.5, 1132.0, 52.5], shoonya_3sS8EZGS7LYWC8, 5683767]
[paragraph, [1486.0, 1169.0, 1132.0, 52.5], shoonya_3sS8EZGS7LYWC8, 5683767]
[paragraph, [1486.0, 1221.5, 1132.0, 52.5], shoonya_3sS8EZGS7LYWC8, 5683767]
[paragraph, [205.0, 1356.0, 1279.0, 52.5], shoonya_0sDONCIA5SE85O, 5683767]
[paragraph, [205.0, 1408.5, 1279.0, 52.5], shoonya_0sDONCIA5SE85O, 5683767]
[paragraph, [205.0, 1461.0, 1279.0, 52.5], shoonya_0sDONCIA5SE85O, 5683767]
[paragraph, [205.0, 1513.5, 1279.0, 52.5], shoonya_0sDONCIA5SE85O, 5683767]
