[2143, 1435]
[paragraph, [113.0, 203.0, 1197.0, 36.0], shoonya_6sK4901BVWNKTN, 5684257]
[paragraph, [113.0, 239.0, 1197.0, 36.0], shoonya_6sK4901BVWNKTN, 5684257]
[paragraph, [113.0, 275.0, 1197.0, 36.0], shoonya_6sK4901BVWNKTN, 5684257]
[paragraph, [238.0, 331.0, 188.0, 36.0], xKJVZkFFg9, 5684257]
[paragraph, [246.0, 369.0, 616.0, 36.0], shoonya_3sH2EMM8IK7AZW, 5684257]
[paragraph, [247.0, 426.0, 759.0, 36.0], shoonya_5s24KTDHB8J982, 5684257]
[paragraph, [245.0, 473.0, 806.0, 36.0], shoonya_4sWUA504DDERKH, 5684257]
[paragraph, [241.0, 523.0, 859.0, 36.0], gdMNp55uPF, 5684257]
[paragraph, [122.0, 562.0, 1207.0, 36.0], shoonya_1sEI7UFWS24B8Y, 5684257]
[paragraph, [122.0, 598.0, 1207.0, 36.0], shoonya_1sEI7UFWS24B8Y, 5684257]
[paragraph, [122.0, 634.0, 1207.0, 36.0], shoonya_1sEI7UFWS24B8Y, 5684257]
[paragraph, [122.0, 670.0, 1207.0, 36.0], shoonya_1sEI7UFWS24B8Y, 5684257]
[paragraph, [122.0, 706.0, 1207.0, 36.0], shoonya_1sEI7UFWS24B8Y, 5684257]
[paragraph, [122.0, 742.0, 1207.0, 36.0], shoonya_1sEI7UFWS24B8Y, 5684257]
[paragraph, [122.0, 778.0, 1207.0, 36.0], shoonya_1sEI7UFWS24B8Y, 5684257]
[paragraph, [122.0, 814.0, 1207.0, 36.0], shoonya_1sEI7UFWS24B8Y, 5684257]
[paragraph, [122.0, 850.0, 1207.0, 36.0], shoonya_1sEI7UFWS24B8Y, 5684257]
[paragraph, [122.0, 886.0, 1207.0, 36.0], shoonya_1sEI7UFWS24B8Y, 5684257]
[paragraph, [122.0, 922.0, 1207.0, 36.0], shoonya_1sEI7UFWS24B8Y, 5684257]
[paragraph, [122.0, 958.0, 1207.0, 36.0], shoonya_1sEI7UFWS24B8Y, 5684257]
[paragraph, [122.0, 994.0, 1207.0, 36.0], shoonya_1sEI7UFWS24B8Y, 5684257]
[paragraph, [122.0, 1030.0, 1207.0, 36.0], shoonya_1sEI7UFWS24B8Y, 5684257]
[paragraph, [122.0, 1066.0, 1207.0, 36.0], shoonya_1sEI7UFWS24B8Y, 5684257]
[paragraph, [122.0, 1102.0, 1207.0, 36.0], shoonya_1sEI7UFWS24B8Y, 5684257]
[paragraph, [122.0, 1138.0, 1207.0, 36.0], shoonya_1sEI7UFWS24B8Y, 5684257]
[paragraph, [122.0, 1174.0, 1207.0, 36.0], shoonya_1sEI7UFWS24B8Y, 5684257]
[paragraph, [122.0, 1210.0, 1207.0, 36.0], shoonya_1sEI7UFWS24B8Y, 5684257]
[paragraph, [127.0, 1280.0, 1182.0, 36.0], shoonya_0sT3DR5MBZKEUQ, 5684257]
[paragraph, [127.0, 1316.0, 1182.0, 36.0], shoonya_0sT3DR5MBZKEUQ, 5684257]
[paragraph, [127.0, 1352.0, 1182.0, 36.0], shoonya_0sT3DR5MBZKEUQ, 5684257]
[paragraph, [127.0, 1388.0, 1182.0, 36.0], shoonya_0sT3DR5MBZKEUQ, 5684257]
[paragraph, [127.0, 1424.0, 1182.0, 36.0], shoonya_0sT3DR5MBZKEUQ, 5684257]
[paragraph, [127.0, 1460.0, 1182.0, 36.0], shoonya_0sT3DR5MBZKEUQ, 5684257]
[paragraph, [127.0, 1496.0, 1182.0, 36.0], shoonya_0sT3DR5MBZKEUQ, 5684257]
[paragraph, [127.0, 1532.0, 1182.0, 36.0], shoonya_0sT3DR5MBZKEUQ, 5684257]
[paragraph, [127.0, 1568.0, 1182.0, 36.0], shoonya_0sT3DR5MBZKEUQ, 5684257]
[paragraph, [126.0, 1636.0, 1186.0, 36.0], shoonya_2sAC8N4VRAH6AY, 5684257]
[paragraph, [126.0, 1672.0, 1186.0, 36.0], shoonya_2sAC8N4VRAH6AY, 5684257]
[paragraph, [126.0, 1708.0, 1186.0, 36.0], shoonya_2sAC8N4VRAH6AY, 5684257]
[paragraph, [126.0, 1744.0, 1186.0, 36.0], shoonya_2sAC8N4VRAH6AY, 5684257]
[paragraph, [126.0, 1780.0, 1186.0, 36.0], shoonya_2sAC8N4VRAH6AY, 5684257]
[paragraph, [126.0, 1816.0, 1186.0, 36.0], shoonya_2sAC8N4VRAH6AY, 5684257]
[paragraph, [126.0, 1852.0, 1186.0, 36.0], shoonya_2sAC8N4VRAH6AY, 5684257]
[paragraph, [126.0, 1888.0, 1186.0, 36.0], shoonya_2sAC8N4VRAH6AY, 5684257]
[folio, [888.0, 2053.0, 455.0, 36.0], kN-gZJdKkm, 5684257]
[folio, [888.0, 2089.0, 455.0, 36.0], kN-gZJdKkm, 5684257]
