[2717, 1772]
[folio, [781.0, 234.0, 200.0, 46.5], shoonya_6sKDOR9QRPHDHB, 5720978]
[paragraph, [345.0, 349.0, 611.0, 46.5], U_GlWMoxW7, 5720978]
[paragraph, [235.0, 437.0, 1321.0, 46.5], shoonya_0sW0WPNORCZDFO, 5720978]
[paragraph, [235.0, 483.5, 1321.0, 46.5], shoonya_0sW0WPNORCZDFO, 5720978]
[paragraph, [235.0, 530.0, 1321.0, 46.5], shoonya_0sW0WPNORCZDFO, 5720978]
[paragraph, [235.0, 576.5, 1321.0, 46.5], shoonya_0sW0WPNORCZDFO, 5720978]
[paragraph, [235.0, 623.0, 1321.0, 46.5], shoonya_0sW0WPNORCZDFO, 5720978]
[paragraph, [230.0, 736.0, 1337.0, 46.5], shoonya_3sCC56BYIV6C3G, 5720978]
[paragraph, [230.0, 782.5, 1337.0, 46.5], shoonya_3sCC56BYIV6C3G, 5720978]
[paragraph, [230.0, 829.0, 1337.0, 46.5], shoonya_3sCC56BYIV6C3G, 5720978]
[paragraph, [230.0, 875.5, 1337.0, 46.5], shoonya_3sCC56BYIV6C3G, 5720978]
[paragraph, [230.0, 922.0, 1337.0, 46.5], shoonya_3sCC56BYIV6C3G, 5720978]
[paragraph, [230.0, 968.5, 1337.0, 46.5], shoonya_3sCC56BYIV6C3G, 5720978]
[paragraph, [230.0, 1015.0, 1337.0, 46.5], shoonya_3sCC56BYIV6C3G, 5720978]
[paragraph, [219.0, 1114.0, 1338.0, 46.5], shoonya_2s9ABARZZ10ZLR, 5720978]
[paragraph, [219.0, 1160.5, 1338.0, 46.5], shoonya_2s9ABARZZ10ZLR, 5720978]
[paragraph, [219.0, 1207.0, 1338.0, 46.5], shoonya_2s9ABARZZ10ZLR, 5720978]
[paragraph, [219.0, 1253.5, 1338.0, 46.5], shoonya_2s9ABARZZ10ZLR, 5720978]
[paragraph, [221.0, 1326.0, 1335.0, 46.5], KPX9ZDvLse, 5720978]
[paragraph, [221.0, 1372.5, 1335.0, 46.5], KPX9ZDvLse, 5720978]
[paragraph, [232.0, 1465.0, 1320.0, 46.5], QQXNAvCgij, 5720978]
[paragraph, [232.0, 1511.5, 1320.0, 46.5], QQXNAvCgij, 5720978]
[paragraph, [338.0, 1614.0, 613.0, 46.5], TUFPZEAHK5, 5720978]
[paragraph, [210.0, 1685.0, 1364.0, 46.5], p7ZdI7allc, 5720978]
[paragraph, [210.0, 1731.5, 1364.0, 46.5], p7ZdI7allc, 5720978]
[paragraph, [210.0, 1778.0, 1364.0, 46.5], p7ZdI7allc, 5720978]
[paragraph, [203.0, 1882.0, 1348.0, 46.5], k0D3tladMk, 5720978]
[paragraph, [203.0, 1928.5, 1348.0, 46.5], k0D3tladMk, 5720978]
[paragraph, [203.0, 1975.0, 1348.0, 46.5], k0D3tladMk, 5720978]
[paragraph, [203.0, 2021.5, 1348.0, 46.5], k0D3tladMk, 5720978]
[paragraph, [203.0, 2068.0, 1348.0, 46.5], k0D3tladMk, 5720978]
[paragraph, [218.0, 2182.0, 1336.0, 46.5], shoonya_4sHJLQCUB8V0ZT, 5720978]
[paragraph, [218.0, 2228.5, 1336.0, 46.5], shoonya_4sHJLQCUB8V0ZT, 5720978]
[paragraph, [218.0, 2275.0, 1336.0, 46.5], shoonya_4sHJLQCUB8V0ZT, 5720978]
[paragraph, [218.0, 2321.5, 1336.0, 46.5], shoonya_4sHJLQCUB8V0ZT, 5720978]
[paragraph, [218.0, 2368.0, 1336.0, 46.5], shoonya_4sHJLQCUB8V0ZT, 5720978]
[paragraph, [218.0, 2414.5, 1336.0, 46.5], shoonya_4sHJLQCUB8V0ZT, 5720978]
