[1951, 1219]
[folio, [251.0, 124.0, 186.0, 36.0], jqT1tlyXlF, 5682057]
[paragraph, [124.0, 210.0, 976.0, 36.0], shoonya_0sPB01Z03XBO2H, 5682057]
[paragraph, [124.0, 246.0, 976.0, 36.0], shoonya_0sPB01Z03XBO2H, 5682057]
[paragraph, [124.0, 282.0, 976.0, 36.0], shoonya_0sPB01Z03XBO2H, 5682057]
[paragraph, [124.0, 318.0, 976.0, 36.0], shoonya_0sPB01Z03XBO2H, 5682057]
[paragraph, [124.0, 354.0, 976.0, 36.0], shoonya_0sPB01Z03XBO2H, 5682057]
[paragraph, [124.0, 390.0, 976.0, 36.0], shoonya_0sPB01Z03XBO2H, 5682057]
[paragraph, [124.0, 426.0, 976.0, 36.0], shoonya_0sPB01Z03XBO2H, 5682057]
[paragraph, [124.0, 462.0, 976.0, 36.0], shoonya_0sPB01Z03XBO2H, 5682057]
[paragraph, [124.0, 498.0, 976.0, 36.0], shoonya_0sPB01Z03XBO2H, 5682057]
[paragraph, [124.0, 534.0, 976.0, 36.0], shoonya_0sPB01Z03XBO2H, 5682057]
[paragraph, [124.0, 570.0, 976.0, 36.0], shoonya_0sPB01Z03XBO2H, 5682057]
[paragraph, [126.0, 619.0, 975.0, 36.0], Uy7cBP5twU, 5682057]
[paragraph, [126.0, 655.0, 975.0, 36.0], Uy7cBP5twU, 5682057]
[paragraph, [126.0, 691.0, 975.0, 36.0], Uy7cBP5twU, 5682057]
[paragraph, [126.0, 727.0, 975.0, 36.0], Uy7cBP5twU, 5682057]
[paragraph, [126.0, 763.0, 975.0, 36.0], Uy7cBP5twU, 5682057]
[paragraph, [126.0, 799.0, 975.0, 36.0], Uy7cBP5twU, 5682057]
[paragraph, [126.0, 835.0, 975.0, 36.0], Uy7cBP5twU, 5682057]
[paragraph, [126.0, 871.0, 975.0, 36.0], Uy7cBP5twU, 5682057]
[paragraph, [126.0, 907.0, 975.0, 36.0], Uy7cBP5twU, 5682057]
[paragraph, [126.0, 943.0, 975.0, 36.0], Uy7cBP5twU, 5682057]
[paragraph, [126.0, 979.0, 975.0, 36.0], Uy7cBP5twU, 5682057]
[paragraph, [126.0, 1015.0, 975.0, 36.0], Uy7cBP5twU, 5682057]
[paragraph, [126.0, 1051.0, 975.0, 36.0], Uy7cBP5twU, 5682057]
[paragraph, [126.0, 1087.0, 975.0, 36.0], Uy7cBP5twU, 5682057]
[paragraph, [126.0, 1123.0, 975.0, 36.0], Uy7cBP5twU, 5682057]
[paragraph, [126.0, 1159.0, 975.0, 36.0], Uy7cBP5twU, 5682057]
[paragraph, [126.0, 1195.0, 975.0, 36.0], Uy7cBP5twU, 5682057]
[paragraph, [126.0, 1231.0, 975.0, 36.0], Uy7cBP5twU, 5682057]
[paragraph, [126.0, 1267.0, 975.0, 36.0], Uy7cBP5twU, 5682057]
[paragraph, [126.0, 1303.0, 975.0, 36.0], Uy7cBP5twU, 5682057]
[paragraph, [125.0, 1373.0, 974.0, 36.0], BMTSffX8k7, 5682057]
[paragraph, [125.0, 1409.0, 974.0, 36.0], BMTSffX8k7, 5682057]
[paragraph, [125.0, 1445.0, 974.0, 36.0], BMTSffX8k7, 5682057]
[paragraph, [124.0, 1487.0, 970.0, 36.0], AtmQqUALJ-, 5682057]
[paragraph, [124.0, 1523.0, 970.0, 36.0], AtmQqUALJ-, 5682057]
[paragraph, [124.0, 1559.0, 970.0, 36.0], AtmQqUALJ-, 5682057]
[paragraph, [124.0, 1595.0, 970.0, 36.0], AtmQqUALJ-, 5682057]
[paragraph, [124.0, 1631.0, 970.0, 36.0], AtmQqUALJ-, 5682057]
[paragraph, [124.0, 1667.0, 970.0, 36.0], AtmQqUALJ-, 5682057]
[paragraph, [124.0, 1703.0, 970.0, 36.0], AtmQqUALJ-, 5682057]
[paragraph, [214.0, 1777.0, 879.0, 36.0], aALedmoW0w, 5682057]
