[1220, 755]
[paragraph, [58.0, 68.0, 630.0, 18.0], shoonya_1sJHDHP0ZRJJ61, 6469012]
[paragraph, [58.0, 86.0, 630.0, 18.0], shoonya_1sJHDHP0ZRJJ61, 6469012]
[paragraph, [58.0, 104.0, 630.0, 18.0], shoonya_1sJHDHP0ZRJJ61, 6469012]
[paragraph, [58.0, 122.0, 630.0, 18.0], shoonya_1sJHDHP0ZRJJ61, 6469012]
[paragraph, [58.0, 140.0, 630.0, 18.0], shoonya_1sJHDHP0ZRJJ61, 6469012]
[paragraph, [58.0, 158.0, 630.0, 18.0], shoonya_1sJHDHP0ZRJJ61, 6469012]
[paragraph, [58.0, 176.0, 630.0, 18.0], shoonya_1sJHDHP0ZRJJ61, 6469012]
[paragraph, [58.0, 194.0, 630.0, 18.0], shoonya_1sJHDHP0ZRJJ61, 6469012]
[paragraph, [58.0, 212.0, 630.0, 18.0], shoonya_1sJHDHP0ZRJJ61, 6469012]
[paragraph, [58.0, 230.0, 630.0, 18.0], shoonya_1sJHDHP0ZRJJ61, 6469012]
[paragraph, [58.0, 248.0, 630.0, 18.0], shoonya_1sJHDHP0ZRJJ61, 6469012]
[paragraph, [58.0, 266.0, 630.0, 18.0], shoonya_1sJHDHP0ZRJJ61, 6469012]
[paragraph, [58.0, 284.0, 630.0, 18.0], shoonya_1sJHDHP0ZRJJ61, 6469012]
[paragraph, [58.0, 302.0, 630.0, 18.0], shoonya_1sJHDHP0ZRJJ61, 6469012]
[paragraph, [58.0, 320.0, 630.0, 18.0], shoonya_1sJHDHP0ZRJJ61, 6469012]
[paragraph, [58.0, 338.0, 630.0, 18.0], shoonya_1sJHDHP0ZRJJ61, 6469012]
[paragraph, [58.0, 356.0, 630.0, 18.0], shoonya_1sJHDHP0ZRJJ61, 6469012]
[paragraph, [58.0, 374.0, 630.0, 18.0], shoonya_1sJHDHP0ZRJJ61, 6469012]
[paragraph, [59.0, 406.0, 625.0, 18.0], shoonya_2s7GRFIJU6MTS9, 6469012]
[paragraph, [59.0, 424.0, 625.0, 18.0], shoonya_2s7GRFIJU6MTS9, 6469012]
[paragraph, [59.0, 442.0, 625.0, 18.0], shoonya_2s7GRFIJU6MTS9, 6469012]
[paragraph, [55.0, 474.0, 630.0, 18.0], 4XiqeqA6et, 6469012]
[paragraph, [55.0, 492.0, 630.0, 18.0], 4XiqeqA6et, 6469012]
[paragraph, [55.0, 510.0, 630.0, 18.0], 4XiqeqA6et, 6469012]
[paragraph, [55.0, 528.0, 630.0, 18.0], 4XiqeqA6et, 6469012]
[paragraph, [55.0, 546.0, 630.0, 18.0], 4XiqeqA6et, 6469012]
[paragraph, [55.0, 564.0, 630.0, 18.0], 4XiqeqA6et, 6469012]
[paragraph, [55.0, 582.0, 630.0, 18.0], 4XiqeqA6et, 6469012]
[paragraph, [55.0, 600.0, 630.0, 18.0], 4XiqeqA6et, 6469012]
[paragraph, [55.0, 618.0, 630.0, 18.0], 4XiqeqA6et, 6469012]
[paragraph, [55.0, 636.0, 630.0, 18.0], 4XiqeqA6et, 6469012]
[paragraph, [55.0, 654.0, 630.0, 18.0], 4XiqeqA6et, 6469012]
[paragraph, [56.0, 685.0, 629.0, 18.0], G3V_G0YoKa, 6469012]
[paragraph, [56.0, 703.0, 629.0, 18.0], G3V_G0YoKa, 6469012]
[paragraph, [56.0, 721.0, 629.0, 18.0], G3V_G0YoKa, 6469012]
[paragraph, [56.0, 752.0, 630.0, 18.0], swehTv3eKL, 6469012]
[paragraph, [56.0, 770.0, 630.0, 18.0], swehTv3eKL, 6469012]
[paragraph, [56.0, 788.0, 630.0, 18.0], swehTv3eKL, 6469012]
[paragraph, [56.0, 806.0, 630.0, 18.0], swehTv3eKL, 6469012]
[paragraph, [56.0, 824.0, 630.0, 18.0], swehTv3eKL, 6469012]
[paragraph, [56.0, 842.0, 630.0, 18.0], swehTv3eKL, 6469012]
[paragraph, [56.0, 860.0, 630.0, 18.0], swehTv3eKL, 6469012]
[paragraph, [56.0, 878.0, 630.0, 18.0], swehTv3eKL, 6469012]
[paragraph, [56.0, 904.0, 630.0, 18.0], 6sVyUOqI_v, 6469012]
[paragraph, [56.0, 922.0, 630.0, 18.0], 6sVyUOqI_v, 6469012]
[paragraph, [56.0, 940.0, 630.0, 18.0], 6sVyUOqI_v, 6469012]
[paragraph, [56.0, 958.0, 630.0, 18.0], 6sVyUOqI_v, 6469012]
[paragraph, [56.0, 976.0, 630.0, 18.0], 6sVyUOqI_v, 6469012]
[paragraph, [57.0, 1005.0, 629.0, 18.0], RaKc-dhVWo, 6469012]
[paragraph, [57.0, 1023.0, 629.0, 18.0], RaKc-dhVWo, 6469012]
[paragraph, [57.0, 1041.0, 629.0, 18.0], RaKc-dhVWo, 6469012]
[paragraph, [57.0, 1059.0, 629.0, 18.0], RaKc-dhVWo, 6469012]
[paragraph, [57.0, 1077.0, 629.0, 18.0], RaKc-dhVWo, 6469012]
[paragraph, [57.0, 1095.0, 629.0, 18.0], RaKc-dhVWo, 6469012]
[paragraph, [57.0, 1113.0, 629.0, 18.0], RaKc-dhVWo, 6469012]
[paragraph, [57.0, 1131.0, 629.0, 18.0], RaKc-dhVWo, 6469012]
