[1008, 612]
[ordered-list, [53.0, 78.0, 506.0, 18.0], OQ_tFAMmxQ, 5717698]
[ordered-list, [53.0, 96.0, 506.0, 18.0], OQ_tFAMmxQ, 5717698]
[ordered-list, [53.0, 114.0, 506.0, 18.0], OQ_tFAMmxQ, 5717698]
[ordered-list, [53.0, 132.0, 506.0, 18.0], OQ_tFAMmxQ, 5717698]
[ordered-list, [53.0, 150.0, 506.0, 18.0], OQ_tFAMmxQ, 5717698]
[ordered-list, [53.0, 168.0, 506.0, 18.0], OQ_tFAMmxQ, 5717698]
[ordered-list, [53.0, 186.0, 506.0, 18.0], OQ_tFAMmxQ, 5717698]
[ordered-list, [53.0, 204.0, 506.0, 18.0], OQ_tFAMmxQ, 5717698]
[ordered-list, [53.0, 222.0, 506.0, 18.0], OQ_tFAMmxQ, 5717698]
[ordered-list, [53.0, 240.0, 506.0, 18.0], OQ_tFAMmxQ, 5717698]
[ordered-list, [53.0, 258.0, 506.0, 18.0], OQ_tFAMmxQ, 5717698]
[ordered-list, [53.0, 276.0, 506.0, 18.0], OQ_tFAMmxQ, 5717698]
[ordered-list, [53.0, 294.0, 506.0, 18.0], OQ_tFAMmxQ, 5717698]
[ordered-list, [53.0, 312.0, 506.0, 18.0], OQ_tFAMmxQ, 5717698]
[ordered-list, [53.0, 330.0, 506.0, 18.0], OQ_tFAMmxQ, 5717698]
[ordered-list, [53.0, 348.0, 506.0, 18.0], OQ_tFAMmxQ, 5717698]
[ordered-list, [53.0, 366.0, 506.0, 18.0], OQ_tFAMmxQ, 5717698]
[ordered-list, [53.0, 384.0, 506.0, 18.0], OQ_tFAMmxQ, 5717698]
[ordered-list, [53.0, 402.0, 506.0, 18.0], OQ_tFAMmxQ, 5717698]
[ordered-list, [53.0, 420.0, 506.0, 18.0], OQ_tFAMmxQ, 5717698]
[ordered-list, [53.0, 438.0, 506.0, 18.0], OQ_tFAMmxQ, 5717698]
[ordered-list, [53.0, 456.0, 506.0, 18.0], OQ_tFAMmxQ, 5717698]
[ordered-list, [53.0, 474.0, 506.0, 18.0], OQ_tFAMmxQ, 5717698]
[ordered-list, [53.0, 492.0, 506.0, 18.0], OQ_tFAMmxQ, 5717698]
[ordered-list, [53.0, 510.0, 506.0, 18.0], OQ_tFAMmxQ, 5717698]
[ordered-list, [53.0, 528.0, 506.0, 18.0], OQ_tFAMmxQ, 5717698]
[ordered-list, [53.0, 546.0, 506.0, 18.0], OQ_tFAMmxQ, 5717698]
[ordered-list, [53.0, 564.0, 506.0, 18.0], OQ_tFAMmxQ, 5717698]
[ordered-list, [53.0, 582.0, 506.0, 18.0], OQ_tFAMmxQ, 5717698]
[sub-ordered-list, [64.0, 144.0, 488.0, 18.0], JeXPfEmlmQ, 5717698]
[sub-ordered-list, [64.0, 162.0, 488.0, 18.0], JeXPfEmlmQ, 5717698]
[sub-ordered-list, [64.0, 180.0, 488.0, 18.0], JeXPfEmlmQ, 5717698]
[sub-ordered-list, [64.0, 198.0, 488.0, 18.0], JeXPfEmlmQ, 5717698]
[sub-ordered-list, [64.0, 216.0, 488.0, 18.0], JeXPfEmlmQ, 5717698]
[sub-ordered-list, [64.0, 234.0, 488.0, 18.0], JeXPfEmlmQ, 5717698]
[sub-ordered-list, [64.0, 252.0, 488.0, 18.0], JeXPfEmlmQ, 5717698]
[sub-ordered-list, [64.0, 270.0, 488.0, 18.0], JeXPfEmlmQ, 5717698]
[sub-ordered-list, [64.0, 288.0, 488.0, 18.0], JeXPfEmlmQ, 5717698]
[sub-ordered-list, [64.0, 306.0, 488.0, 18.0], JeXPfEmlmQ, 5717698]
[sub-ordered-list, [64.0, 324.0, 488.0, 18.0], JeXPfEmlmQ, 5717698]
[sub-ordered-list, [64.0, 342.0, 488.0, 18.0], JeXPfEmlmQ, 5717698]
[sub-ordered-list, [64.0, 360.0, 488.0, 18.0], JeXPfEmlmQ, 5717698]
[sub-ordered-list, [64.0, 378.0, 488.0, 18.0], JeXPfEmlmQ, 5717698]
