[2278, 1778]
[folio, [117.0, 44.0, 411.0, 36.0], vE1RXMfePK, 5757712]
[folio, [117.0, 80.0, 411.0, 36.0], vE1RXMfePK, 5757712]
[folio, [117.0, 116.0, 411.0, 36.0], vE1RXMfePK, 5757712]
[folio, [117.0, 152.0, 411.0, 36.0], vE1RXMfePK, 5757712]
[folio, [117.0, 188.0, 411.0, 36.0], vE1RXMfePK, 5757712]
[folio, [1286.0, 68.0, 382.0, 36.0], QUYNZlAApS, 5757712]
[chapter-title, [446.0, 314.0, 884.0, 70.5], shoonya_6sF8NHG1E4JYA4, 5757712]
[paragraph, [127.0, 505.0, 1524.0, 36.0], shoonya_3sSVAC21H6469D, 5757712]
[paragraph, [127.0, 541.0, 1524.0, 36.0], shoonya_3sSVAC21H6469D, 5757712]
[paragraph, [127.0, 577.0, 1524.0, 36.0], shoonya_3sSVAC21H6469D, 5757712]
[paragraph, [127.0, 613.0, 1524.0, 36.0], shoonya_3sSVAC21H6469D, 5757712]
[paragraph, [127.0, 649.0, 1524.0, 36.0], shoonya_3sSVAC21H6469D, 5757712]
[paragraph, [127.0, 685.0, 1524.0, 36.0], shoonya_3sSVAC21H6469D, 5757712]
[paragraph, [127.0, 721.0, 1524.0, 36.0], shoonya_3sSVAC21H6469D, 5757712]
[paragraph, [126.0, 757.0, 1527.0, 36.0], shoonya_1s3CNNA1RMGPPF, 5757712]
[paragraph, [126.0, 793.0, 1527.0, 36.0], shoonya_1s3CNNA1RMGPPF, 5757712]
[paragraph, [126.0, 829.0, 1527.0, 36.0], shoonya_1s3CNNA1RMGPPF, 5757712]
[paragraph, [126.0, 865.0, 1527.0, 36.0], shoonya_1s3CNNA1RMGPPF, 5757712]
[paragraph, [126.0, 901.0, 1527.0, 36.0], shoonya_1s3CNNA1RMGPPF, 5757712]
[paragraph, [126.0, 937.0, 1527.0, 36.0], shoonya_1s3CNNA1RMGPPF, 5757712]
[paragraph, [126.0, 973.0, 1527.0, 36.0], shoonya_1s3CNNA1RMGPPF, 5757712]
[paragraph, [126.0, 1009.0, 1527.0, 36.0], shoonya_1s3CNNA1RMGPPF, 5757712]
[paragraph, [126.0, 1045.0, 1527.0, 36.0], shoonya_1s3CNNA1RMGPPF, 5757712]
[paragraph, [126.0, 1081.0, 1527.0, 36.0], shoonya_1s3CNNA1RMGPPF, 5757712]
[paragraph, [126.0, 1117.0, 1527.0, 36.0], shoonya_1s3CNNA1RMGPPF, 5757712]
[paragraph, [126.0, 1153.0, 1527.0, 36.0], shoonya_1s3CNNA1RMGPPF, 5757712]
[paragraph, [126.0, 1189.0, 1527.0, 36.0], shoonya_1s3CNNA1RMGPPF, 5757712]
[paragraph, [126.0, 1225.0, 1527.0, 36.0], shoonya_1s3CNNA1RMGPPF, 5757712]
[paragraph, [126.0, 1261.0, 1527.0, 36.0], shoonya_1s3CNNA1RMGPPF, 5757712]
[paragraph, [127.0, 1323.0, 1533.0, 36.0], shoonya_0sOUPSJ6LA2P1F, 5757712]
[paragraph, [127.0, 1359.0, 1533.0, 36.0], shoonya_0sOUPSJ6LA2P1F, 5757712]
[paragraph, [127.0, 1395.0, 1533.0, 36.0], shoonya_0sOUPSJ6LA2P1F, 5757712]
[paragraph, [127.0, 1431.0, 1533.0, 36.0], shoonya_0sOUPSJ6LA2P1F, 5757712]
[paragraph, [127.0, 1467.0, 1533.0, 36.0], shoonya_0sOUPSJ6LA2P1F, 5757712]
[paragraph, [127.0, 1503.0, 1533.0, 36.0], shoonya_0sOUPSJ6LA2P1F, 5757712]
[paragraph, [127.0, 1539.0, 1533.0, 36.0], shoonya_0sOUPSJ6LA2P1F, 5757712]
[paragraph, [127.0, 1575.0, 1533.0, 36.0], shoonya_0sOUPSJ6LA2P1F, 5757712]
[paragraph, [127.0, 1611.0, 1533.0, 36.0], shoonya_0sOUPSJ6LA2P1F, 5757712]
[paragraph, [127.0, 1647.0, 1533.0, 36.0], shoonya_0sOUPSJ6LA2P1F, 5757712]
[paragraph, [127.0, 1683.0, 1533.0, 36.0], shoonya_0sOUPSJ6LA2P1F, 5757712]
[paragraph, [127.0, 1719.0, 1533.0, 36.0], shoonya_0sOUPSJ6LA2P1F, 5757712]
[paragraph, [127.0, 1755.0, 1533.0, 36.0], shoonya_0sOUPSJ6LA2P1F, 5757712]
[paragraph, [111.0, 1807.0, 1552.0, 36.0], shoonya_2sTELOQV4GZBO3, 5757712]
[paragraph, [111.0, 1843.0, 1552.0, 36.0], shoonya_2sTELOQV4GZBO3, 5757712]
[paragraph, [111.0, 1879.0, 1552.0, 36.0], shoonya_2sTELOQV4GZBO3, 5757712]
[paragraph, [111.0, 1915.0, 1552.0, 36.0], shoonya_2sTELOQV4GZBO3, 5757712]
[paragraph, [111.0, 1951.0, 1552.0, 36.0], shoonya_2sTELOQV4GZBO3, 5757712]
[paragraph, [111.0, 1987.0, 1552.0, 36.0], shoonya_2sTELOQV4GZBO3, 5757712]
[paragraph, [111.0, 2023.0, 1552.0, 36.0], shoonya_2sTELOQV4GZBO3, 5757712]
