[1350, 900]
[folio, [171.0, 173.0, 217.0, 18.0], 1DToOZjW8L, 5760792]
[folio, [171.0, 191.0, 217.0, 18.0], 1DToOZjW8L, 5760792]
[section-title, [149.0, 227.0, 239.0, 30.0], WIPpY-vC4b, 5760792]
[paragraph, [151.0, 264.0, 556.0, 18.0], tDBD7eQExc, 5760792]
[paragraph, [151.0, 282.0, 556.0, 18.0], tDBD7eQExc, 5760792]
[paragraph, [151.0, 300.0, 556.0, 18.0], tDBD7eQExc, 5760792]
[paragraph, [151.0, 318.0, 556.0, 18.0], tDBD7eQExc, 5760792]
[paragraph, [151.0, 336.0, 556.0, 18.0], tDBD7eQExc, 5760792]
[paragraph, [151.0, 354.0, 556.0, 18.0], tDBD7eQExc, 5760792]
[paragraph, [151.0, 375.0, 556.0, 18.0], XF3sSezWJx, 5760792]
[paragraph, [151.0, 393.0, 556.0, 18.0], XF3sSezWJx, 5760792]
[paragraph, [151.0, 411.0, 556.0, 18.0], XF3sSezWJx, 5760792]
[paragraph, [151.0, 429.0, 556.0, 18.0], XF3sSezWJx, 5760792]
[paragraph, [140.0, 456.0, 567.0, 18.0], ZTe_HRTPUs, 5760792]
[paragraph, [140.0, 474.0, 567.0, 18.0], ZTe_HRTPUs, 5760792]
[paragraph, [140.0, 492.0, 567.0, 18.0], ZTe_HRTPUs, 5760792]
[paragraph, [140.0, 510.0, 567.0, 18.0], ZTe_HRTPUs, 5760792]
[paragraph, [140.0, 528.0, 567.0, 18.0], ZTe_HRTPUs, 5760792]
[paragraph, [140.0, 546.0, 567.0, 18.0], ZTe_HRTPUs, 5760792]
[paragraph, [140.0, 564.0, 567.0, 18.0], ZTe_HRTPUs, 5760792]
[paragraph, [140.0, 582.0, 567.0, 18.0], ZTe_HRTPUs, 5760792]
[paragraph, [140.0, 600.0, 567.0, 18.0], ZTe_HRTPUs, 5760792]
[paragraph, [140.0, 618.0, 567.0, 18.0], ZTe_HRTPUs, 5760792]
[paragraph, [140.0, 636.0, 567.0, 18.0], ZTe_HRTPUs, 5760792]
[paragraph, [140.0, 654.0, 567.0, 18.0], ZTe_HRTPUs, 5760792]
[paragraph, [140.0, 672.0, 567.0, 18.0], ZTe_HRTPUs, 5760792]
[paragraph, [140.0, 690.0, 567.0, 18.0], ZTe_HRTPUs, 5760792]
[paragraph, [140.0, 708.0, 567.0, 18.0], ZTe_HRTPUs, 5760792]
[paragraph, [140.0, 726.0, 567.0, 18.0], ZTe_HRTPUs, 5760792]
[paragraph, [140.0, 744.0, 567.0, 18.0], ZTe_HRTPUs, 5760792]
[paragraph, [140.0, 762.0, 567.0, 18.0], ZTe_HRTPUs, 5760792]
[paragraph, [140.0, 780.0, 567.0, 18.0], ZTe_HRTPUs, 5760792]
[paragraph, [140.0, 798.0, 567.0, 18.0], ZTe_HRTPUs, 5760792]
[paragraph, [140.0, 816.0, 567.0, 18.0], ZTe_HRTPUs, 5760792]
[paragraph, [140.0, 834.0, 567.0, 18.0], ZTe_HRTPUs, 5760792]
[paragraph, [140.0, 852.0, 567.0, 18.0], ZTe_HRTPUs, 5760792]
[paragraph, [140.0, 870.0, 567.0, 18.0], ZTe_HRTPUs, 5760792]
[paragraph, [140.0, 888.0, 567.0, 18.0], ZTe_HRTPUs, 5760792]
[paragraph, [140.0, 906.0, 567.0, 18.0], ZTe_HRTPUs, 5760792]
[paragraph, [140.0, 924.0, 567.0, 18.0], ZTe_HRTPUs, 5760792]
[paragraph, [140.0, 942.0, 567.0, 18.0], ZTe_HRTPUs, 5760792]
[paragraph, [140.0, 960.0, 567.0, 18.0], ZTe_HRTPUs, 5760792]
[paragraph, [140.0, 978.0, 567.0, 18.0], ZTe_HRTPUs, 5760792]
[paragraph, [140.0, 996.0, 567.0, 18.0], ZTe_HRTPUs, 5760792]
[paragraph, [140.0, 1014.0, 567.0, 18.0], ZTe_HRTPUs, 5760792]
[paragraph, [140.0, 1032.0, 567.0, 18.0], ZTe_HRTPUs, 5760792]
[paragraph, [140.0, 1050.0, 567.0, 18.0], ZTe_HRTPUs, 5760792]
[paragraph, [140.0, 1068.0, 567.0, 18.0], ZTe_HRTPUs, 5760792]
[paragraph, [140.0, 1086.0, 567.0, 18.0], ZTe_HRTPUs, 5760792]
