[1795, 1184]
[paragraph, [190.0, 146.0, 875.0, 36.0], shoonya_2s0ENFHPGZ83DG, 5749470]
[paragraph, [190.0, 182.0, 875.0, 36.0], shoonya_2s0ENFHPGZ83DG, 5749470]
[paragraph, [190.0, 218.0, 875.0, 36.0], shoonya_2s0ENFHPGZ83DG, 5749470]
[paragraph, [190.0, 254.0, 875.0, 36.0], shoonya_2s0ENFHPGZ83DG, 5749470]
[paragraph, [190.0, 290.0, 875.0, 36.0], shoonya_2s0ENFHPGZ83DG, 5749470]
[paragraph, [190.0, 326.0, 875.0, 36.0], shoonya_2s0ENFHPGZ83DG, 5749470]
[paragraph, [190.0, 362.0, 875.0, 36.0], shoonya_2s0ENFHPGZ83DG, 5749470]
[paragraph, [190.0, 398.0, 875.0, 36.0], shoonya_2s0ENFHPGZ83DG, 5749470]
[paragraph, [190.0, 434.0, 875.0, 36.0], shoonya_2s0ENFHPGZ83DG, 5749470]
[paragraph, [190.0, 470.0, 875.0, 36.0], shoonya_2s0ENFHPGZ83DG, 5749470]
[paragraph, [190.0, 506.0, 875.0, 36.0], shoonya_2s0ENFHPGZ83DG, 5749470]
[paragraph, [190.0, 542.0, 875.0, 36.0], shoonya_2s0ENFHPGZ83DG, 5749470]
[paragraph, [190.0, 578.0, 875.0, 36.0], shoonya_2s0ENFHPGZ83DG, 5749470]
[paragraph, [190.0, 614.0, 875.0, 36.0], shoonya_2s0ENFHPGZ83DG, 5749470]
[paragraph, [190.0, 650.0, 875.0, 36.0], shoonya_2s0ENFHPGZ83DG, 5749470]
[paragraph, [190.0, 686.0, 875.0, 36.0], shoonya_2s0ENFHPGZ83DG, 5749470]
[paragraph, [190.0, 722.0, 875.0, 36.0], shoonya_2s0ENFHPGZ83DG, 5749470]
[paragraph, [190.0, 758.0, 875.0, 36.0], shoonya_2s0ENFHPGZ83DG, 5749470]
[paragraph, [190.0, 794.0, 875.0, 36.0], shoonya_2s0ENFHPGZ83DG, 5749470]
[paragraph, [190.0, 830.0, 875.0, 36.0], shoonya_2s0ENFHPGZ83DG, 5749470]
[paragraph, [190.0, 866.0, 875.0, 36.0], shoonya_2s0ENFHPGZ83DG, 5749470]
[paragraph, [190.0, 902.0, 875.0, 36.0], shoonya_2s0ENFHPGZ83DG, 5749470]
[paragraph, [190.0, 938.0, 875.0, 36.0], shoonya_2s0ENFHPGZ83DG, 5749470]
[paragraph, [190.0, 974.0, 875.0, 36.0], shoonya_2s0ENFHPGZ83DG, 5749470]
[paragraph, [190.0, 1010.0, 875.0, 36.0], shoonya_2s0ENFHPGZ83DG, 5749470]
[paragraph, [190.0, 1046.0, 875.0, 36.0], shoonya_2s0ENFHPGZ83DG, 5749470]
[paragraph, [190.0, 1082.0, 875.0, 36.0], shoonya_2s0ENFHPGZ83DG, 5749470]
[paragraph, [192.0, 1159.0, 872.0, 36.0], shoonya_0sVR2B2CXC5491, 5749470]
[paragraph, [192.0, 1195.0, 872.0, 36.0], shoonya_0sVR2B2CXC5491, 5749470]
[paragraph, [192.0, 1231.0, 872.0, 36.0], shoonya_0sVR2B2CXC5491, 5749470]
[paragraph, [192.0, 1267.0, 872.0, 36.0], shoonya_0sVR2B2CXC5491, 5749470]
[paragraph, [192.0, 1303.0, 872.0, 36.0], shoonya_0sVR2B2CXC5491, 5749470]
[paragraph, [192.0, 1339.0, 872.0, 36.0], shoonya_0sVR2B2CXC5491, 5749470]
[paragraph, [192.0, 1375.0, 872.0, 36.0], shoonya_0sVR2B2CXC5491, 5749470]
[paragraph, [195.0, 1448.0, 872.0, 36.0], shoonya_1s3UFG6YQN4FER, 5749470]
[paragraph, [195.0, 1484.0, 872.0, 36.0], shoonya_1s3UFG6YQN4FER, 5749470]
