[1755, 1240]
[folio, [635.0, 82.0, 494.0, 36.0], GIJT6nwgsk, 5744259]
[paragraph, [204.0, 207.0, 929.0, 36.0], shoonya_1sIAL18TXTNYY9, 5744259]
[paragraph, [204.0, 243.0, 929.0, 36.0], shoonya_1sIAL18TXTNYY9, 5744259]
[paragraph, [204.0, 279.0, 929.0, 36.0], shoonya_1sIAL18TXTNYY9, 5744259]
[paragraph, [204.0, 315.0, 929.0, 36.0], shoonya_1sIAL18TXTNYY9, 5744259]
[paragraph, [204.0, 351.0, 929.0, 36.0], shoonya_1sIAL18TXTNYY9, 5744259]
[paragraph, [204.0, 387.0, 929.0, 36.0], shoonya_1sIAL18TXTNYY9, 5744259]
[paragraph, [204.0, 423.0, 929.0, 36.0], shoonya_1sIAL18TXTNYY9, 5744259]
[paragraph, [204.0, 459.0, 929.0, 36.0], shoonya_1sIAL18TXTNYY9, 5744259]
[paragraph, [204.0, 495.0, 929.0, 36.0], shoonya_1sIAL18TXTNYY9, 5744259]
[paragraph, [204.0, 531.0, 929.0, 36.0], shoonya_1sIAL18TXTNYY9, 5744259]
[paragraph, [204.0, 567.0, 929.0, 36.0], shoonya_1sIAL18TXTNYY9, 5744259]
[paragraph, [204.0, 603.0, 929.0, 36.0], shoonya_1sIAL18TXTNYY9, 5744259]
[paragraph, [204.0, 639.0, 929.0, 36.0], shoonya_1sIAL18TXTNYY9, 5744259]
[paragraph, [204.0, 675.0, 929.0, 36.0], shoonya_1sIAL18TXTNYY9, 5744259]
[paragraph, [204.0, 711.0, 929.0, 36.0], shoonya_1sIAL18TXTNYY9, 5744259]
[paragraph, [204.0, 747.0, 929.0, 36.0], shoonya_1sIAL18TXTNYY9, 5744259]
[paragraph, [204.0, 783.0, 929.0, 36.0], shoonya_1sIAL18TXTNYY9, 5744259]
[paragraph, [204.0, 819.0, 929.0, 36.0], shoonya_1sIAL18TXTNYY9, 5744259]
[paragraph, [204.0, 855.0, 929.0, 36.0], shoonya_1sIAL18TXTNYY9, 5744259]
[paragraph, [204.0, 891.0, 929.0, 36.0], shoonya_1sIAL18TXTNYY9, 5744259]
[paragraph, [204.0, 927.0, 929.0, 36.0], shoonya_1sIAL18TXTNYY9, 5744259]
[paragraph, [204.0, 963.0, 929.0, 36.0], shoonya_1sIAL18TXTNYY9, 5744259]
[paragraph, [204.0, 999.0, 929.0, 36.0], shoonya_1sIAL18TXTNYY9, 5744259]
[paragraph, [204.0, 1035.0, 929.0, 36.0], shoonya_1sIAL18TXTNYY9, 5744259]
[paragraph, [204.0, 1071.0, 929.0, 36.0], shoonya_1sIAL18TXTNYY9, 5744259]
[paragraph, [204.0, 1107.0, 929.0, 36.0], shoonya_1sIAL18TXTNYY9, 5744259]
[paragraph, [204.0, 1143.0, 929.0, 36.0], shoonya_1sIAL18TXTNYY9, 5744259]
[paragraph, [204.0, 1179.0, 929.0, 36.0], shoonya_1sIAL18TXTNYY9, 5744259]
[paragraph, [204.0, 1215.0, 929.0, 36.0], shoonya_1sIAL18TXTNYY9, 5744259]
[paragraph, [204.0, 1251.0, 929.0, 36.0], shoonya_1sIAL18TXTNYY9, 5744259]
[paragraph, [204.0, 1287.0, 929.0, 36.0], shoonya_1sIAL18TXTNYY9, 5744259]
[paragraph, [204.0, 1323.0, 929.0, 36.0], shoonya_1sIAL18TXTNYY9, 5744259]
[paragraph, [204.0, 1359.0, 929.0, 36.0], shoonya_1sIAL18TXTNYY9, 5744259]
[paragraph, [204.0, 1395.0, 929.0, 36.0], shoonya_1sIAL18TXTNYY9, 5744259]
[paragraph, [204.0, 1431.0, 929.0, 36.0], shoonya_1sIAL18TXTNYY9, 5744259]
[paragraph, [204.0, 1467.0, 929.0, 36.0], shoonya_1sIAL18TXTNYY9, 5744259]
[paragraph, [204.0, 1503.0, 929.0, 36.0], shoonya_1sIAL18TXTNYY9, 5744259]
[paragraph, [204.0, 1539.0, 929.0, 36.0], shoonya_1sIAL18TXTNYY9, 5744259]
