[3300, 2550]
[paragraph, [280.0, 280.0, 2004.0, 52.5], vRKpU1BEea, 5720524]
[paragraph, [280.0, 332.5, 2004.0, 52.5], vRKpU1BEea, 5720524]
[paragraph, [280.0, 385.0, 2004.0, 52.5], vRKpU1BEea, 5720524]
[paragraph, [280.0, 437.5, 2004.0, 52.5], vRKpU1BEea, 5720524]
[paragraph, [280.0, 490.0, 2004.0, 52.5], vRKpU1BEea, 5720524]
[paragraph, [280.0, 542.5, 2004.0, 52.5], vRKpU1BEea, 5720524]
[paragraph, [280.0, 595.0, 2004.0, 52.5], vRKpU1BEea, 5720524]
[paragraph, [280.0, 647.5, 2004.0, 52.5], vRKpU1BEea, 5720524]
[paragraph, [280.0, 700.0, 2004.0, 52.5], vRKpU1BEea, 5720524]
[paragraph, [280.0, 752.5, 2004.0, 52.5], vRKpU1BEea, 5720524]
[paragraph, [280.0, 805.0, 2004.0, 52.5], vRKpU1BEea, 5720524]
[paragraph, [280.0, 857.5, 2004.0, 52.5], vRKpU1BEea, 5720524]
[paragraph, [280.0, 910.0, 2004.0, 52.5], vRKpU1BEea, 5720524]
[paragraph, [280.0, 962.5, 2004.0, 52.5], vRKpU1BEea, 5720524]
[paragraph, [267.0, 1080.0, 2004.0, 52.5], 5MTZeMCx1b, 5720524]
[paragraph, [267.0, 1132.5, 2004.0, 52.5], 5MTZeMCx1b, 5720524]
[paragraph, [267.0, 1185.0, 2004.0, 52.5], 5MTZeMCx1b, 5720524]
[paragraph, [267.0, 1237.5, 2004.0, 52.5], 5MTZeMCx1b, 5720524]
[paragraph, [267.0, 1290.0, 2004.0, 52.5], 5MTZeMCx1b, 5720524]
[paragraph, [267.0, 1342.5, 2004.0, 52.5], 5MTZeMCx1b, 5720524]
[paragraph, [267.0, 1395.0, 2004.0, 52.5], 5MTZeMCx1b, 5720524]
[paragraph, [267.0, 1447.5, 2004.0, 52.5], 5MTZeMCx1b, 5720524]
[paragraph, [267.0, 1500.0, 2004.0, 52.5], 5MTZeMCx1b, 5720524]
[paragraph, [267.0, 1552.5, 2004.0, 52.5], 5MTZeMCx1b, 5720524]
[paragraph, [267.0, 1605.0, 2004.0, 52.5], 5MTZeMCx1b, 5720524]
[paragraph, [267.0, 1657.5, 2004.0, 52.5], 5MTZeMCx1b, 5720524]
[paragraph, [267.0, 1710.0, 2004.0, 52.5], 5MTZeMCx1b, 5720524]
[paragraph, [267.0, 1762.5, 2004.0, 52.5], 5MTZeMCx1b, 5720524]
[paragraph, [267.0, 1815.0, 2004.0, 52.5], 5MTZeMCx1b, 5720524]
[paragraph, [267.0, 1867.5, 2004.0, 52.5], 5MTZeMCx1b, 5720524]
[paragraph, [267.0, 1920.0, 2004.0, 52.5], 5MTZeMCx1b, 5720524]
[paragraph, [264.0, 2075.0, 2011.0, 52.5], mwft2cOiCK, 5720524]
[paragraph, [264.0, 2127.5, 2011.0, 52.5], mwft2cOiCK, 5720524]
[paragraph, [264.0, 2180.0, 2011.0, 52.5], mwft2cOiCK, 5720524]
[paragraph, [264.0, 2232.5, 2011.0, 52.5], mwft2cOiCK, 5720524]
[paragraph, [264.0, 2285.0, 2011.0, 52.5], mwft2cOiCK, 5720524]
[paragraph, [264.0, 2337.5, 2011.0, 52.5], mwft2cOiCK, 5720524]
[paragraph, [264.0, 2390.0, 2011.0, 52.5], mwft2cOiCK, 5720524]
[paragraph, [264.0, 2442.5, 2011.0, 52.5], mwft2cOiCK, 5720524]
[paragraph, [264.0, 2495.0, 2011.0, 52.5], mwft2cOiCK, 5720524]
[paragraph, [264.0, 2547.5, 2011.0, 52.5], mwft2cOiCK, 5720524]
[paragraph, [264.0, 2600.0, 2011.0, 52.5], mwft2cOiCK, 5720524]
[paragraph, [264.0, 2652.5, 2011.0, 52.5], mwft2cOiCK, 5720524]
[paragraph, [264.0, 2705.0, 2011.0, 52.5], mwft2cOiCK, 5720524]
[paragraph, [264.0, 2757.5, 2011.0, 52.5], mwft2cOiCK, 5720524]
[paragraph, [264.0, 2810.0, 2011.0, 52.5], mwft2cOiCK, 5720524]
[paragraph, [264.0, 2862.5, 2011.0, 52.5], mwft2cOiCK, 5720524]
[paragraph, [264.0, 2915.0, 2011.0, 52.5], mwft2cOiCK, 5720524]
