[1468, 909]
[headline, [396.0, 73.0, 125.0, 25.5], shoonya_1sW2PQ31NKE3IG, 5770669]
[paragraph, [71.0, 133.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 151.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 169.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 187.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 205.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 223.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 241.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 259.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 277.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 295.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 313.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 331.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 349.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 367.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 385.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 403.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 421.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 439.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 457.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 475.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 493.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 511.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 529.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 547.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 565.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 583.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 601.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 619.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 637.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 655.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 673.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 691.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 709.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 727.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 745.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 763.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 781.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 799.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 817.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 835.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 853.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 871.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 889.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 907.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 925.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 943.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 961.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 979.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 997.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 1015.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 1033.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 1051.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 1069.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 1087.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 1105.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 1123.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 1141.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 1159.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 1177.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 1195.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 1213.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 1231.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 1249.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 1267.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 1285.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 1303.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 1321.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 1339.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 1357.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [71.0, 1375.0, 377.0, 18.0], GCWFNsWQR3, 5770669]
[paragraph, [453.0, 135.0, 372.0, 18.0], yw5cN7rp22, 5770669]
[paragraph, [453.0, 153.0, 372.0, 18.0], yw5cN7rp22, 5770669]
[paragraph, [453.0, 171.0, 372.0, 18.0], yw5cN7rp22, 5770669]
