[2484, 1767]
[paragraph, [314.0, 380.0, 263.0, 36.0], vK4hIy57qZ, 5753413]
[paragraph, [314.0, 441.0, 1268.0, 36.0], shoonya_0sNUZAQ8RFXI58, 5753413]
[paragraph, [314.0, 477.0, 1268.0, 36.0], shoonya_0sNUZAQ8RFXI58, 5753413]
[paragraph, [314.0, 513.0, 1268.0, 36.0], shoonya_0sNUZAQ8RFXI58, 5753413]
[paragraph, [314.0, 549.0, 1268.0, 36.0], shoonya_0sNUZAQ8RFXI58, 5753413]
[paragraph, [314.0, 585.0, 1268.0, 36.0], shoonya_0sNUZAQ8RFXI58, 5753413]
[paragraph, [314.0, 621.0, 1268.0, 36.0], shoonya_0sNUZAQ8RFXI58, 5753413]
[paragraph, [314.0, 657.0, 1268.0, 36.0], shoonya_0sNUZAQ8RFXI58, 5753413]
[paragraph, [314.0, 693.0, 1268.0, 36.0], shoonya_0sNUZAQ8RFXI58, 5753413]
[paragraph, [314.0, 729.0, 1268.0, 36.0], shoonya_0sNUZAQ8RFXI58, 5753413]
[paragraph, [314.0, 765.0, 1268.0, 36.0], shoonya_0sNUZAQ8RFXI58, 5753413]
[paragraph, [314.0, 801.0, 1268.0, 36.0], shoonya_0sNUZAQ8RFXI58, 5753413]
[paragraph, [314.0, 837.0, 1268.0, 36.0], shoonya_0sNUZAQ8RFXI58, 5753413]
[paragraph, [314.0, 873.0, 1268.0, 36.0], shoonya_0sNUZAQ8RFXI58, 5753413]
[paragraph, [314.0, 909.0, 1268.0, 36.0], shoonya_0sNUZAQ8RFXI58, 5753413]
[paragraph, [314.0, 945.0, 1268.0, 36.0], shoonya_0sNUZAQ8RFXI58, 5753413]
[paragraph, [314.0, 981.0, 1268.0, 36.0], shoonya_0sNUZAQ8RFXI58, 5753413]
[paragraph, [314.0, 1017.0, 1268.0, 36.0], shoonya_0sNUZAQ8RFXI58, 5753413]
[paragraph, [314.0, 1053.0, 1268.0, 36.0], shoonya_0sNUZAQ8RFXI58, 5753413]
[paragraph, [314.0, 1089.0, 1268.0, 36.0], shoonya_0sNUZAQ8RFXI58, 5753413]
[paragraph, [314.0, 1125.0, 1268.0, 36.0], shoonya_0sNUZAQ8RFXI58, 5753413]
[paragraph, [314.0, 1161.0, 1268.0, 36.0], shoonya_0sNUZAQ8RFXI58, 5753413]
[paragraph, [314.0, 1197.0, 1268.0, 36.0], shoonya_0sNUZAQ8RFXI58, 5753413]
[paragraph, [314.0, 1233.0, 1268.0, 36.0], shoonya_0sNUZAQ8RFXI58, 5753413]
[paragraph, [314.0, 1269.0, 1268.0, 36.0], shoonya_0sNUZAQ8RFXI58, 5753413]
[paragraph, [314.0, 1305.0, 1268.0, 36.0], shoonya_0sNUZAQ8RFXI58, 5753413]
[paragraph, [314.0, 1341.0, 1268.0, 36.0], shoonya_0sNUZAQ8RFXI58, 5753413]
[paragraph, [314.0, 1377.0, 1268.0, 36.0], shoonya_0sNUZAQ8RFXI58, 5753413]
[paragraph, [314.0, 1413.0, 1268.0, 36.0], shoonya_0sNUZAQ8RFXI58, 5753413]
[paragraph, [314.0, 1449.0, 1268.0, 36.0], shoonya_0sNUZAQ8RFXI58, 5753413]
[paragraph, [314.0, 1485.0, 1268.0, 36.0], shoonya_0sNUZAQ8RFXI58, 5753413]
[paragraph, [314.0, 1521.0, 1268.0, 36.0], shoonya_0sNUZAQ8RFXI58, 5753413]
[paragraph, [314.0, 1557.0, 1268.0, 36.0], shoonya_0sNUZAQ8RFXI58, 5753413]
[paragraph, [314.0, 1593.0, 1268.0, 36.0], shoonya_0sNUZAQ8RFXI58, 5753413]
[paragraph, [314.0, 1629.0, 1268.0, 36.0], shoonya_0sNUZAQ8RFXI58, 5753413]
[paragraph, [314.0, 1665.0, 1268.0, 36.0], shoonya_0sNUZAQ8RFXI58, 5753413]
[paragraph, [314.0, 1701.0, 1268.0, 36.0], shoonya_0sNUZAQ8RFXI58, 5753413]
[section-title, [301.0, 1753.0, 276.0, 52.5], DR8_Hr_0T4, 5753413]
[paragraph, [577.0, 1757.0, 930.0, 36.0], Iv-U2yeLwt, 5753413]
[paragraph, [577.0, 1793.0, 930.0, 36.0], Iv-U2yeLwt, 5753413]
[paragraph, [285.0, 1826.0, 1348.0, 36.0], jASASBZI74, 5753413]
[paragraph, [285.0, 1862.0, 1348.0, 36.0], jASASBZI74, 5753413]
[paragraph, [285.0, 1898.0, 1348.0, 36.0], jASASBZI74, 5753413]
[paragraph, [285.0, 1934.0, 1348.0, 36.0], jASASBZI74, 5753413]
[paragraph, [285.0, 1970.0, 1348.0, 36.0], jASASBZI74, 5753413]
[paragraph, [285.0, 2006.0, 1348.0, 36.0], jASASBZI74, 5753413]
[paragraph, [285.0, 2042.0, 1348.0, 36.0], jASASBZI74, 5753413]
