[2084, 1289]
[paragraph, [126.0, 270.0, 1039.0, 36.0], shoonya_1sKK3VIIFYN1WR, 5660384]
[paragraph, [126.0, 306.0, 1039.0, 36.0], shoonya_1sKK3VIIFYN1WR, 5660384]
[paragraph, [126.0, 342.0, 1039.0, 36.0], shoonya_1sKK3VIIFYN1WR, 5660384]
[paragraph, [126.0, 378.0, 1039.0, 36.0], shoonya_1sKK3VIIFYN1WR, 5660384]
[paragraph, [126.0, 414.0, 1039.0, 36.0], shoonya_1sKK3VIIFYN1WR, 5660384]
[paragraph, [126.0, 450.0, 1039.0, 36.0], shoonya_1sKK3VIIFYN1WR, 5660384]
[paragraph, [126.0, 486.0, 1039.0, 36.0], shoonya_1sKK3VIIFYN1WR, 5660384]
[paragraph, [126.0, 522.0, 1039.0, 36.0], shoonya_1sKK3VIIFYN1WR, 5660384]
[paragraph, [126.0, 558.0, 1039.0, 36.0], shoonya_1sKK3VIIFYN1WR, 5660384]
[paragraph, [126.0, 594.0, 1039.0, 36.0], shoonya_1sKK3VIIFYN1WR, 5660384]
[paragraph, [126.0, 630.0, 1039.0, 36.0], shoonya_1sKK3VIIFYN1WR, 5660384]
[paragraph, [129.0, 697.0, 1033.0, 36.0], shoonya_0s9D1BF1RG0VRG, 5660384]
[paragraph, [129.0, 733.0, 1033.0, 36.0], shoonya_0s9D1BF1RG0VRG, 5660384]
[paragraph, [129.0, 769.0, 1033.0, 36.0], shoonya_0s9D1BF1RG0VRG, 5660384]
[paragraph, [129.0, 805.0, 1033.0, 36.0], shoonya_0s9D1BF1RG0VRG, 5660384]
[paragraph, [129.0, 841.0, 1033.0, 36.0], shoonya_0s9D1BF1RG0VRG, 5660384]
[paragraph, [129.0, 877.0, 1033.0, 36.0], shoonya_0s9D1BF1RG0VRG, 5660384]
[paragraph, [129.0, 913.0, 1033.0, 36.0], shoonya_0s9D1BF1RG0VRG, 5660384]
[paragraph, [129.0, 949.0, 1033.0, 36.0], shoonya_0s9D1BF1RG0VRG, 5660384]
[paragraph, [129.0, 985.0, 1033.0, 36.0], shoonya_0s9D1BF1RG0VRG, 5660384]
[paragraph, [129.0, 1021.0, 1033.0, 36.0], shoonya_0s9D1BF1RG0VRG, 5660384]
[paragraph, [129.0, 1057.0, 1033.0, 36.0], shoonya_0s9D1BF1RG0VRG, 5660384]
[paragraph, [129.0, 1093.0, 1033.0, 36.0], shoonya_0s9D1BF1RG0VRG, 5660384]
[paragraph, [129.0, 1129.0, 1033.0, 36.0], shoonya_0s9D1BF1RG0VRG, 5660384]
[paragraph, [129.0, 1165.0, 1033.0, 36.0], shoonya_0s9D1BF1RG0VRG, 5660384]
[paragraph, [129.0, 1201.0, 1033.0, 36.0], shoonya_0s9D1BF1RG0VRG, 5660384]
[paragraph, [129.0, 1237.0, 1033.0, 36.0], shoonya_0s9D1BF1RG0VRG, 5660384]
[paragraph, [129.0, 1273.0, 1033.0, 36.0], shoonya_0s9D1BF1RG0VRG, 5660384]
[paragraph, [129.0, 1309.0, 1033.0, 36.0], shoonya_0s9D1BF1RG0VRG, 5660384]
[paragraph, [129.0, 1345.0, 1033.0, 36.0], shoonya_0s9D1BF1RG0VRG, 5660384]
[paragraph, [389.0, 1418.0, 588.0, 36.0], shoonya_4sPANO5ZDSG7V1, 5660384]
[paragraph, [389.0, 1454.0, 588.0, 36.0], shoonya_4sPANO5ZDSG7V1, 5660384]
[paragraph, [130.0, 1531.0, 1031.0, 36.0], shoonya_2sEU2C9RGS92TB, 5660384]
[paragraph, [130.0, 1567.0, 1031.0, 36.0], shoonya_2sEU2C9RGS92TB, 5660384]
[paragraph, [130.0, 1603.0, 1031.0, 36.0], shoonya_2sEU2C9RGS92TB, 5660384]
[paragraph, [130.0, 1639.0, 1031.0, 36.0], shoonya_2sEU2C9RGS92TB, 5660384]
[paragraph, [130.0, 1675.0, 1031.0, 36.0], shoonya_2sEU2C9RGS92TB, 5660384]
[paragraph, [130.0, 1711.0, 1031.0, 36.0], shoonya_2sEU2C9RGS92TB, 5660384]
[paragraph, [130.0, 1747.0, 1031.0, 36.0], shoonya_2sEU2C9RGS92TB, 5660384]
[paragraph, [130.0, 1783.0, 1031.0, 36.0], shoonya_2sEU2C9RGS92TB, 5660384]
[paragraph, [130.0, 1819.0, 1031.0, 36.0], shoonya_2sEU2C9RGS92TB, 5660384]
[folio, [633.0, 1937.0, 655.0, 36.0], shoonya_5sUMFLTXEPEONA, 5660384]
[folio, [633.0, 1973.0, 655.0, 36.0], shoonya_5sUMFLTXEPEONA, 5660384]
